Reference:	"Dello Russo and Khanna (1996)"
DOI:	"doi:https://doi.org/10.1006/icar.1996.0165"
Sample Type:	"Ice"
Composition:	"HCN (1)"
Temperature:	"35K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/21"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
120	1.808		0.134		
130	1.825		0.167		
140	1.917		0.223		
150	2.018		0.332		
160	2.187		0.616		
161	2.205		0.675		
162	2.218		0.743		
163	2.221		0.819		
164	2.215		0.901		
165	2.199		0.99		
166	2.171		1.08		
167	2.128		1.18		
168	2.064		1.29		
169	1.969		1.4		
170	1.837		1.5		
171	1.673		1.56		
172	1.495		1.58		
173	1.324		1.55		
174	1.166		1.49		
175	1.031		1.39		
176	0.93		1.27		
177	0.869		1.15		
178	0.842		1.03		
179	0.837		0.93		
180	0.843		0.848		
190	1.026		0.471		
200	1.09		0.385		
210	1.116		0.345		
220	1.102		0.301		
230	1.086		0.243		
240	1.069		0.196		
250	1.062		0.087		
260	1.144		0.0324		
270	1.191		0.0159		
