Reference:	"Léger et al. (1983)"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"77K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/225"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
125	1.947			125	0.07		
140	1.97			140	0.227		
150	1.943			150	0.293		
160	1.917			160	0.348		
170	1.899			170	0.391		
180	1.894			180	0.451		
190	1.864			190	0.568		
200	1.781			200	0.684		
210	1.638			210	0.79		
220	1.433			220	0.825		
230	1.255			230	0.698		
240	1.177			240	0.537		
250	1.157			250	0.431		
260	1.152			260	0.343		
270	1.158			270	0.27		
280	1.172			280	0.21		
290	1.19			290	0.159		
300	1.213			300	0.117		
320	1.264			320	0.055		
340	1.316			340	0.019		
350	1.342			350	0.008		
400	1.428			400	0.012		
450	1.475			450	0.014		
500	1.522			500	0.029		
520	1.54			520	0.042		
540	1.554			540	0.056		
560	1.567			560	0.073		
580	1.576			580	0.09		
600	1.582			600	0.107		
620	1.591			620	0.115		
640	1.61			640	0.128		
660	1.636			660	0.155		
680	1.654			680	0.199		
700	1.663			700	0.252		
720	1.656			720	0.317		
740	1.629			740	0.383		
760	1.583			760	0.443		
780	1.521			780	0.492		
800	1.446			800	0.525		
820	1.363			820	0.537		
840	1.278			840	0.529		
860	1.194			860	0.496		
880	1.124			880	0.442		
900	1.071			900	0.374		
920	1.039			920	0.29		
940	1.036			940	0.207		
960	1.058			960	0.138		
980	1.088			980	0.087		
1000	1.124			1000	0.05		
1050	1.211			1050	0.018		
1100	1.26			1100	0.034		
1150	1.275			1150	0.038		
1200	1.289			1200	0.034		
1250	1.303			1250	0.037		
1300	1.312			1300	0.039		
1350	1.319			1350	0.044		
1400	1.322			1400	0.048		
1450	1.324			1450	0.049		
1500	1.327			1500	0.051		
1550	1.328			1550	0.038		
1600	1.322			1600	0.063		
1650	1.312			1650	0.066		
1700	1.298			1700	0.061		
1750	1.29			1750	0.04		
1800	1.298			1800	0.019		
1850	1.312			1850	0.013		
1900	1.321			1900	0.011		
1950	1.33			1950	0.01		
2000	1.337			2000	0.01		
2050	1.344			2050	0.012		
2100	1.35			2100	0.015		
2150	1.354			2150	0.021		
2200	1.353			2200	0.025		
2250	1.351			2250	0.025		
2300	1.351			2300	0.022		
2350	1.354			2350	0.018		
2400	1.358			2400	0.014		
2450	1.364			2450	0.013		
2500	1.37			2500	0.01		
2550	1.377			2550	0.009		
2600	1.385			2600	0.007		
2650	1.395			2650	0.005		
2700	1.406			2700	0.005		
2750	1.42			2750	0.004		
2800	1.436			2800	0.005		
2850	1.458			2850	0.004		
2900	1.491			2900	0.007		
2950	1.528			2950	0.022		
3000	1.583			3000	0.036		
3020	1.615			3020	0.049		
3040	1.655			3040	0.074		
3060	1.698			3060	0.122		
3080	1.723			3080	0.19		
3100	1.729			3100	0.266		
3120	1.716			3120	0.341		
3140	1.688			3140	0.414		
3160	1.645			3160	0.479		
3180	1.593			3180	0.535		
3200	1.533			3200	0.584		
3220	1.458			3220	0.632		
3240	1.365			3240	0.663		
3260	1.257			3260	0.656		
3280	1.17			3280	0.615		
3300	1.107			3300	0.56		
3320	1.063			3320	0.509		
3340	1.03			3340	0.459		
3360	1.007			3360	0.414		
3380	0.985			3380	0.374		
3400	0.963			3400	0.332		
3420	0.946			3420	0.28		
3440	0.941			3440	0.227		
3460	0.946			3460	0.177		
3480	0.96			3480	0.131		
3500	0.983			3500	0.093		
3520	1.007			3520	0.068		
3540	1.03			3540	0.05		
3560	1.049			3560	0.035		
3580	1.068			3580	0.022		
3600	1.088			3600	0.012		
3650	1.127			3650	0.006		
3700	1.152			3700	0		
3750	1.174			3750	0		
3800	1.188			3800	0		
3850	1.2			3850	0		
3900	1.21			3900	0		
3950	1.218			3950	0		
4000	1.224			4000	0		
