Reference:	"Mahjoub et al. (2012)"
DOI:	"doi:http://dx.doi.org/10.1016/j.icarus.2012.08.015"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4 (99:1)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/226"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
1	1.48			1	0.023		
0.99	1.48			0.99	0.023		
0.98	1.48			0.98	0.23		
0.97	1.48			0.97	0.024		
0.96	1.48			0.96	0.024		
0.95	1.48			0.95	0.024		
0.94	1.48			0.94	0.024		
0.93	1.48			0.93	0.024		
0.92	1.48			0.92	0.024		
0.91	1.48			0.91	0.024		
0.9	1.48			0.9	0.024		
0.89	1.48			0.89	0.025		
0.88	1.48			0.88	0.025		
0.87	1.48			0.87	0.025		
0.86	1.48			0.86	0.025		
0.85	1.48			0.85	0.025		
0.84	1.47			0.84	0.026		
0.83	1.47			0.83	0.026		
0.82	1.47			0.82	0.027		
0.81	1.47			0.81	0.027		
0.8	1.47			0.8	0.028		
0.79	1.47			0.79	0.029		
0.78	1.47			0.78	0.029		
0.77	1.47			0.77	0.03		
0.76	1.47			0.76	0.03		
0.75	1.47			0.75	0.03		
0.74	1.47			0.74	0.031		
0.73	1.48			0.73	0.032		
0.72	1.48			0.72	0.033		
0.71	1.48			0.71	0.034		
0.7	1.48			0.7	0.034		
0.69	1.48			0.69	0.035		
0.68	1.48			0.68	0.036		
0.67	1.48			0.67	0.036		
0.66	1.48			0.66	0.037		
0.65	1.48			0.65	0.038		
0.64	1.48			0.64	0.039		
0.63	1.48			0.63	0.04		
0.62	1.48			0.62	0.041		
0.61	1.49			0.61	0.041		
0.6	1.49			0.6	0.042		
0.59	1.49			0.59	0.043		
0.58	1.5			0.58	0.044		
0.57	1.5			0.57	0.046		
0.56	1.5			0.56	0.047		
0.55	1.5			0.55	0.049		
0.54	1.51			0.54	0.051		
0.53	1.51			0.53	0.054		
0.52	1.52			0.52	0.057		
0.51	1.53			0.51	0.065		
0.5	1.53			0.5	0.068		
0.49	1.54			0.49	0.07		
0.48	1.54			0.48	0.074		
0.47	1.55			0.47	0.08		
0.46	1.56			0.46	0.085		
0.45	1.57			0.45	0.094		
0.44	1.57			0.44	0.098		
0.43	1.58			0.43	0.1		
0.42	1.59			0.42	0.11		
0.41	1.59			0.41	0.12		
0.4	1.6			0.4	0.13		
0.39	1.61			0.39	0.14		
0.38	1.61			0.38	0.15		
0.37	1.62			0.37	0.16		
