Reference:	"Léger et al. (1983)"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"77K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/227"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
125	1.947		0.07		
140	1.97		0.227		
150	1.943		0.293		
160	1.917		0.348		
170	1.899		0.391		
180	1.894		0.451		
190	1.864		0.568		
200	1.781		0.684		
210	1.638		0.79		
220	1.433		0.825		
230	1.255		0.698		
240	1.177		0.537		
250	1.157		0.431		
260	1.152		0.343		
270	1.158		0.27		
280	1.172		0.21		
290	1.19		0.159		
300	1.213		0.117		
320	1.264		0.055		
340	1.316		0.019		
350	1.342		0.008		
400	1.428		0.012		
450	1.475		0.014		
500	1.522		0.029		
520	1.54		0.042		
540	1.554		0.056		
560	1.567		0.073		
580	1.576		0.09		
600	1.582		0.107		
620	1.591		0.115		
640	1.61		0.128		
660	1.636		0.155		
680	1.654		0.199		
700	1.663		0.252		
720	1.656		0.317		
740	1.629		0.383		
760	1.583		0.443		
780	1.521		0.492		
800	1.446		0.525		
820	1.363		0.537		
840	1.278		0.529		
860	1.194		0.496		
880	1.124		0.442		
900	1.071		0.374		
920	1.039		0.29		
940	1.036		0.207		
960	1.058		0.138		
980	1.088		0.087		
1000	1.124		0.05		
1050	1.211		0.018		
1100	1.26		0.034		
1150	1.275		0.038		
1200	1.289		0.034		
1250	1.303		0.037		
1300	1.312		0.039		
1350	1.319		0.044		
1400	1.322		0.048		
1450	1.324		0.049		
1500	1.327		0.051		
1550	1.328		0.038		
1600	1.322		0.063		
1650	1.312		0.066		
1700	1.298		0.061		
1750	1.29		0.04		
1800	1.298		0.019		
1850	1.312		0.013		
1900	1.321		0.011		
1950	1.33		0.01		
2000	1.337		0.01		
2050	1.344		0.012		
2100	1.35		0.015		
2150	1.354		0.021		
2200	1.353		0.025		
2250	1.351		0.025		
2300	1.351		0.022		
2350	1.354		0.018		
2400	1.358		0.014		
2450	1.364		0.013		
2500	1.37		0.01		
2550	1.377		0.009		
2600	1.385		0.007		
2650	1.395		0.005		
2700	1.406		0.005		
2750	1.42		0.004		
2800	1.436		0.005		
2850	1.458		0.004		
2900	1.491		0.007		
2950	1.528		0.022		
3000	1.583		0.036		
3020	1.615		0.049		
3040	1.655		0.074		
3060	1.698		0.122		
3080	1.723		0.19		
3100	1.729		0.266		
3120	1.716		0.341		
3140	1.688		0.414		
3160	1.645		0.479		
3180	1.593		0.535		
3200	1.533		0.584		
3220	1.458		0.632		
3240	1.365		0.663		
3260	1.257		0.656		
3280	1.17		0.615		
3300	1.107		0.56		
3320	1.063		0.509		
3340	1.03		0.459		
3360	1.007		0.414		
3380	0.985		0.374		
3400	0.963		0.332		
3420	0.946		0.28		
3440	0.941		0.227		
3460	0.946		0.177		
3480	0.96		0.131		
3500	0.983		0.093		
3520	1.007		0.068		
3540	1.03		0.05		
3560	1.049		0.035		
3580	1.068		0.022		
3600	1.088		0.012		
3650	1.127		0.006		
3700	1.152		0		
3750	1.174		0		
3800	1.188		0		
3850	1.2		0		
3900	1.21		0		
3950	1.218		0		
4000	1.224		0		
