Reference:	"Dello Russo and Khanna (1996)"
DOI:	"doi:https://doi.org/10.1006/icar.1996.0165"
Sample Type:	"Ice"
Composition:	"HCN (1)"
Temperature:	"95K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/22"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
120	1.782			120	0.178		
130	1.852			130	0.204		
140	1.925			140	0.278		
150	2.044			150	0.456		
160	2.095			160	0.91		
161	2.071			161	0.984		
162	2.035			162	1.06		
163	1.982			163	1.14		
164	1.912			164	1.22		
165	1.824			165	1.29		
166	1.723			166	1.34		
167	1.611			167	1.38		
168	1.487			168	1.4		
169	1.353			169	1.39		
170	1.221			170	1.35		
171	1.105			171	1.28		
172	1.016			172	1.2		
173	0.953			173	1.1		
174	0.913			174	1.01		
175	0.892			175	0.916		
176	0.888			176	0.835		
177	0.896			177	0.764		
178	0.911			178	0.707		
179	0.928			179	0.661		
180	0.945			180	0.623		
190	1.059			190	0.431		
200	1.1			200	0.365		
210	1.104			210	0.326		
220	1.088			220	0.28		
230	1.084			230	0.22		
240	1.061			240	0.157		
250	1.096			250	0.0541		
260	1.163			260	0.0252		
270	1.204			270	0.015		
