Reference:	"Mahjoub et al. (2012)"
DOI:	"doi:http://dx.doi.org/10.1016/j.icarus.2012.08.015"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4 (90:10)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/231"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
1	1.57		0.0027		
0.99	1.57		0.0028		
0.98	1.57		0.0028		
0.97	1.57		0.0028		
0.96	1.57		0.0028		
0.95	1.57		0.0028		
0.94	1.57		0.0028		
0.93	1.57		0.0028		
0.92	1.57		0.0028		
0.91	1.57		0.0028		
0.9	1.59		0.0029		
0.89	1.59		0.0029		
0.88	1.59		0.003		
0.87	1.58		0.003		
0.86	1.58		0.003		
0.85	1.58		0.0031		
0.84	1.58		0.0031		
0.83	1.58		0.0032		
0.82	1.58		0.0033		
0.81	1.58		0.0034		
0.8	1.58		0.0035		
0.79	1.58		0.0035		
0.78	1.58		0.0035		
0.77	1.58		0.0036		
0.76	1.58		0.0036		
0.75	1.58		0.0037		
0.74	1.58		0.0038		
0.73	1.58		0.0039		
0.72	1.58		0.0039		
0.71	1.58		0.004		
0.7	1.58		0.0041		
0.69	1.58		0.0042		
0.68	1.58		0.0043		
0.67	1.58		0.0044		
0.66	1.58		0.0045		
0.65	1.58		0.0046		
0.64	1.58		0.0047		
0.63	1.58		0.0049		
0.62	1.58		0.005		
0.61	1.58		0.0051		
0.6	1.58		0.0052		
0.59	1.59		0.0054		
0.58	1.59		0.0057		
0.57	1.59		0.006		
0.56	1.59		0.0062		
0.55	1.59		0.0066		
0.54	1.6		0.0072		
0.53	1.6		0.0078		
0.52	1.6		0.0086		
0.51	1.61		0.0093		
0.5	1.61		0.01		
0.49	1.61		0.011		
0.48	1.62		0.012		
0.47	1.62		0.014		
0.46	1.62		0.015		
0.45	1.62		0.016		
0.44	1.63		0.017		
0.43	1.64		0.019		
0.42	1.64		0.021		
0.41	1.65		0.024		
0.4	1.66		0.027		
0.39	1.66		0.03		
0.38	1.66		0.033		
0.37	1.67		0.036		
