Reference:	"Masterson and Khanna (1990)"
DOI:	"doi:https://doi.org/10.1016/0019-1035(90)90007-V"
Sample Type:	"Ice"
Composition:	"HC3N (1)"
Temperature:	"70K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/237"
n₁ Error Units:	The random error in n values is typically less than 1%.

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
485	1.483			485	0.0086		
497	1.566			497	0.0134		
502	1.805			502	0.0702		
504	1.859			504	0.5273		
506	1.382			506	0.6562		
508	1.097			508	0.4698		
510	1.007			510	0.1682		
512	1.168			512	0.0026		
520	1.335			520	0		
710	1.49			710	0.0127		
730	1.56			730	0.0574		
740	1.594			740	0.1577		
745	1.576			745	0.2386		
750	1.504			750	0.3147		
755	1.391			755	0.3415		
760	1.284			760	0.3017		
770	1.21			770	0.1362		
775	1.239			775	0.0807		
780	1.262			780	0.061		
800	1.317			800	0.0003		
868	1.389			868	0.0013		
872	1.396			872	0.0052		
876	1.405			876	0.0194		
878	1.402			878	0.0326		
880	1.39			880	0.0453		
884	1.354			884	0.0378		
886	1.347			886	0.0202		
888	1.353			888	0.0062		
895	1.371			895	0		
1455	1.425			1455	0.0175		
1465	1.43			1465	0.0305		
1471	1.427			1471	0.0413		
1481	1.41			1481	0.0559		
1491	1.383			1491	0.0526		
1500	1.372			1500	0.0322		
1502	1.373			1502	0.0285		
1506	1.375			1506	0.0227		
1517	1.38			1517	0.0167		
2040	1.438			2040	0.0012		
2054	1.472			2054	0.0036		
2060	1.549			2060	0.0214		
2063	1.635			2063	0.1791		
2065	1.505			2065	0.3653		
2067	1.213			2067	0.3197		
2069	1.196			2069	0.0873		
2071	1.271			2071	0.0241		
2075	1.335			2075	0.0022		
2085	1.38			2085	0.0003		
2240	1.478			2240	0.0017		
2250	1.53			2250	0.0122		
2260	1.69			2260	0.1179		
2262	1.716			2262	0.2049		
2264	1.71			2264	0.3235		
2266	1.638			2266	0.4541		
2269	1.415			2269	0.5658		
2271	1.238			2271	0.5575		
2273	1.052			2273	0.4701		
2275	0.933			2275	0.2325		
2276	0.978			2276	0.1095		
2278	1.108			2278	0.0186		
2288	1.283			2288	0.0059		
2298	1.323			2298	0.0013		
3155	1.508			3155	0.05		
3175	1.522			3175	0.0829		
3185	1.573			3185	0.1186		
3192	1.598			3192	0.2054		
3197	1.576			3197	0.2896		
3202	1.508			3202	0.3687		
3212	1.27			3212	0.3982		
3222	1.133			3222	0.2074		
3225	1.14			3225	0.152		
3230	1.17			3230	0.0889		
3250	1.27			3250	0.0183		
