Reference:	"Masterson and Khanna (1990)"
DOI:	"doi:https://doi.org/10.1016/0019-1035(90)90007-V"
Sample Type:	"Ice"
Composition:	"HC3N (1)"
Temperature:	"70K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/239"
n₁ Error Units:	The random error in n values is typically less than 1%.

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
485	1.483		0.0086		
497	1.566		0.0134		
502	1.805		0.0702		
504	1.859		0.5273		
506	1.382		0.6562		
508	1.097		0.4698		
510	1.007		0.1682		
512	1.168		0.0026		
520	1.335		0		
710	1.49		0.0127		
730	1.56		0.0574		
740	1.594		0.1577		
745	1.576		0.2386		
750	1.504		0.3147		
755	1.391		0.3415		
760	1.284		0.3017		
770	1.21		0.1362		
775	1.239		0.0807		
780	1.262		0.061		
800	1.317		0.0003		
868	1.389		0.0013		
872	1.396		0.0052		
876	1.405		0.0194		
878	1.402		0.0326		
880	1.39		0.0453		
884	1.354		0.0378		
886	1.347		0.0202		
888	1.353		0.0062		
895	1.371		0		
1455	1.425		0.0175		
1465	1.43		0.0305		
1471	1.427		0.0413		
1481	1.41		0.0559		
1491	1.383		0.0526		
1500	1.372		0.0322		
1502	1.373		0.0285		
1506	1.375		0.0227		
1517	1.38		0.0167		
2040	1.438		0.0012		
2054	1.472		0.0036		
2060	1.549		0.0214		
2063	1.635		0.1791		
2065	1.505		0.3653		
2067	1.213		0.3197		
2069	1.196		0.0873		
2071	1.271		0.0241		
2075	1.335		0.0022		
2085	1.38		0.0003		
2240	1.478		0.0017		
2250	1.53		0.0122		
2260	1.69		0.1179		
2262	1.716		0.2049		
2264	1.71		0.3235		
2266	1.638		0.4541		
2269	1.415		0.5658		
2271	1.238		0.5575		
2273	1.052		0.4701		
2275	0.933		0.2325		
2276	0.978		0.1095		
2278	1.108		0.0186		
2288	1.283		0.0059		
2298	1.323		0.0013		
3155	1.508		0.05		
3175	1.522		0.0829		
3185	1.573		0.1186		
3192	1.598		0.2054		
3197	1.576		0.2896		
3202	1.508		0.3687		
3212	1.27		0.3982		
3222	1.133		0.2074		
3225	1.14		0.152		
3230	1.17		0.0889		
3250	1.27		0.0183		
