Reference:	"Dello Russo and Khanna (1996)"
DOI:	"doi:https://doi.org/10.1006/icar.1996.0165"
Sample Type:	"Ice"
Composition:	"C2N2 (1)"
Temperature:	"35K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/23"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
80	1.52		0.079		
85	1.534		0.0624		
86	1.53		0.0792		
87	1.513		0.086		
88	1.497		0.079		
89	1.487		0.0656		
90	1.484		0.052		
95	1.551		0.0245		
100	1.606		0.118		
101	1.582		0.146		
102	1.55		0.157		
103	1.521		0.151		
104	1.507		0.134		
105	1.506		0.123		
106	1.508		0.126		
107	1.5		0.135		
108	1.483		0.139		
109	1.463		0.13		
110	1.454		0.111		
111	1.455		0.0949		
112	1.463		0.0884		
113	1.467		0.0908		
114	1.464		0.0952		
115	1.454		0.0948		
116	1.446		0.0874		
117	1.441		0.076		
118	1.443		0.0658		
119	1.447		0.0605		
120	1.45		0.0597		
125	1.438		0.0266		
130	1.469		0.0134		
230	2.732		0.375		
231	2.92		0.513		
232	3.134		0.732		
233	3.209		1.05		
234	3.521		1.43		
235	3.376		2.35		
236	2.493		2.69		
237	2.191		2.91		
238	1.829		3.11		
239	0.563		3.02		
240	0.023		2.44		
241	0.147		1.5		
242	0.34		0.839		
243	0.897		0.9		
244	1.032		1.08		
245	1.079		1.26		
246	0.983		1.52		
247	0.79		1.88		
248	0.576		1.46		
249	0.261		0.877		
250	0.146		0.616		
251	0.321		0.436		
252	0.553		0.376		
253	0.761		0.558		
254	0.436		0.759		
255	0.404		0.411		
256	0.497		0.331		
257	0.569		0.274		
258	0.631		0.241		
259	0.708		0.212		
260	0.749		0.246		
261	0.764		0.239		
262	0.776		0.239		
263	0.779		0.242		
264	0.796		0.22		
265	0.817		0.223		
266	0.743		0.25		
267	0.751		0.142		
268	0.796		0.101		
269	0.82		0.0966		
270	0.859		0.0686		
