Reference:	"Mastrapa et al. (2009)"
DOI:	"doi:doi:10.1088/0004-637X/701/2/1347"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"25K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/242"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
22.108926	1.724821		0.1123		
22.061857	1.6897911		0.112371		
22.014988	1.6722636		0.113216		
21.968317	1.6605993		0.112659		
21.921844	1.6524401		0.112298		
21.875567	1.6459441		0.112851		
21.829486	1.6404601		0.112613		
21.783597	1.6362836		0.112084		
21.737902	1.6328602		0.112609		
21.692397	1.629478		0.113277		
21.647083	1.6264387		0.113083		
21.601958	1.6242043		0.112769		
21.557021	1.6222209		0.113587		
21.51227	1.6201213		0.114034		
21.467704	1.6182919		0.114169		
21.423323	1.6167351		0.114532		
21.379125	1.615331		0.114916		
21.335108	1.6139994		0.115498		
21.291273	1.6126729		0.116006		
21.247618	1.611524		0.116257		
21.204141	1.6106804		0.116628		
21.160841	1.6096244		0.117879		
21.117719	1.6084277		0.11809		
21.074771	1.6077762		0.118125		
21.031998	1.6070848		0.119434		
20.989398	1.6060089		0.120146		
20.946971	1.6051845		0.120272		
20.904714	1.604591		0.120917		
20.862628	1.6040104		0.121516		
20.820711	1.6033603		0.122426		
20.778962	1.6025762		0.123105		
20.73738	1.6020051		0.123344		
20.695964	1.6016227		0.124088		
20.654713	1.6010659		0.125054		
20.613626	1.6004376		0.125642		
20.572703	1.6000684		0.126035		
20.531942	1.5996792		0.127184		
20.491341	1.5989949		0.1281		
20.450902	1.5983819		0.128518		
20.410621	1.5980524		0.128978		
20.370499	1.5977485		0.129936		
20.330534	1.5971631		0.131012		
20.290726	1.5965835		0.131404		
20.251073	1.5963019		0.131901		
20.211575	1.5960149		0.132888		
20.172231	1.5954853		0.133871		
20.133039	1.5950174		0.13429		
20.094	1.5947808		0.134958		
20.055112	1.5944251		0.13605		
20.016373	1.5939099		0.136823		
19.977785	1.5935271		0.137365		
19.939345	1.5932041		0.138232		
19.901052	1.5928685		0.138964		
19.862906	1.5924292		0.140024		
19.824906	1.5919193		0.140633		
19.787052	1.5916825		0.141092		
19.749341	1.5913423		0.142405		
19.711775	1.5907293		0.143164		
19.67435	1.5903088		0.143583		
19.637068	1.5900482		0.144354		
19.599926	1.5896137		0.145404		
19.562925	1.5890813		0.14603		
19.526063	1.5886954		0.146568		
19.48934	1.5884085		0.147259		
19.452755	1.5880442		0.148166		
19.416307	1.5875493		0.148946		
19.379995	1.5871174		0.149431		
19.343819	1.5868925		0.149941		
19.307778	1.5865679		0.151019		
19.27187	1.5860405		0.151712		
19.236096	1.5856632		0.152094		
19.200455	1.585443		0.152737		
19.164945	1.5850923		0.153663		
19.129567	1.5846266		0.154256		
19.094318	1.5843661		0.154559		
19.0592	1.584209		0.155341		
19.02421	1.5839258		0.156134		
18.989349	1.5835415		0.156886		
18.954615	1.5832567		0.157271		
18.920008	1.5831068		0.157972		
18.885527	1.5827743		0.158938		
18.851172	1.5823857		0.159384		
18.816941	1.5822371		0.159782		
18.782835	1.5821311		0.160622		
18.748852	1.5818031		0.161553		
18.714991	1.5814532		0.162001		
18.681253	1.5813574		0.16241		
18.647636	1.58122		0.163425		
18.61414	1.580845		0.164209		
18.580764	1.580553		0.164586		
18.547508	1.5804991		0.165043		
18.51437	1.5804386		0.165938		
18.481351	1.5801388		0.166871		
18.448449	1.5798857		0.167227		
18.415664	1.5798339		0.167846		
18.382995	1.5797543		0.168664		
18.350442	1.5795055		0.169589		
18.318004	1.5792555		0.170062		
18.285681	1.5792239		0.170572		
18.253471	1.5791579		0.171536		
18.221375	1.5789036		0.172351		
18.189392	1.5787585		0.17276		
18.15752	1.5788123		0.173435		
18.12576	1.5787327		0.174527		
18.094111	1.5784431		0.175372		
18.062572	1.578234		0.175862		
18.031143	1.5782358		0.17642		
17.999824	1.5782187		0.177377		
17.968613	1.5780334		0.178253		
17.937509	1.5779185		0.178775		
17.906514	1.5780045		0.179453		
17.875625	1.5779396		0.18068		
17.844843	1.5776706		0.18147		
17.814166	1.5775802		0.181962		
17.783595	1.5776379		0.182797		
17.753129	1.5775477		0.183887		
17.722766	1.5773444		0.184678		
17.692508	1.5773026		0.185252		
17.662352	1.5773389		0.186215		
17.6323	1.5772014		0.187284		
17.602349	1.5770546		0.187957		
17.5725	1.5770725		0.188702		
17.542752	1.5771196		0.189686		
17.513104	1.5769939		0.190873		
17.483557	1.5767857		0.191682		
17.454109	1.5767521		0.192376		
17.42476	1.5767509		0.193457		
17.39551	1.5765925		0.194536		
17.366357	1.576412		0.195359		
17.337303	1.5763938		0.196081		
17.308345	1.576416		0.197175		
17.279484	1.5762449		0.198364		
17.250719	1.5760851		0.199089		
17.222049	1.5760973		0.199982		
17.193475	1.5760591		0.20115		
17.164995	1.5758816		0.202251		
17.13661	1.5757305		0.203098		
17.108318	1.5757229		0.203978		
17.08012	1.575712		0.205152		
17.052014	1.5755428		0.206367		
17.024001	1.575363		0.207261		
16.996079	1.5753752		0.208121		
16.968249	1.575337		0.209511		
16.94051	1.5750889		0.210698		
16.912862	1.5749292		0.211539		
16.885303	1.5749129		0.212622		
16.857835	1.5747974		0.213958		
16.830455	1.5745403		0.215145		
16.803164	1.5743764		0.216037		
16.775962	1.5743214		0.217205		
16.748848	1.5741493		0.218551		
16.721821	1.5739002		0.219676		
16.694881	1.5737043		0.220755		
16.668028	1.5736008		0.221818		
16.641261	1.5734524		0.223199		
16.61458	1.5731706		0.224436		
16.587984	1.5730114		0.225373		
16.561474	1.5729147		0.226753		
16.535048	1.5726469		0.22816		
16.508706	1.5723285		0.229328		
16.482448	1.5721315		0.230396		
16.456273	1.5719645		0.231748		
16.430182	1.5716882		0.233112		
16.404173	1.5713953		0.234314		
16.378246	1.5711794		0.235513		
16.352401	1.5709645		0.236891		
16.326637	1.5706438		0.238321		
16.300955	1.5702985		0.239549		
16.275353	1.5700677		0.240734		
16.249832	1.5698184		0.242243		
16.22439	1.5694275		0.243685		
16.199028	1.5690527		0.244902		
16.173745	1.5688135		0.246139		
16.148541	1.5685164		0.247761		
16.123415	1.5680544		0.249225		
16.098368	1.5676543		0.250429		
16.073398	1.5673665		0.251808		
16.048505	1.5669863		0.253435		
16.02369	1.56648		0.254903		
15.998951	1.5660457		0.256163		
15.974288	1.5656992		0.257623		
15.949701	1.5652218		0.259323		
15.92519	1.5646424		0.260744		
15.900754	1.5641579		0.262062		
15.876393	1.5637486		0.26354		
15.852106	1.5631986		0.265297		
15.827894	1.5625387		0.266717		
15.803755	1.5620205		0.267999		
15.77969	1.5615411		0.269619		
15.755699	1.5609119		0.271292		
15.73178	1.5602097		0.272765		
15.707933	1.5596446		0.274036		
15.684159	1.5591295		0.275705		
15.660456	1.5584254		0.277454		
15.636825	1.5576953		0.278843		
15.613266	1.55709		0.280313		
15.589777	1.5564535		0.282027		
15.566359	1.5556492		0.283785		
15.543011	1.5547993		0.285244		
15.519733	1.5540878		0.28663		
