Reference:	"Mastrapa et al. (2009)"
DOI:	"doi:doi:10.1088/0004-637X/701/2/1347"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"80K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/255"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
15.002941	1.6427524		0.108998		
14.981251	1.6409482		0.11528		
14.959624	1.6376228		0.115206		
14.938059	1.6371407		0.111907		
14.916557	1.6379419		0.113625		
14.895116	1.6384256		0.113818		
14.873737	1.6385176		0.11631		
14.852419	1.6382772		0.11632		
14.831162	1.63892		0.116727		
14.809966	1.6388532		0.119362		
14.78883	1.6391351		0.11807		
14.767755	1.6395694		0.120992		
14.74674	1.6396297		0.120601		
14.725784	1.6401071		0.122227		
14.704888	1.6400744		0.123167		
14.684051	1.6409322		0.122483		
14.663273	1.6414712		0.125522		
14.642553	1.6421379		0.124417		
14.621893	1.6427961		0.127924		
14.60129	1.6426062		0.128142		
14.580745	1.643387		0.1285		
14.560258	1.6436528		0.131017		
14.539829	1.6444164		0.129878		
14.519457	1.6449604		0.133692		
14.499142	1.645215		0.132736		
14.478883	1.6460136		0.135225		
14.458682	1.64593		0.136492		
14.438536	1.6467963		0.135939		
14.418447	1.6471812		0.139494		
14.398413	1.6478754		0.13781		
14.378435	1.6486957		0.141871		
14.358512	1.6485809		0.141965		
14.338645	1.6493313		0.14296		
14.318832	1.6493843		0.145339		
14.299074	1.6502342		0.143847		
14.27937	1.6510664		0.147643		
14.259721	1.6516883		0.146762		
14.240126	1.6525164		0.150102		
14.220584	1.6524915		0.150854		
14.201096	1.6535162		0.15099		
14.181662	1.6539247		0.154415		
14.16228	1.6547785		0.153004		
14.142951	1.6555962		0.15742		
14.123676	1.655582		0.157367		
14.104452	1.6562983		0.159064		
14.085281	1.6564242		0.16087		
14.066162	1.6573801		0.160204		
14.047094	1.6581145		0.163798		
14.028079	1.658856		0.163001		
14.009114	1.6596873		0.166621		
13.990201	1.65982		0.167019		
13.971339	1.6609114		0.167813		
13.952528	1.6614826		0.170569		
13.933767	1.6625922		0.169835		
13.915057	1.6635282		0.173969		
13.896397	1.6639244		0.173927		
13.877787	1.6649476		0.176068		
13.859226	1.6654649		0.177728		
13.840716	1.6667281		0.177885		
13.822254	1.6677404		0.181321		
13.803842	1.6687555		0.181336		
13.785479	1.669778		0.1849		
13.767164	1.6703723		0.18556		
13.748899	1.6718063		0.187038		
13.730681	1.6727766		0.189934		
13.712512	1.6742139		0.19023		
13.694391	1.6752921		0.194768		
13.676317	1.6758182		0.195426		
13.658292	1.6769639		0.197832		
13.640313	1.6779133		0.199642		
13.622382	1.6797324		0.200568		
13.604498	1.6810844		0.205034		
13.586661	1.6822872		0.205909		
13.568871	1.6833808		0.210462		
13.551127	1.6840324		0.211744		
13.53343	1.6856864		0.213903		
13.515778	1.6869245		0.217738		
13.498173	1.688596		0.219108		
13.480614	1.6896595		0.225154		
13.4631	1.6901264		0.226685		
13.445631	1.6909307		0.231		
13.428208	1.6914653		0.233233		
13.41083	1.6931624		0.235427		
13.393497	1.6940838		0.241395		
13.376209	1.6948819		0.243142		
13.358965	1.6951807		0.249875		
13.341765	1.6949502		0.251401		
13.32461	1.6957242		0.255359		
13.307499	1.6960474		0.259303		
13.290432	1.6971218		0.261904		
13.273408	1.6969985		0.269573		
13.256429	1.6963771		0.27112		
13.239492	1.6958671		0.277274		
13.222599	1.6953284		0.2785		
13.205748	1.6961672		0.282493		
13.188941	1.6958781		0.288405		
13.172176	1.6957448		0.290954		
13.155454	1.6945846		0.298839		
13.138775	1.693108		0.299775		
13.122137	1.6924892		0.305148		
13.105542	1.6917401		0.307552		
13.088988	1.6918505		0.311892		
13.072477	1.6904612		0.31872		
13.056006	1.6889113		0.320986		
13.039578	1.6868934		0.327681		
13.023191	1.6852104		0.327915		
13.006844	1.6846916		0.333094		
12.990539	1.6834922		0.336828		
12.974275	1.6823684		0.341451		
12.958051	1.6797597		0.347687		
12.941868	1.6775358		0.348625		
12.925725	1.6756881		0.354103		
12.909622	1.6742895		0.354756		
12.89356	1.673537		0.36045		
12.877537	1.6714041		0.365018		
12.861555	1.6692707		0.368554		
12.845611	1.6665347		0.373458		
12.829708	1.6647127		0.373936		
12.813843	1.6634933		0.37933		
12.798018	1.6620589		0.381805		
12.782232	1.6604829		0.38787		
12.766485	1.6575344		0.392561		
12.750776	1.6548801		0.395527		
12.735106	1.6520518		0.400321		
12.719475	1.6499594		0.401604		
12.703882	1.6478716		0.407902		
12.688327	1.6447775		0.411152		
12.67281	1.641727		0.415542		
12.657331	1.6381316		0.419012		
12.64189	1.6356771		0.420063		
12.626486	1.6335764		0.424798		
12.61112	1.6316167		0.426898		
12.595791	1.6291663		0.433423		
12.5805	1.625594		0.436695		
12.565245	1.6225823		0.440076		
12.550028	1.6193678		0.44412		
12.534847	1.6171267		0.445719		
12.519703	1.6144769		0.45262		
12.504596	1.6110118		0.455457		
12.489525	1.6073639		0.461349		
12.47449	1.6029807		0.464586		
12.459491	1.5996307		0.46718		
12.444529	1.5960268		0.472506		
12.429602	1.5926314		0.474886		
12.414711	1.5883672		0.482408		
12.399856	1.5831718		0.484765		
12.385036	1.5783767		0.489495		
12.370252	1.5732109		0.492455		
12.355503	1.5690451		0.494856		
12.340789	1.5640142		0.501083		
12.32611	1.5585851		0.502883		
12.311465	1.5526722		0.508828		
12.296856	1.5464394		0.509564		
12.282281	1.5411331		0.512822		
12.267741	1.5354987		0.515389		
12.253235	1.5302222		0.517771		
12.238764	1.5237869		0.5228		
12.224326	1.5172776		0.52296		
12.209923	1.5108369		0.526955		
12.195553	1.504498		0.526439		
12.181218	1.4988229		0.529345		
12.166916	1.4922505		0.531371		
12.152647	1.4857585		0.532512		
12.138412	1.4786018		0.535054		
12.12421	1.472033		0.53338		
12.110042	1.4657047		0.535914		
12.095906	1.4593476		0.534451		
12.081804	1.4532836		0.536383		
12.067734	1.4463605		0.536493		
12.053697	1.4400953		0.535451		
12.039693	1.4336013		0.536402		
12.025721	1.4276937		0.533718		
12.011781	1.4218356		0.535416		
11.997874	1.415631		0.533286		
11.983999	1.409762		0.533625		
11.970156	1.4034152		0.532345		
11.956345	1.3979928		0.530041		
11.942566	1.3922814		0.530524		
11.928819	1.3868478		0.527272		
11.915103	1.3813905		0.528141		
11.901418	1.3755988		0.525139		
11.887765	1.3705963		0.523916		
11.874144	1.365118		0.522784		
11.860553	1.3601562		0.519888		
11.846994	1.354827		0.519993		
11.833465	1.349679		0.515927		
11.819968	1.3449862		0.51531		
11.806501	1.3401267		0.512128		
11.793065	1.3358697		0.510308		
11.779659	1.3310397		0.509018		
11.766284	1.3266493		0.505455		
11.752939	1.3221937		0.504758		
11.739625	1.3180853		0.500442		
11.72634	1.3143151		0.499879		
11.713086	1.3101096		0.497026		
11.699861	1.3061483		0.495457		
11.686667	1.3015605		0.493767		
11.673502	1.297695		0.48966		
11.660366	1.2939797		0.488705		
11.647261	1.2905483		0.484594		
11.634184	1.2870343		0.484567		
11.621137	1.2828717		0.481451		
11.608119	1.2790636		0.479512		
11.595131	1.2750715		0.476791		
11.582171	1.2721451		0.472706		
