Reference:	"Mastrapa et al. (2009)"
DOI:	"doi:doi:10.1088/0004-637X/701/2/1347"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"120K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/257"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
15.002941	1.6386375			15.002941	0.098887		
14.981251	1.6341954			14.981251	0.115346		
14.959624	1.6286898			14.959624	0.10418		
14.938059	1.6293561			14.938059	0.104523		
14.916557	1.6301879			14.916557	0.102337		
14.895116	1.6327165			14.895116	0.102141		
14.873737	1.6325045			14.873737	0.10836		
14.852419	1.633572			14.852419	0.101899		
14.831162	1.6353705			14.831162	0.109284		
14.809966	1.6350997			14.809966	0.107915		
14.78883	1.6366524			14.78883	0.109258		
14.767755	1.6360323			14.767755	0.114246		
14.74674	1.6365244			14.74674	0.110056		
14.725784	1.6364947			14.725784	0.117086		
14.704888	1.6367784			14.704888	0.111066		
14.684051	1.6392953			14.684051	0.115301		
14.663273	1.6392687			14.663273	0.11786		
14.642553	1.6405475			14.642553	0.116443		
14.621893	1.6400585			14.621893	0.123721		
14.60129	1.6401901			14.60129	0.117869		
14.580745	1.6417095			14.580745	0.123583		
14.560258	1.6419371			14.560258	0.122399		
14.539829	1.6437015			14.539829	0.124187		
14.519457	1.6429416			14.519457	0.129727		
14.499142	1.6434095			14.499142	0.125114		
14.478883	1.6437574			14.478883	0.132286		
14.458682	1.6437215			14.458682	0.127779		
14.438536	1.6457648			14.438536	0.131041		
14.418447	1.64593			14.418447	0.133391		
14.398413	1.6475611			14.398413	0.13186		
14.378435	1.6475068			14.378435	0.139498		
14.358512	1.6474527			14.358512	0.134994		
14.338645	1.6483915			14.338645	0.140511		
14.318832	1.6484175			14.318832	0.13886		
14.299074	1.6505144			14.299074	0.139913		
14.27937	1.6504735			14.27937	0.14556		
14.259721	1.6510871			14.259721	0.142292		
14.240126	1.6512542			14.240126	0.149312		
14.220584	1.6512463			14.220584	0.145091		
14.201096	1.6532128			14.201096	0.148538		
14.181662	1.6535998			14.181662	0.150493		
14.16228	1.6554351			14.16228	0.149775		
14.142951	1.6553765			14.142951	0.157478		
14.123676	1.6552894			14.123676	0.153494		
14.104452	1.6561055			14.104452	0.159051		
14.085281	1.6562436			14.085281	0.157318		
14.066162	1.6582355			14.066162	0.159081		
14.047094	1.6583177			14.047094	0.163854		
14.028079	1.6593132			14.028079	0.161303		
14.009114	1.6596329			14.009114	0.168453		
13.990201	1.6598222			13.990201	0.164692		
13.971339	1.661604			13.971339	0.168938		
13.952528	1.6620356			13.952528	0.170221		
13.933767	1.6639031			13.933767	0.170535		
13.915057	1.6640429			13.915057	0.17722		
13.896397	1.6645772			13.896397	0.174029		
13.877787	1.6654883			13.877787	0.180396		
13.859226	1.6658668			13.859226	0.178528		
13.840716	1.6678895			13.840716	0.181653		
13.822254	1.6680847			13.822254	0.185799		
13.803842	1.6692262			13.803842	0.184664		
13.785479	1.6695972			13.785479	0.191369		
13.767164	1.6703412			13.767164	0.188184		
13.748899	1.6721497			13.748899	0.193881		
13.730681	1.6727801			13.730681	0.194791		
13.712512	1.6745892			13.712512	0.197288		
13.694391	1.6744551			13.694391	0.203442		
13.676317	1.6751346			13.676317	0.201261		
13.658292	1.6760366			13.658292	0.208026		
13.640313	1.6767819			13.640313	0.206557		
13.622382	1.6786258			13.622382	0.211814		
13.604498	1.6786424			13.604498	0.215574		
13.586661	1.679547			13.586661	0.216605		
13.568871	1.6794089			13.568871	0.223139		
13.551127	1.6801451			13.551127	0.220775		
13.53343	1.6817169			13.53343	0.227563		
13.515778	1.6823077			13.515778	0.228889		
13.498173	1.6834672			13.498173	0.233936		
13.480614	1.6826205			13.480614	0.239526		
13.4631	1.6827728			13.4631	0.239299		
13.445631	1.6827368			13.445631	0.246286		
13.428208	1.683156			13.428208	0.245025		
13.41083	1.6843808			13.41083	0.252056		
13.393497	1.6836776			13.393497	0.255892		
13.376209	1.68354			13.376209	0.258976		
13.358965	1.6823757			13.358965	0.26479		
13.341765	1.6823845			13.341765	0.263857		
13.32461	1.6828074			13.32461	0.271005		
13.307499	1.6827052			13.307499	0.272304		
13.290432	1.6828157			13.290432	0.279022		
13.273408	1.6808548			13.273408	0.284096		
13.256429	1.6797655			13.256429	0.285407		
13.239492	1.6785001			13.239492	0.29132		
13.222599	1.6783153			13.222599	0.290485		
13.205748	1.6783954			13.205748	0.29839		
13.188941	1.6769286			13.188941	0.301242		
13.172176	1.6758356			13.172176	0.306194		
13.155454	1.6732728			13.155454	0.31141		
13.138775	1.6720561			13.138775	0.311038		
13.122137	1.6712562			13.122137	0.317491		
13.105542	1.6705063			13.105542	0.318358		
13.088988	1.6694788			13.088988	0.326178		
13.072477	1.666594			13.072477	0.329705		
13.056006	1.6644857			13.056006	0.332531		
13.039578	1.6619896			13.039578	0.336927		
13.023191	1.6610357			13.023191	0.33632		
13.006844	1.6601299			13.006844	0.343684		
12.990539	1.6582405			12.990539	0.34561		
12.974275	1.6560442			12.974275	0.352089		
12.958051	1.652677			12.958051	0.354672		
12.941868	1.6510486			12.941868	0.355587		
12.925725	1.6493387			12.925725	0.360902		
12.909622	1.6482983			12.909622	0.361297		
12.89356	1.6465812			12.89356	0.369666		
12.877537	1.6433933			12.877537	0.371612		
12.861555	1.6406581			12.861555	0.376231		
12.845611	1.6375733			12.845611	0.378507		
12.829708	1.636311			12.829708	0.379377		
12.813843	1.6344399			12.813843	0.386164		
12.798018	1.6322939			12.798018	0.38735		
12.782232	1.6294237			12.782232	0.395128		
12.766485	1.6256191			12.766485	0.396132		
12.750776	1.6232141			12.750776	0.399408		
12.735106	1.6204384			12.735106	0.403048		
