Reference:	"Dello Russo and Khanna (1996)"
DOI:	"doi:https://doi.org/10.1006/icar.1996.0165"
Sample Type:	"Ice"
Composition:	"HC3N (1)"
Temperature:	"95K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/25"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
75	1.765		0.0274		
80	1.836		0.224		
81	1.822		0.274		
82	1.789		0.326		
83	1.746		0.351		
84	1.704		0.367		
85	1.667		0.373		
86	1.634		0.37		
87	1.612		0.362		
88	1.596		0.357		
89	1.586		0.355		
90	1.575		0.356		
94	1.523		0.371		
95	1.51		0.372		
100	1.448		0.393		
101	1.429		0.398		
102	1.409		0.402		
103	1.386		0.404		
104	1.362		0.403		
105	1.337		0.399		
106	1.311		0.391		
107	1.287		0.378		
108	1.266		0.362		
109	1.249		0.344		
110	1.235		0.326		
115	1.184		0.236		
120	1.178		0.141		
125	1.209		0.0671		
130	1.251		0.0267		
135	1.285		0.00961		
140	1.314		0.00328		
145	1.332		0.00175		
215	1.413		0.00061		
220	1.427		0.00197		
221	1.431		0.00589		
222	1.435		0.0121		
223	1.437		0.0205		
224	1.435		0.03		
225	1.429		0.0387		
226	1.42		0.0442		
227	1.49		0.0452		
228	1.401		0.0423		
229	1.395		0.0373		
230	1.392		0.0322		
235	1.387		0.017		
240	1.391		0.00366		
245	1.398		0.00126		
490	1.532		0.00561		
495	1.573		0.0258		
500	1.685		0.039		
501	1.734		0.0362		
502	1.85		0.0598		
503	2.024		0.197		
504	2.072		0.605		
505	1.698		0.854		
506	1.417		0.822		
507	1.2		0.749		
508	1.028		0.605		
509	0.945		0.434		
510	0.903		0.243		
512	1.107		0.00683		
730	1.583		0.0493		
740	1.673		0.13		
750	1.697		0.439		
751	1.67		0.484		
752	1.63		0.524		
753	1.586		0.556		
754	1.535		0.582		
755	1.48		0.602		
756	1.422		0.611		
757	1.364		0.61		
758	1.306		0.601		
759	1.252		0.583		
760	1.201		0.558		
761	1.156		0.525		
762	1.12		0.483		
763	1.094		0.445		
764	1.074		0.406		
765	1.058		0.367		
770	1.026		0.181		
780	1.2		0.0182		
