Reference:	"Dello Russo and Khanna (1996)"
DOI:	"doi:https://doi.org/10.1006/icar.1996.0165"
Sample Type:	"Ice"
Composition:	"HC3N (1)"
Temperature:	"95K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/25"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
75	1.765			75	0.0274		
80	1.836			80	0.224		
81	1.822			81	0.274		
82	1.789			82	0.326		
83	1.746			83	0.351		
84	1.704			84	0.367		
85	1.667			85	0.373		
86	1.634			86	0.37		
87	1.612			87	0.362		
88	1.596			88	0.357		
89	1.586			89	0.355		
90	1.575			90	0.356		
94	1.523			94	0.371		
95	1.51			95	0.372		
100	1.448			100	0.393		
101	1.429			101	0.398		
102	1.409			102	0.402		
103	1.386			103	0.404		
104	1.362			104	0.403		
105	1.337			105	0.399		
106	1.311			106	0.391		
107	1.287			107	0.378		
108	1.266			108	0.362		
109	1.249			109	0.344		
110	1.235			110	0.326		
115	1.184			115	0.236		
120	1.178			120	0.141		
125	1.209			125	0.0671		
130	1.251			130	0.0267		
135	1.285			135	0.00961		
140	1.314			140	0.00328		
145	1.332			145	0.00175		
215	1.413			215	0.00061		
220	1.427			220	0.00197		
221	1.431			221	0.00589		
222	1.435			222	0.0121		
223	1.437			223	0.0205		
224	1.435			224	0.03		
225	1.429			225	0.0387		
226	1.42			226	0.0442		
227	1.49			227	0.0452		
228	1.401			228	0.0423		
229	1.395			229	0.0373		
230	1.392			230	0.0322		
235	1.387			235	0.017		
240	1.391			240	0.00366		
245	1.398			245	0.00126		
490	1.532			490	0.00561		
495	1.573			495	0.0258		
500	1.685			500	0.039		
501	1.734			501	0.0362		
502	1.85			502	0.0598		
503	2.024			503	0.197		
504	2.072			504	0.605		
505	1.698			505	0.854		
506	1.417			506	0.822		
507	1.2			507	0.749		
508	1.028			508	0.605		
509	0.945			509	0.434		
510	0.903			510	0.243		
512	1.107			512	0.00683		
730	1.583			730	0.0493		
740	1.673			740	0.13		
750	1.697			750	0.439		
751	1.67			751	0.484		
752	1.63			752	0.524		
753	1.586			753	0.556		
754	1.535			754	0.582		
755	1.48			755	0.602		
756	1.422			756	0.611		
757	1.364			757	0.61		
758	1.306			758	0.601		
759	1.252			759	0.583		
760	1.201			760	0.558		
761	1.156			761	0.525		
762	1.12			762	0.483		
763	1.094			763	0.445		
764	1.074			764	0.406		
765	1.058			765	0.367		
770	1.026			770	0.181		
780	1.2			780	0.0182		
