Reference:	"Mukai and Krätschmer (1986)"
DOI:	"doi:https://doi.org/10.1007/BF00057607"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"23K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/261"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
650	1.52			650	0.28		
700	1.49			700	0.36		
750	1.39			750	0.4		
800	1.27			800	0.4		
850	1.17			850	0.32		
900	1.11			900	0.22		
950	1.13			950	0.1		
1000	1.2			1000	0.04		
1050	1.25			1050	0.04		
1100	1.27			1100	0.03		
1150	1.29			1150	0.03		
1200	1.3			1200	0.03		
1300	1.32			1300	0.04		
1400	1.33			1400	0.04		
1500	1.33			1500	0.05		
1600	1.34			1600	0.06		
1650	1.33			1650	0.08		
1675	1.31			1675	0.08		
1700	1.29			1700	0.07		
1800	1.3			1800	0.02		
1900	1.33			1900	0.01		
2000	1.34			2000	0.01		
2100	1.35			2100	0.01		
2200	1.35			2200	0.02		
2300	1.35			2300	0.02		
2400	1.36						
