Reference:	"Mukai and Krätschmer (1986)"
DOI:	"doi:https://doi.org/10.1007/BF00057607"
Sample Type:	"Ice"
Composition:	"NH3 (1)"
Temperature:	"23K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/262"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
650	1.45			650	0.02		
700	1.46			700	0.01		
750	1.46			750	0.02		
800	1.46			800	0.02		
850	1.47			850	0.01		
900	1.48			900	0		
950	1.51			950	0		
1000	1.6			1000	0.01		
1050	1.7			1050	0.3		
1100	1.22			1100	0.36		
1150	1.213			1150	0.07		
1200	1.31			1200	0.01		
1300	1.37			1300	0.01		
1400	1.39			1400	0.01		
1500	1.4			1500	0.02		
1600	1.41			1600	0.03		
1650	1.36			1650	0.05		
1675	1.35			1675	0.02		
1700	1.36			1700	0		
1800	1.4			1800	0		
1900	1.4			1900	0.01		
2000	1.4			2000	0		
2100	1.4			2100	0		
2200	1.4			2200	0		
2300	1.41			2300	0		
2400	1.41			2400	4.0E-6		
2500	1.41			2500	0.0006		
2600	1.41			2600	4.0E-6		
2700	1.41			2700	4.0E-6		
2750	1.42			2750	0.0002		
2800	1.42			2800	0.0004		
2850	1.42			2850	0.0003		
2900	1.42			2900	0.0002		
2950	1.42			2950	0		
3000	1.43			3000	0		
3050	1.43			3050	0		
3075	1.43			3075	0.01		
3100	1.44			3100	0.01		
3140	1.45			3140	0.01		
3180	1.46			3180	0.03		
3200	1.45			3200	0.05		
3250	1.43			3250	0.05		
3300	1.42			3300	0.05		
3320	1.43			3320	0.05		
3340	1.45			3340	0.06		
3360	1.44			3360	0.14		
3400	1.28			3400	0.04		
3450	1.35			3450	0.01		
3500	1.38			3500	0		
3550	1.38			3550	0		
3600	1.39			3600	0		
3700	1.39			3700	0.0002		
3800	1.4			3800	4.0E-6		
3900	1.4			3900	4.0E-6		
4000	1.4			4000	0.002		
