Reference:	"Mukai and Krätschmer (1986)"
DOI:	"doi:https://doi.org/10.1007/BF00057607"
Sample Type:	"Ice"
Composition:	"H2O:NH3 (2:1)"
Temperature:	"24K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/265"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
650	1.53		0.21		
700	1.52		0.27		
750	1.46		0.32		
800	1.36		0.32		
850	1.28		0.28		
900	1.23		0.2		
950	1.24		0.12		
1000	1.27		0.07		
1050	1.34		0.04		
1100	1.36		0.14		
1150	1.26		0.11		
1200	1.27		0.04		
1300	1.34		0.03		
1400	1.36		0.04		
1500	1.37		0.05		
1600	1.37		0.07		
1650	1.34		0.08		
1675	1.33		0.07		
1700	1.32		0.06		
1800	1.33		0.02		
1900	1.35		0.01		
2000	1.37		0.01		
2100	1.38		0.02		
2200	1.38		0.03		
2300	1.38		0.03		
2400	1.38		0.02		
2500	1.4		0.02		
2600	1.41		0.02		
2700	1.43		0.04		
2750	1.44		0.05		
2800	1.44		0.06		
2850	1.44		0.08		
2900	1.43		0.09		
2950	1.43		0.09		
3000	1.43		0.09		
3050	1.46		0.09		
3075	1.47		0.11		
3100	1.48		0.13		
3140	1.49		0.17		
3180	1.48		0.22		
3200	1.47		0.25		
3250	1.4		0.3		
3300	1.31		0.31		
3320	1.29		0.3		
3340	1.27		0.3		
3360	1.24		0.3		
3400	1.15		0.29		
3450	1.11		0.17		
3500	1.12		0.09		
3550	1.16		0.04		
3600	1.2		0.01		
3700	1.24		0		
3800	1.26		0		
3900	1.28		0		
4000	1.29		0		
