Reference:	"Mukai and Krätschmer (1986)"
DOI:	"doi:https://doi.org/10.1007/BF00057607"
Sample Type:	"Ice"
Composition:	"H2O:NH3 (4:1)"
Temperature:	"24K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/265"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
650	1.5			650	0.23		
700	1.48			700	0.3		
750	1.4			750	0.34		
800	1.29			800	0.33		
850	1.22			850	0.25		
900	1.2			900	0.19		
950	1.2			950	0.1		
1000	1.24			1000	0.06		
1050	1.29			1050	0.04		
1100	1.31			1100	0.08		
1150	1.27			1150	0.07		
1200	1.28			1200	0.03		
1300	1.32			1300	0.03		
1400	1.34			1400	0.04		
1500	1.34			1500	0.04		
1600	1.35			1600	0.06		
1650	1.32			1650	0.07		
1675	1.31			1675	0.07		
1700	1.31			1700	0.06		
1800	1.31			1800	0.02		
1900	1.33			1900	0.01		
2000	1.35			2000	0.01		
2100	1.35			2100	0.02		
2200	1.36			2200	0.03		
2300	1.35			2300	0.02		
2400	1.36			2400	0.02		
2500	1.37			2500	0.01		
2600	1.39			2600	0.02		
2700	1.4			2700	0.03		
2750	1.41			2750	0.03		
2800	1.41			2800	0.04		
2850	1.41			2850	0.05		
2900	1.42			2900	0.05		
2950	1.43			2950	0.05		
3000	1.45			3000	0.05		
3050	1.49			3050	0.07		
3075	1.5			3075	0.09		
3100	1.52			3100	0.12		
3140	1.52			3140	0.19		
3180	1.5			3180	0.25		
3200	1.48			3200	0.28		
3250	1.4			3250	0.34		
3300	1.3			3300	0.34		
3320	1.26			3320	0.33		
3340	1.23			3340	0.32		
3360	1.2			3360	0.31		
3400	1.13			3400	0.28		
3450	1.09			3450	0.18		
3500	1.09			3500	0.1		
3550	1.13			3550	0.04		
3600	1.17			3600	0.01		
3700	1.22			3700	0		
3800	1.24			3800	0.0004		
3900	1.26			3900	9.0E-5		
4000	1.27			4000	4.0E-6		
