Reference:	"Mukai and Krätschmer (1986)"
DOI:	"doi:https://doi.org/10.1007/BF00057607"
Sample Type:	"Ice"
Composition:	"H2O:NH3 (3:1)"
Temperature:	"23K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/266"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
650	1.51		0.23		
700	1.49		0.3		
750	1.41		0.34		
800	1.31		0.33		
850	1.23		0.28		
900	1.19		0.19		
950	1.2		0.11		
1000	1.24		0.06		
1050	1.3		0.04		
1100	1.32		0.09		
1150	1.27		0.07		
1200	1.28		0.03		
1300	1.33		0.03		
1400	1.34		0.04		
1500	1.35		0.05		
1600	1.35		0.06		
1650	1.32		0.07		
1675	1.32		0.06		
1700	1.32		0.06		
1800	1.32		0.02		
1900	1.34		0.02		
2000	1.35		0.02		
2100	1.36		0.02		
2200	1.36		0.03		
2300	1.36		0.02		
2400	1.37		0.02		
2500	1.38		0.02		
2600	1.39		0.02		
2700	1.41		0.03		
2750	1.42		0.03		
2800	1.42		0.04		
2850	1.42		0.05		
2900	1.42		0.05		
2950	1.43		0.05		
3000	1.45		0.06		
3050	1.49		0.07		
3075	1.51		0.09		
3100	1.52		0.12		
3140	1.52		0.19		
3180	1.5		0.25		
3200	1.48		0.28		
3250	1.41		0.34		
3300	1.3		0.35		
3320	1.27		0.34		
3340	1.24		0.33		
3360	1.21		0.32		
3400	1.13		0.29		
3450	1.09		0.18		
3500	1.1		0.1		
3550	1.13		0.04		
3600	1.18		0.02		
3700	1.22		0.01		
3800	1.25		0		
3900	1.26		0		
4000	1.27		0		
