Reference:	"Palumbo et al. (2006)"
DOI:	"doi:https://doi.org/10.1039/B509279E "
Sample Type:	"Ice"
Composition:	"CO (1)"
Temperature:	"15K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/269"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
1700.22	1.282315872		-0.000461846		
1700.46	1.282364289		-0.000270264		
1700.71	1.282454047		-5.2292E-5		
1700.95	1.282515378		0.000119304		
1701.19	1.282483169		0.000205179		
1701.43	1.282446043		0.00022075		
1701.67	1.282441867		0.000208637		
1701.91	1.282472385		0.000209179		
1702.15	1.282515171		0.000247546		
1702.39	1.282537469		0.000320532		
1702.63	1.282528898		0.000412642		
1702.88	1.282468154		0.000495389		
1703.12	1.282373585		0.000541812		
1703.36	1.282270611		0.000537539		
1703.6	1.282186541		0.000479552		
1703.84	1.28214702		0.000383856		
1704.08	1.282162918		0.000288385		
1704.32	1.282232087		0.000233012		
1704.56	1.282310774		0.000236998		
1704.8	1.282362394		0.000292363		
1705.04	1.282358916		0.000365093		
1705.29	1.282309336		0.000414834		
1705.53	1.282241186		0.000413972		
1705.77	1.282192154		0.000363458		
1706.01	1.282181122		0.000287651		
1706.25	1.282219982		0.000218658		
1706.49	1.282291999		0.000184774		
1706.73	1.282374799		0.000194613		
1706.97	1.282442356		0.000248227		
1707.21	1.28247608		0.000332908		
1707.46	1.2824713		0.000434875		
1707.7	1.282409841		0.000528039		
1707.94	1.282304609		0.0005808		
1708.18	1.282182687		0.000563668		
1708.42	1.282085677		0.000475459		
1708.66	1.282058156		0.000347926		
1708.9	1.282109819		0.000235289		
1709.14	1.282204299		0.000183299		
1709.38	1.282298438		0.000200224		
1709.62	1.282350229		0.000266655		
1709.87	1.282351056		0.000339588		
1710.11	1.282312662		0.000386499		
1710.35	1.282259874		0.000394882		
1710.59	1.28221482		0.000371308		
1710.83	1.282193973		0.000327393		
1711.07	1.282196908		0.000276373		
1711.31	1.282228177		0.000234541		
1711.55	1.282280766		0.000217802		
1711.79	1.282335681		0.000236466		
1712.04	1.282374228		0.000291305		
1712.28	1.282368119		0.000364278		
1712.52	1.282316777		0.000426642		
1712.76	1.282234144		0.000450266		
