Reference:	"Rajaram et al. (2001)"
DOI:	"doi:https://doi.org/10.1364/AO.40.004449"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"176K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/269"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
3721.015	1.169			3721.015	0.00122		
3728.732	1.172			3728.732	0.00111		
3740.306	1.176			3740.306	0.000975		
3759.597	1.182			3759.597	0.000832		
3778.887	1.187			3778.887	0.000745		
3798.178	1.192			3798.178	0.000694		
3817.469	1.197			3817.469	0.000666		
3836.759	1.201			3836.759	0.000649		
3856.05	1.205			3856.05	0.000646		
3875.34	1.208			3875.34	0.000649		
3894.631	1.212			3894.631	0.00066		
3913.922	1.215			3913.922	0.000671		
3933.212	1.218			3933.212	0.000683		
3952.503	1.221			3952.503	0.000685		
3971.794	1.223			3971.794	0.000684		
3991.084	1.226			3991.084	0.000674		
4010.375	1.228			4010.375	0.000659		
4029.666	1.23			4029.666	0.000642		
4048.956	1.232			4048.956	0.000622		
4068.247	1.234			4068.247	0.000604		
4087.537	1.236			4087.537	0.000588		
4106.828	1.238			4106.828	0.000576		
4126.119	1.24			4126.119	0.000562		
4145.409	1.242			4145.409	0.000555		
4164.7	1.243			4164.7	0.00054		
4183.991	1.245			4183.991	0.000532		
4203.281	1.246			4203.281	0.000518		
4222.572	1.248			4222.572	0.000498		
4241.862	1.249			4241.862	0.000473		
4261.153	1.25			4261.153	0.00014		
4280.444	1.251			4280.444	0.000404		
4299.734	1.253			4299.734	0.000363		
4319.025	1.254			4319.025	0.000322		
4338.316	1.255			4338.316	0.000286		
4357.606	1.256			4357.606	0.000253		
4376.897	1.257			4376.897	0.000224		
4396.188	1.258			4396.188	0.000205		
4415.478	1.259			4415.478	0.000189		
4434.769	1.26			4434.769	0.000179		
4454.06	1.261			4454.06	0.000178		
4473.35	1.262			4473.35	0.000179		
4492.641	1.263			4492.641	0.000185		
4511.932	1.264			4511.932	0.000193		
4531.222	1.265			4531.222	0.000208		
4550.513	1.266			4550.513	0.000223		
4569.803	1.266			4569.803	0.000242		
4589.094	1.267			4589.094	0.000264		
4608.385	1.268			4608.385	0.000292		
4627.675	1.269			4627.675	0.000326		
4646.966	1.269			4646.966	0.00037		
4666.256	1.27			4666.256	0.000424		
4685.547	1.271			4685.547	0.00049		
4704.838	1.271			4704.838	0.000572		
4724.128	1.272			4724.128	0.000668		
4743.419	1.273			4743.419	0.000785		
4762.709	1.273			4762.709	0.000866		
4782	1.274			4782	0.001		
4801.291	1.274			4801.291	0.00114		
4820.582	1.275			4820.582	0.00126		
4839.872	1.275			4839.872	0.00135		
4859.163	1.276			4859.163	0.00144		
4878.454	1.276			4878.454	0.00148		
