Reference:	"Rajaram et al. (2001)"
DOI:	"doi:https://doi.org/10.1364/AO.40.004449"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"186K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/272"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
3721.015	1.168		0.00118		
3728.732	1.171		0.00108		
3740.306	1.175		0.00095		
3759.597	1.181		0.000801		
3778.887	1.186		0.000713		
3798.178	1.191		0.000665		
3817.469	1.196		0.000634		
3836.759	1.2		0.000617		
3856.05	1.204		0.000612		
3875.34	1.208		0.000616		
3894.631	1.211		0.000628		
3913.922	1.214		0.000641		
3933.212	1.217		0.00065		
3952.503	1.22		0.000655		
3971.794	1.223		0.000653		
3991.084	1.225		0.000645		
4010.375	1.228		0.000631		
4029.666	1.23		0.000615		
4048.956	1.232		0.000598		
4068.247	1.234		0.00058		
4087.537	1.236		0.000566		
4106.828	1.238		0.000557		
4126.119	1.24		0.00054		
4145.409	1.241		0.000529		
4164.7	1.243		0.000518		
4183.991	1.244		0.000508		
4203.281	1.246		0.000494		
4222.572	1.247		0.00048		
4241.862	1.249		0.000455		
4261.153	1.25		0.000422		
4280.444	1.251		0.000389		
4299.734	1.252		0.000351		
4319.025	1.254		0.000314		
4338.316	1.255		0.000279		
4357.606	1.256		0.000248		
4376.897	1.257		0.000222		
4396.188	1.258		0.000203		
4415.478	1.259		0.000187		
4434.769	1.26		0.000181		
4454.06	1.261		0.000178		
4473.35	1.262		0.00018		
4492.641	1.263		0.000186		
4511.932	1.264		0.000197		
4531.222	1.264		0.000208		
4550.513	1.265		0.000226		
4569.803	1.266		0.000243		
4589.094	1.267		0.000265		
4608.385	1.268		0.000292		
4627.675	1.268		0.000323		
4646.966	1.269		0.000364		
4666.256	1.27		0.000413		
4685.547	1.27		0.000475		
4704.838	1.271		0.000553		
4724.128	1.272		0.000648		
4743.419	1.272		0.000758		
4762.709	1.273		0.000872		
4782	1.273		0.00101		
4801.291	1.274		0.00113		
4820.582	1.274		0.00125		
4839.872	1.275		0.00135		
4859.163	1.275		0.00142		
4878.454	1.276		0.00148		
4897.744	1.276		0.00152		
4917.035	1.276		0.00155		
4936.325	1.277		0.00158		
4955.616	1.277		0.00159		
4974.907	1.277		0.0016		
4994.197	1.278		0.00159		
5013.488	1.278		0.00156		
5021.204	1.278		0.00155		
5032.779	1.278		0.00153		
5052.069	1.279		0.00146		
5071.36	1.279		0.00137		
5090.65	1.279		0.00127		
5109.941	1.279		0.00115		
5129.232	1.28		0.00102		
5148.522	1.28		0.000885		
5167.813	1.28		0.00075		
5187.104	1.281		0.000627		
5206.395	1.281		0.000517		
5225.685	1.282		0.000437		
5244.976	1.282		0.000359		
5264.266	1.282		0.000294		
5283.557	1.283		0.000245		
5302.848	1.283		0.000208		
5341.429	1.284		0.000163		
5380.01	1.284		0.000142		
5418.591	1.285		0.000134		
5457.172	1.286		0.000131		
5495.754	1.286		0.000133		
5534.335	1.287		0.000135		
5572.917	1.287		0.000138		
5611.498	1.288		0.000141		
5650.079	1.288		0.000145		
5688.66	1.289		0.000119		
5727.242	1.289		0.000153		
5765	1.29		0.000161		
5804.404	1.29		0.000171		
5842.985	1.29		0.000183		
5881.566	1.291		0.000197		
5920.148	1.291		0.000211		
5958.729	1.292		0.000226		
5997.311	1.292		0.000248		
6035.892	1.292		0.000273		
6074.473	1.293		0.0003		
6113.054	1.293		0.000303		
6151.635	1.293		0.000296		
6190.217	1.294		0.000294		
6228.798	1.294		0.000304		
6267.379	1.294		0.000329		
6305.96	1.294		0.000364		
6344.542	1.295		0.000399		
6383.123	1.295		0.000446		
6421.704	1.295		0.000479		
6460.286	1.295		0.0005		
6498.867	1.296		0.000515		
6537.448	1.296		0.00052		
6576.029	1.296		0.000542		
6614.611	1.296		0.000555		
6633.901	1.296		0.000551		
6672.482	1.296		0.000552		
6691.773	1.296		0.000533		
6730.354	1.297		0.000516		
6749.645	1.297		0.000474		
6768.936	1.297		0.000429		
6788.227	1.297		0.000386		
6807.517	1.297		0.000336		
6826.808	1.297		0.000293		
6846.098	1.297		0.000259		
6865.389	1.297		0.229		
6884.68	1.297		0.000204		
6903.97	1.297		0.000181		
6923.261	1.298		0.000162		
6942.551	1.298		0.000149		
6961.842	1.298		0.000138		
6981.188	1.298		0.000131		
