Reference:	"Rajaram et al. (2001)"
DOI:	"doi:https://doi.org/10.1364/AO.40.004449"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"196K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/273"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
3721.015	1.17		0.00129		
3728.732	1.172		0.00117		
3740.306	1.176		1020		
3759.597	1.182		0.000865		
3778.887	1.188		0.000768		
3798.178	1.193		0.00071		
3817.469	1.197		0.000677		
3836.759	1.202		0.66		
3856.05	1.205		0.000648		
3875.34	1.209		0.000657		
3894.631	1.212		0.000666		
3913.922	1.216		0.000682		
3933.212	1.219		0.000692		
3952.503	1.221		0.000696		
3971.794	1.224		0.000695		
3991.084	1.226		0.000685		
4010.375	1.229		0.000672		
4029.666	1.231		0.000656		
4048.956	1.233		0.000635		
4068.247	1.235		0.000619		
4087.537	1.237		0.000603		
4106.828	1.239		0.000587		
4126.119	1.24		0.000574		
4145.409	1.242		0.000563		
4164.7	1.244		0.000553		
4183.991	1.245		0.00054		
4203.281	1.247		0.000526		
4222.572	1.248		0.000504		
4241.862	1.249		0.000479		
4261.153	1.251		0.000448		
4280.444	1.252		0.000408		
4299.734	1.253		0.000369		
4319.025	1.254		0.000332		
4338.316	1.255		0.000295		
4357.606	1.256		0.000263		
4376.897	1.257		0.000237		
4396.188	1.258		0.000216		
4415.478	1.259		0.000201		
4434.769	1.26		0.000194		
4454.06	1.261		0.000192		
4473.35	1.262		0.000196		
4492.641	1.263		0.000203		
4511.932	1.264		0.000213		
4531.222	1.265		0.000226		
4550.513	1.266		0.000244		
4569.803	1.266		0.000264		
4589.094	1.267		0.000288		
4608.385	1.268		0.000315		
4627.675	1.269		0.000351		
4646.966	1.269		0.000392		
4666.256	1.27		0.000446		
4685.547	1.271		0.000511		
4704.838	1.271		0.000589		
4724.128	1.272		0.000679		
4743.419	1.273		0.000789		
4762.709	1.273		0.000868		
4782	1.274		0.00099		
4801.291	1.274		0.00111		
4820.582	1.275		0.00122		
4839.872	1.275		0.00132		
4859.163	1.276		0.00141		
4878.454	1.276		0.00145		
4897.744	1.276		0.00151		
4917.035	1.277		0.00154		
4936.325	1.277		0.00157		
4955.616	1.277		0.00159		
4974.907	1.278		0.00159		
4994.197	1.278		0.0016		
5013.488	1.278		0.00157		
5021.204	1.278		0.00154		
5032.779	1.279		0.00154		
5052.069	1.279		0.00147		
5071.36	1.279		0.0014		
5090.65	1.279		0.00128		
5109.941	1.28		0.00115		
5129.232	1.28		0.00104		
5148.522	1.28		0.000908		
5167.813	1.281		0.000777		
5187.104	1.281		0.000649		
5206.395	1.281		0.000534		
5225.685	1.282		0.000476		
5244.976	1.282		0.000391		
5264.266	1.282		0.00032		
5283.557	1.283		0.000266		
5302.848	1.283		0.000225		
5341.429	1.284		0.000174		
5380.01	1.285		0.000152		
5418.591	1.285		0.000145		
5457.172	1.286		0.000142		
5495.754	1.286		0.000144		
5534.335	1.287		0.000147		
5572.917	1.287		0.00015		
5611.498	1.288		0.000152		
5650.079	1.288		0.000157		
5688.66	1.289		0.00016		
5727.242	1.289		0.000166		
5765	1.29		0.000173		
5804.404	1.29		0.000183		
5842.985	1.29		0.0195		
5881.566	1.291		0.000208		
5920.148	1.291		0.000224		
5958.729	1.292		0.000239		
5997.311	1.292		0.000258		
6035.892	1.292		0.000283		
6074.473	1.293		0.000307		
6113.054	1.293		0.000312		
6151.635	1.293		0.000307		
6190.217	1.293		0.000307		
6228.798	1.294		0.000317		
6267.379	1.294		0.000341		
6305.96	1.294		0.000372		
6344.542	1.295		0.00041		
6383.123	1.295		0.000447		
6421.704	1.295		0.000475		
6460.286	1.295		0.000504		
6498.867	1.295		0.000508		
6537.448	1.296		0.000537		
6576.029	1.296		0.000546		
6614.611	1.296		0.000539		
6633.901	1.296		0.000547		
6672.482	1.296		0.00054		
6691.773	1.296		0.000532		
6730.354	1.297		0.000495		
6749.645	1.297		0.000472		
6768.936	1.297		0.000443		
6788.227	1.297		0.000391		
6807.517	1.297		0.000361		
6826.808	1.297		0.000311		
6846.098	1.297		0.000275		
6865.389	1.297		0.000245		
6884.68	1.297		0.000217		
6903.97	1.297		0.000194		
6923.261	1.297		0.000173		
6942.551	1.298		0.000158		
6961.842	1.298		0.00015		
6981.188	1.298		0.000138		
