Reference:	"Roser et al. (2021)"
DOI:	"doi:https://doi.org/10.3847/PSJ/ac3336"
Sample Type:	"Ice"
Composition:	"NH3 (1)"
Temperature:	"40K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/273"
n₁ Error Units:	Error in n values of 2.6%.
k₁ Error Units:	Error in k values of 7% in the mid-IR region and 3% in the near-IR region.

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
440.0101	2.128540039			440.0101	0.208759993		
440.2512	2.006010056			440.2512	0.250620008		
440.4923	1.986600041			440.4923	0.269169986		
440.7334	1.924550056			440.7334	0.277559996		
440.9745	1.91328001			440.9745	0.263379991		
441.2156	1.903499961			441.2156	0.263080001		
441.4567	1.90478003			441.4567	0.285899997		
441.6978	1.863209963			441.6978	0.295599997		
441.9389	1.859570026			441.9389	0.280530006		
442.18	1.853000045			442.18	0.295349985		
442.4211	1.829839945			442.4211	0.300909996		
442.6622	1.814149976			442.6622	0.285109997		
442.9033	1.821879983			442.9033	0.283670008		
443.1444	1.814689994			443.1444	0.288269997		
443.3855	1.817530036			443.3855	0.295769989		
443.6266	1.801010013			443.6266	0.309899986		
443.8677	1.785509944			443.8677	0.308369994		
444.1088	1.774180055			444.1088	0.303880006		
444.3499	1.769970059			444.3499	0.301479995		
444.591	1.762889981			444.591	0.298619986		
444.8321	1.763669968			444.8321	0.300460011		
445.0732	1.751829982			445.0732	0.305189997		
445.3143	1.743999958			445.3143	0.300009996		
445.5554	1.739159942			445.5554	0.295419991		
445.7965	1.739719987			445.7965	0.292030007		
446.0376	1.740869999			446.0376	0.292100012		
446.2787	1.74248004			446.2787	0.300080001		
446.5198	1.731860042			446.5198	0.306620002		
446.7609	1.723870039			446.7609	0.307289988		
447.0021	1.713250041			447.0021	0.304309994		
447.2432	1.712080002			447.2432	0.298440009		
447.4843	1.710520029			447.4843	0.298949987		
447.7254	1.708220005			447.7254	0.300599992		
447.9665	1.702119946			447.9665	0.301750004		
448.2076	1.696539998			448.2076	0.302489996		
448.4487	1.684649944			448.4487	0.29716		
448.6898	1.686380029			448.6898	0.281010002		
448.9309	1.703130007			448.9309	0.278759986		
449.172	1.710100055			449.172	0.296750009		
449.4131	1.69769001			449.4131	0.30726999		
449.6542	1.69054997			449.6542	0.30952999		
449.8953	1.679100037			449.8953	0.312680006		
450.1364	1.667760015			450.1364	0.30757001		
450.3775	1.662279963			450.3775	0.296139985		
450.6186	1.669870019			450.6186	0.289339989		
450.8597	1.672440052			450.8597	0.294939995		
451.1008	1.667610049			451.1008	0.295679986		
451.3419	1.669860005			451.3419	0.29192999		
451.583	1.674280047			451.583	0.301670015		
451.8241	1.660930037			451.8241	0.30814001		
452.0652	1.65613997			452.0652	0.300150007		
452.3063	1.659579992			452.3063	0.301389992		
452.5474	1.655529976			452.5474	0.308770001		
452.7885	1.644649982			452.7885	0.309450001		
453.0296	1.637920022			453.0296	0.304710001		
453.2707	1.633970022			453.2707	0.297300011		
453.5118	1.639529943			453.5118	0.291770011		
453.7529	1.644410014			453.7529	0.298290014		
453.994	1.636219978			453.994	0.308239996		
454.2351	1.621269941			454.2351	0.302670002		
454.4762	1.621520042			454.4762	0.292650014		
454.7173	1.619809985			454.7173	0.29065001		
454.9584	1.619609952			454.9584	0.280680001		
455.1995	1.631780028			455.1995	0.277079999		
455.4406	1.637410045			455.4406	0.288500011		
455.6817	1.629520059			455.6817	0.294220001		
455.9228	1.625159979			455.9228	0.291920006		
