Reference:	"Sciamma-O'Brien et al. (2012)"
DOI:	"doi:doi:10.1016/j.icarus.2011.12.014"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4 (95:5)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/274"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
0.8997	1.57			0.8997	0.00195		
0.8904	1.57			0.8904	0.00202		
0.8795	1.57			0.8795	0.00208		
0.8701	1.57			0.8701	0.00212		
0.8607	1.57			0.8607	0.00215		
0.8498	1.57			0.8498	0.00216		
0.8404	1.57			0.8404	0.00216		
0.8294	1.57			0.8294	0.00215		
0.82	1.57			0.82	0.00214		
0.8106	1.57			0.8106	0.00211		
0.7996	1.57			0.7996	0.00208		
0.7902	1.57			0.7902	0.00204		
0.7807	1.57			0.7807	0.002		
0.7697	1.58			0.7697	0.00194		
0.7603	1.58			0.7603	0.0019		
0.7492	1.58			0.7492	0.00185		
0.7398	1.58			0.7398	0.00181		
0.7303	1.58			0.7303	0.00178		
0.7193	1.58			0.7193	0.00181		
0.7098	1.58			0.7098	0.00177		
0.7004	1.58			0.7004	0.00175		
0.6893	1.58			0.6893	0.00165		
0.6799	1.58			0.6799	0.00161		
0.6704	1.58			0.6704	0.00157		
0.6594	1.58			0.6594	0.00154		
0.6499	1.58			0.6499	0.00153		
0.6404	1.59			0.6404	0.00153		
0.6294	1.59			0.6294	0.00154		
0.6199	1.59			0.6199	0.00155		
0.6104	1.59			0.6104	0.00158		
0.5994	1.59			0.5994	0.00162		
0.5899	1.59			0.5899	0.00165		
0.5804	1.59			0.5804	0.00169		
0.5694	1.59			0.5694	0.00175		
0.5599	1.6			0.5599	0.00179		
0.5504	1.6			0.5504	0.00182		
0.5393	1.6			0.5393	0.00186		
0.5298	1.6			0.5298	0.00189		
0.5204	1.6			0.5204	0.00193		
0.5093	1.6			0.5093	0.00201		
0.4998	1.61			0.4998	0.00213		
0.4903	1.61			0.4903	0.0023		
0.4793	1.61			0.4793	0.0026		
0.4698	1.61			0.4698	0.00299		
0.4603	1.61			0.4603	0.00351		
0.4508	1.62			0.4508	0.00423		
0.4397	1.62			0.4397	0.00536		
0.4303	1.62			0.4303	0.00661		
0.4208	1.63			0.4208	0.00809		
0.4097	1.63			0.4097	0.01		
0.4003	1.63			0.4003	0.0118		
0.3908	1.64			0.3908	0.0136		
0.3797	1.64			0.3797	0.0155		
0.3703	1.64			0.3703	0.0167		
