Reference:	"Ramírez et al. (2002)"
DOI:	"doi:doi:10.1006/icar.2001.6783"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4 (98:2)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/274"
n₁ Error Units:	Uncertainty Δn resulting from the effect of the sample thickness uncertainty and the amount of light scattered by the two samples named 2H and 4H.
k₁ Error Units:	Uncertainty Δk resulting from the effect of the sample thickness uncertainty and the amount of light scattered by the two samples named 2H and 4H.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
0.998	1.531	0.0096	0.0003	0.0001	
0.993	1.5311	0.001	0.0003	0.0001	
0.988	1.5311	0.0007	0.0003	0.0001	
0.983	1.5312	0.0006	0.0003	0.0001	
0.978	1.5312	0.0003	0.0003	0.0001	
0.973	1.5313	0.0002	0.0003	0.0001	
0.968	1.5313	0.0001	0.0003	0.0001	
0.963	1.5314	0.0004	0.0003	0.0001	
0.958	1.5314	0.0005	0.0003	0.0001	
0.953	1.5316	0.0008	0.0003	0.0001	
0.948	1.5317	0.0009	0.0003	0.0001	
0.943	1.5318	0.0012	0.0003	0.0001	
0.938	1.532	0.0012	0.0003	0.0001	
0.933	1.5322	0.0015	0.0003	0.0001	
0.928	1.5323	0.0016	0.0003	0.0001	
0.923	1.5325	0.0018	0.0003	0.0001	
0.918	1.5327	0.0019	0.0004	0.0001	
0.913	1.533	0.0022	0.0004	0.0001	
0.908	1.5331	0.0023	0.0004	0.0001	
0.903	1.5334	0.0026	0.0004	0.0001	
0.898	1.5336	0.0027	0.0004	0.0001	
0.893	1.5338	0.0031	0.0004	0.0001	
0.888	1.534	0.0032	0.0004	0.0001	
0.883	1.5343	0.0036	0.0004	0.0002	
0.878	1.5346	0.0036	0.0004	0.0002	
0.873	1.5349	0.0041	0.0004	0.0002	
0.868	1.5352	0.0042	0.0004	0.0002	
0.863	1.5355	0.0046	0.0004	0.0002	
0.858	1.5358	0.0047	0.0004	0.0002	
0.853	1.5362	0.0051	0.0005	0.0002	
0.8475	1.5364	0.0052	0.0005	0.0002	
0.8425	1.5368	0.0057	0.0005	0.0002	
0.8375	1.5371	0.0057	0.0005	0.0002	
0.8325	1.5374	0.0063	0.0005	0.0002	
0.8275	1.5377	0.0064	0.0005	0.0002	
0.8225	1.538	0.0069	0.0005	0.0002	
0.8175	1.5383	0.0071	0.0005	0.0002	
0.8125	1.5387	0.0076	0.0006	0.0002	
0.8075	1.5389	0.0077	0.0006	0.0002	
0.8025	1.5394	0.0083	0.0006	0.0002	
0.7975	1.5397	0.0084	0.0006	0.0002	
0.7925	1.5402	0.0089	0.0006	0.0002	
0.7875	1.5405	0.009	0.0006	0.0002	
0.7825	1.541	0.0095	0.0006	0.0002	
0.7775	1.5414	0.0095	0.0006	0.0002	
0.7725	1.542	0.01	0.0006	0.0002	
0.7675	1.5424	0.01	0.0006	0.0002	
0.7625	1.5429	0.0105	0.0006	0.0002	
0.7575	1.5432	0.0106	0.0006	0.0002	
0.7525	1.5438	0.0112	0.0006	0.0002	
0.7475	1.5443	0.0112	0.0006	0.0002	
0.7425	1.5449	0.0117	0.0006	0.0002	
0.7375	1.5454	0.0117	0.0006	0.0002	
0.7325	1.5459	0.0123	0.0006	0.0002	
0.7275	1.5464	0.0123	0.0006	0.0002	
0.7225	1.547	0.0129	0.0006	0.0002	
0.7175	1.5475	0.0129	0.0007	0.0003	
0.7125	1.5482	0.0136	0.0007	0.0003	
0.7075	1.5487	0.0136	0.0007	0.0003	
0.7025	1.5493	0.0143	0.0007	0.0003	
0.6975	1.5497	0.0143	0.0007	0.0003	
0.6925	1.5504	0.015	0.0007	0.0003	
0.6875	1.5509	0.0151	0.0007	0.0003	
0.6825	1.5515	0.0157	0.0008	0.0003	
0.6775	1.552	0.0158	0.0008	0.0003	
0.6725	1.5527	0.0165	0.0008	0.0003	
0.6675	1.5533	0.0166	0.0008	0.0003	
0.6625	1.5543	0.0176	0.0009	0.0003	
0.6575	1.5553	0.0186	0.0009	0.0003	
0.6525	1.5561	0.0196	0.0009	0.0003	
0.6475	1.5566	0.0203	0.0009	0.0004	
0.6425	1.5571	0.0205	0.001	0.0004	
0.6375	1.5578	0.0211	0.001	0.0004	
0.6325	1.5584	0.0211	0.001	0.0004	
0.6275	1.5592	0.0218	0.0011	0.0004	
0.6225	1.56	0.0217	0.0011	0.0004	
0.6175	1.5613	0.0226	0.0011	0.0004	
0.6125	1.5629	0.024	0.0012	0.0004	
0.6075	1.5639	0.025	0.0012	0.0005	
0.6025	1.5644	0.0252	0.0013	0.0005	
0.5975	1.5648	0.0255	0.0013	0.0005	
0.5925	1.565	0.0254	0.0014	0.0005	
0.5875	1.5653	0.0257	0.0014	0.0005	
0.5825	1.5655	0.0258	0.0015	0.0006	
0.5775	1.566	0.0259	0.0016	0.0006	
0.5725	1.5664	0.0257	0.0016	0.0006	
0.5675	1.5669	0.0257	0.0017	0.0006	
0.5625	1.5673	0.0254	0.0018	0.0007	
0.5575	1.5677	0.0254	0.0019	0.0007	
0.5525	1.5681	0.0252	0.002	0.0007	
0.5475	1.5685	0.0252	0.002	0.0008	
0.5425	1.5688	0.025	0.0021	0.0008	
0.5375	1.5691	0.0251	0.0023	0.0009	
0.5325	1.5692	0.0251	0.0024	0.0009	
0.5295	1.5693	0.0251	0.0025	0.0009	
0.5245	1.5699	0.0247	0.0026	0.001	
0.5195	1.5704	0.0245	0.0028	0.001	
0.5145	1.5708	0.0245	0.0029	0.0011	
0.5095	1.5711	0.0244	0.0031	0.0012	
0.5045	1.5714	0.0245	0.0032	0.0012	
0.4995	1.5716	0.0246	0.0034	0.0013	
0.4945	1.5719	0.0246	0.0036	0.0014	
0.4895	1.5726	0.0244	0.0038	0.0014	
0.4845	1.5734	0.024	0.004	0.0015	
0.4795	1.5746	0.0233	0.0042	0.0016	
0.4745	1.5758	0.0226	0.0045	0.0017	
0.4695	1.5771	0.0217	0.0047	0.0018	
0.4645	1.5784	0.0209	0.005	0.0019	
0.4595	1.5798	0.0201	0.0053	0.002	
0.4545	1.5811	0.0193	0.0056	0.0021	
0.4495	1.5825	0.0184	0.006	0.0023	
0.4445	1.5839	0.0175	0.0064	0.0024	
0.4395	1.5854	0.0017	0.0068	0.0026	
0.4345	1.5869	0.0157	0.0072	0.0027	
0.4295	1.5884	0.0148	0.0077	0.0029	
0.4245	1.5898	0.0139	0.0082	0.0031	
0.4195	1.5912	0.013	0.0087	0.0033	
0.4145	1.5926	0.0122	0.0093	0.0035	
0.4095	1.5939	0.0115	0.0099	0.0038	
0.4045	1.5952	0.0107	0.0106	0.004	
0.3995	1.5964	0.0102	0.0113	0.0043	
0.3945	1.5975	0.0096	0.012	0.0046	
0.3895	1.5986	0.0091	0.0128	0.0049	
0.3845	1.5996	0.0086	0.0137	0.0052	
0.3795	1.6006	0.0083	0.0146	0.0055	
0.3745	1.6015	0.008	0.0155	0.0059	
0.3695	1.6024	0.0078	0.0165	0.0063	
