Reference:	"Roser et al. (2021)"
DOI:	"doi:https://doi.org/10.3847/PSJ/ac3336"
Sample Type:	"Ice"
Composition:	"NH3 (1)"
Temperature:	"40K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/275"
n₁ Error Units:	Error in n values of 2.6%.
k₁ Error Units:	Error in k values of 7% in the mid-IR region and 3% in the near-IR region.

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
440.0101	2.128540039		0.208759993		
440.2512	2.006010056		0.250620008		
440.4923	1.986600041		0.269169986		
440.7334	1.924550056		0.277559996		
440.9745	1.91328001		0.263379991		
441.2156	1.903499961		0.263080001		
441.4567	1.90478003		0.285899997		
441.6978	1.863209963		0.295599997		
441.9389	1.859570026		0.280530006		
442.18	1.853000045		0.295349985		
442.4211	1.829839945		0.300909996		
442.6622	1.814149976		0.285109997		
442.9033	1.821879983		0.283670008		
443.1444	1.814689994		0.288269997		
443.3855	1.817530036		0.295769989		
443.6266	1.801010013		0.309899986		
443.8677	1.785509944		0.308369994		
444.1088	1.774180055		0.303880006		
444.3499	1.769970059		0.301479995		
444.591	1.762889981		0.298619986		
444.8321	1.763669968		0.300460011		
445.0732	1.751829982		0.305189997		
445.3143	1.743999958		0.300009996		
445.5554	1.739159942		0.295419991		
445.7965	1.739719987		0.292030007		
446.0376	1.740869999		0.292100012		
446.2787	1.74248004		0.300080001		
446.5198	1.731860042		0.306620002		
446.7609	1.723870039		0.307289988		
447.0021	1.713250041		0.304309994		
447.2432	1.712080002		0.298440009		
447.4843	1.710520029		0.298949987		
447.7254	1.708220005		0.300599992		
447.9665	1.702119946		0.301750004		
448.2076	1.696539998		0.302489996		
448.4487	1.684649944		0.29716		
448.6898	1.686380029		0.281010002		
448.9309	1.703130007		0.278759986		
449.172	1.710100055		0.296750009		
449.4131	1.69769001		0.30726999		
449.6542	1.69054997		0.30952999		
449.8953	1.679100037		0.312680006		
450.1364	1.667760015		0.30757001		
450.3775	1.662279963		0.296139985		
450.6186	1.669870019		0.289339989		
450.8597	1.672440052		0.294939995		
451.1008	1.667610049		0.295679986		
451.3419	1.669860005		0.29192999		
451.583	1.674280047		0.301670015		
451.8241	1.660930037		0.30814001		
452.0652	1.65613997		0.300150007		
452.3063	1.659579992		0.301389992		
452.5474	1.655529976		0.308770001		
452.7885	1.644649982		0.309450001		
453.0296	1.637920022		0.304710001		
453.2707	1.633970022		0.297300011		
453.5118	1.639529943		0.291770011		
453.7529	1.644410014		0.298290014		
453.994	1.636219978		0.308239996		
454.2351	1.621269941		0.302670002		
454.4762	1.621520042		0.292650014		
454.7173	1.619809985		0.29065001		
454.9584	1.619609952		0.280680001		
455.1995	1.631780028		0.277079999		
455.4406	1.637410045		0.288500011		
455.6817	1.629520059		0.294220001		
455.9228	1.625159979		0.291920006		
456.1639	1.624789953		0.288100004		
456.405	1.630730033		0.288650006		
456.6461	1.632650018		0.295949996		
456.8872	1.630540013		0.305449992		
457.1283	1.617449999		0.313439995		
457.3694	1.603739977		0.305660009		
457.6105	1.605550051		0.2949		
457.8516	1.610900044		0.296640009		
458.0927	1.609889984		0.29975		
458.3338	1.60916996		0.306089997		
458.5749	1.596920013		0.311850011		
458.816	1.585080028		0.304540008		
459.0571	1.581680059		0.293489993		
459.2982	1.587039948		0.284790009		
459.5393	1.594400048		0.286540002		
459.7804	1.591879964		0.291220009		
460.0215	1.590459943		0.286390007		
460.2626	1.596779943		0.289530009		
460.5037	1.591969967		0.295170009		
460.7448	1.59078002		0.293870002		
460.9859	1.589580059		0.299290001		
461.227	1.581259966		0.301750004		
461.4681	1.573860049		0.297199994		
461.7092	1.57249999		0.289550006		
461.9503	1.578600049		0.285360008		
462.1914	1.583459973		0.292279989		
462.4325	1.577229977		0.298350006		
462.6736	1.571050048		0.298229992		
462.9147	1.565140009		0.295370013		
463.1558	1.563830018		0.289979994		
463.3969	1.565600038		0.287339985		
463.638	1.567890048		0.289079994		
463.8792	1.563899994		0.292079985		
464.1203	1.560269952		0.288060009		
464.3614	1.563490033		0.286220014		
464.6025	1.562639952		0.290369987		
464.8436	1.55945003		0.288379997		
465.0847	1.562479973		0.29155001		
465.3258	1.552330017		0.297820002		
465.5669	1.542289972		0.286630005		
465.808	1.54945004		0.27542001		
466.0491	1.55903995		0.277420014		
466.2902	1.563380003		0.28332001		
466.5313	1.56388998		0.29449001		
466.7724	1.551100016		0.302489996		
467.0135	1.540159941		0.295520008		
467.2546	1.541319966		0.288509995		
467.4957	1.542919993		0.290199995		
467.7368	1.539219975		0.29034999		
467.9779	1.538990021		0.289900005		
468.219	1.534240007		0.29302001		
468.4601	1.525709987		0.287860006		
468.7012	1.528339982		0.276520014		
468.9423	1.540070057		0.279280007		
469.1834	1.536200047		0.292199999		
469.4245	1.522330046		0.291299999		
469.6656	1.517989993		0.280640006		
469.9067	1.521639943		0.274349988		
470.1478	1.526690006		0.271479994		
470.3889	1.533589959		0.275379986		
470.63	1.531890035		0.28459999		
470.8711	1.522400022		0.288590014		
471.1122	1.512599945		0.281309992		
471.3533	1.51770997		0.270370007		
471.5944	1.526559949		0.275869995		
471.8355	1.52007997		0.282990009		
472.0766	1.515750051		0.278149992		
472.3177	1.517639995		0.279599994		
472.5588	1.51196003		0.280290008		
472.7999	1.511800051		0.276969999		
473.041	1.509780049		0.279799998		
473.2821	1.502850056		0.276349992		
473.5232	1.504390001		0.26857999		
473.7643	1.509119987		0.27046001		
474.0054	1.503829956		0.271780014		
474.2465	1.504330039		0.263590008		
474.4876	1.51391995		0.26493001		
474.7287	1.512639999		0.275279999		
474.9698	1.504040003		0.275189996		
475.2109	1.503589988		0.271829993		
475.452	1.502959967		0.272879988		
475.6931	1.501039982		0.273939997		
475.9342	1.496269941		0.275050014		
476.1753	1.490200043		0.271149993		
476.4164	1.489009976		0.263319999		
476.6575	1.493989944		0.258080006		
476.8986	1.500620008		0.258700013		
477.1397	1.503329992		0.26591		
477.3808	1.496829987		0.270520002		
477.6219	1.4921		0.267509997		
477.863	1.490919948		0.264319986		
478.1041	1.493049979		0.26087001		
478.3452	1.498200059		0.263999999		
478.5863	1.493690014		0.271860003		
478.8274	1.485020041		0.267769992		
479.0685	1.487709999		0.262250006		
479.3096	1.49011004		0.26372999		
479.5507	1.491440058		0.266840011		
479.7918	1.487429976		0.273360014		
480.0329	1.477830052		0.27335		
480.274	1.471600056		0.267470002		
480.5151	1.469179988		0.258879989		
480.7563	1.476199985		0.250030011		
480.9974	1.487050056		0.255389988		
481.2385	1.483669996		0.265480012		
481.4796	1.476629972		0.266490012		
481.7207	1.471650004		0.265370011		
481.9618	1.46668005		0.260960013		
482.2029	1.468320012		0.253490001		
482.444	1.475610018		0.255589992		
482.6851	1.470569968		0.263740003		
482.9262	1.460680008		0.258489996		
483.1673	1.462890029		0.249620005		
483.4084	1.467599988		0.249259993		
483.6495	1.46954		0.250409991		
483.8906	1.469449997		0.255430013		
484.1317	1.460780025		0.255580008		
484.3728	1.460289955		0.246230006		
484.6139	1.467519999		0.246380001		
484.855	1.46607995		0.251839995		
485.0961	1.461959958		0.250270009		
485.3372	1.462759972		0.249139994		
485.5783	1.460479975		0.250499994		
485.8194	1.457209945		0.247669995		
486.0605	1.45807004		0.243379995		
486.3016	1.461930037		0.242709994		
486.5427	1.463340044		0.246209994		
486.7838	1.459619999		0.249109998		
487.0249	1.455440044		0.245460004		
487.266	1.458850026		0.241809994		
487.5071	1.461760044		0.245360002		
487.7482	1.458850026		0.249390006		
487.9893	1.453860044		0.248889998		
488.2304	1.452090025		0.245719999		
488.4715	1.452669978		0.243959993		
488.7126	1.453459978		0.244200006		
488.9537	1.453080058		0.245429993		
489.1948	1.451220036		0.247309998		
489.4359	1.44701004		0.247370005		
489.677	1.443429947		0.244650006		
489.9181	1.442409992		0.238949999		
490.1592	1.448950052		0.236019999		
490.4003	1.452790022		0.244000003		
490.6414	1.444280028		0.250999987		
490.8825	1.433709979		0.246059999		
491.1236	1.432250023		0.236200005		
491.3647	1.437469959		0.230609998		
491.6058	1.442829967		0.231779993		
491.8469	1.443760037		0.234709993		
492.088	1.443789959		0.23748		
492.3291	1.440279961		0.240879998		
492.5702	1.434749961		0.239869997		
492.8113	1.43245995		0.235489994		
493.0524	1.434360027		0.233510002		
493.2935	1.433220029		0.235829994		
493.5346	1.427489996		0.233419999		
493.7757	1.428500056		0.225449994		
494.0168	1.435549974		0.225390002		
494.2579	1.435940027		0.230230004		
494.499	1.43355		0.232309997		
494.7401	1.429380059		0.233730003		
494.9812	1.423599958		0.230379999		
495.2223	1.423709989		0.222760007		
495.4634	1.429800034		0.220909998		
495.7045	1.431579947		0.224450007		
495.9456	1.430179954		0.226359993		
496.1867	1.427880049		0.227310002		
496.4278	1.424990058		0.226270005		
496.6689	1.423949957		0.223619998		
496.91	1.424790025		0.222069994		
497.1511	1.426210046		0.221939996		
497.3923	1.426530004		0.225170001		
497.6334	1.42098999		0.227060005		
497.8745	1.416599989		0.222149998		
498.1156	1.41881001		0.217189997		
498.3567	1.422299981		0.218500003		
498.5978	1.420130014		0.221290007		
498.8389	1.416569948		0.220050007		
499.08	1.41474998		0.216619998		
499.3211	1.416479945		0.212720007		
499.5622	1.420699954		0.213159993		
499.8033	1.420699954		0.217649996		
500.0444	1.416689992		0.219119996		
500.2855	1.412870049		0.218669996		
500.5266	1.408200026		0.214289993		
500.7677	1.410850048		0.207149997		
501.0088	1.417199969		0.208189994		
501.2499	1.416900039		0.213359997		
501.491	1.41297996		0.214599997		
501.7321	1.409700036		0.214129999		
501.9732	1.405750036		0.211129993		
502.2143	1.405900002		0.205860004		
502.4554	1.409260035		0.203989998		
502.6965	1.410770059		0.206379995		
502.9376	1.406759977		0.207690001		
503.1787	1.403710008		0.202370003		
503.4198	1.408079982		0.197600007		
503.6609	1.41249001		0.200169995		
503.902	1.411520004		0.203030005		
504.1431	1.409780025		0.204099998		
504.3842	1.406820059		0.202979997		
504.6253	1.407619953		0.199900001		
504.8664	1.40952003		0.200849995		
505.1075	1.409000039		0.202079996		
505.3486	1.408480048		0.203850001		
505.5897	1.40399003		0.205479994		
505.8308	1.400539994		0.200639993		
506.0719	1.403409958		0.198599994		
506.313	1.402340055		0.199660003		
506.5541	1.402559996		0.19777		
506.7952	1.403030038		0.20059		
507.0363	1.396999955		0.200780004		
507.2774	1.395580053		0.194230005		
507.5185	1.399459958		0.192790002		
507.7596	1.39989996		0.193949997		
508.0007	1.400259972		0.195470005		
508.2418	1.395900011		0.198410004		
508.4829	1.388530016		0.193650007		
508.724	1.389780045		0.182960004		
508.9651	1.400439978		0.179989994		
509.2062	1.405959964		0.188519999		
509.4473	1.400259972		0.195490003		
509.6884	1.39297998		0.193900004		
509.9295	1.389379978		0.188759997		
510.1706	1.391059995		0.181250006		
510.4117	1.399880052		0.18118		
510.6528	1.399860024		0.189730003		
510.8939	1.392820001		0.190359995		
511.135	1.390490055		0.187000006		
511.3761	1.38914001		0.184090003		
511.6172	1.391710043		0.180109993		
511.8583	1.395699978		0.183660001		
512.0994	1.390789986		0.187659994		
512.3405	1.386059999		0.184599996		
512.5816	1.384250045		0.181020007		
512.8227	1.383999944		0.175620005		
513.0638	1.389999986		0.171739995		
513.3049	1.395539999		0.178049996		
513.546	1.388020039		0.185110003		
513.7871	1.378669977		0.177980006		
514.0282	1.38293004		0.168060005		
514.2694	1.390259981		0.169660002		
514.5105	1.389780045		0.173840001		
514.7516	1.386970043		0.175300002		
514.9927	1.381690025		0.173610002		
515.2338	1.38041997		0.165560007		
515.4749	1.387580037		0.160970002		
515.716	1.393249989		0.164680004		
515.9571	1.393390059		0.169119999		
516.1982	1.391010046		0.172859997		
516.4393	1.384529948		0.172930002		
516.6804	1.381870031		0.165820003		
516.9215	1.387730002		0.161469996		
517.1626	1.392519951		0.165820003		
517.4037	1.389729977		0.170719996		
517.6448	1.384930015		0.170660004		
517.8859	1.381829977		0.167229995		
518.127	1.382879972		0.162530005		
518.3681	1.387830019		0.161880001		
518.6092	1.389449954		0.167500004		
518.8503	1.383630037		0.170890003		
519.0914	1.37808001		0.167820007		
519.3325	1.376399994		0.162149996		
519.5736	1.380249977		0.157519996		
519.8147	1.385329962		0.160549998		
520.0558	1.381620049		0.166449994		
520.2969	1.374259949		0.163709998		
520.538	1.37322998		0.157670006		
520.7791	1.374359965		0.153720006		
521.0202	1.37748003		0.150580004		
521.2613	1.381029963		0.151250005		
521.5024	1.38112998		0.153239995		
521.7435	1.379670024		0.152970001		
521.9846	1.379140019		0.150979996		
522.2257	1.38143003		0.148300007		
522.4668	1.386270046		0.150549993		
522.7079	1.384709954		0.157010004		
522.949	1.377640009		0.157529995		
523.1901	1.374660015		0.151969999		
523.4312	1.376970053		0.148589998		
523.6723	1.378520012		0.148249999		
523.9134	1.379780054		0.148080006		
524.1545	1.380749941		0.149969995		
524.3956	1.377619982		0.152309999		
524.6367	1.373180032		0.148680001		
524.8778	1.375830054		0.143260002		
525.1189	1.380910039		0.144649997		
525.36	1.380620003		0.149949998		
525.6011	1.374559999		0.151889995		
525.8422	1.369650006		0.146789998		
526.0833	1.372130036		0.141039997		
526.3244	1.375589967		0.142059997		
526.5655	1.374340057		0.142820001		
526.8066	1.37469995		0.142429993		
527.0477	1.372269988		0.143849999		
527.2888	1.368589997		0.139829993		
527.5299	1.370839953		0.134729996		
527.771	1.374590039		0.133640006		
528.0121	1.378350019		0.134650007		
528.2532	1.379539967		0.140320003		
528.4943	1.373139977		0.143629998		
528.7354	1.36740005		0.139449999		
528.9765	1.367040038		0.132709995		
529.2176	1.372410059		0.12929		
529.4587	1.375460029		0.133139998		
529.6998	1.371410012		0.134800002		
529.9409	1.369729996		0.130610004		
530.182	1.371749997		0.128360003		
530.4231	1.373649955		0.127020001		
530.6642	1.377030015		0.128260002		
530.9053	1.376119971		0.132019997		
531.1465	1.37274003		0.132180005		
531.3876	1.370399952		0.130030006		
531.6287	1.370460033		0.12579		
531.8698	1.375710011		0.124159999		
532.1109	1.378200054		0.130610004		
532.352	1.370740056		0.1347		
532.5931	1.363950014		0.12872		
532.8342	1.365749955		0.120679997		
533.0753	1.371739984		0.118649997		
533.3164	1.375180006		0.12111		
533.5575	1.375339985		0.124969997		
533.7986	1.370579958		0.127120003		
534.0397	1.365970016		0.122110002		
534.2808	1.369390011		0.115390003		
534.5219	1.376620054		0.116190001		
534.763	1.378669977		0.122749999		
535.0041	1.373389959		0.128020003		
535.2452	1.365730047		0.125119999		
535.4863	1.365679979		0.118330002		
535.7274	1.368710041		0.116970003		
535.9685	1.369259953		0.116700001		
536.2096	1.371039987		0.116999999		
536.4507	1.369070053		0.120750003		
536.6918	1.361969948		0.117689997		
536.9329	1.363270044		0.108730003		
537.174	1.370640039		0.107089996		
537.4151	1.374070048		0.111529998		
537.6562	1.371610045		0.116460003		
537.8973	1.364159942		0.115960002		
538.1384	1.361570001		0.106820002		
538.3795	1.369160056		0.101750001		
538.6206	1.37432003		0.105669998		
538.8617	1.373510003		0.10966		
539.1028	1.370309949		0.111040004		
539.3439	1.366790056		0.108949997		
539.585	1.366659999		0.104060002		
539.8261	1.371279955		0.101949997		
540.0672	1.374050021		0.105980001		
540.3083	1.369699955		0.109339997		
540.5494	1.365010023		0.105489999		
540.7905	1.365640044		0.100720003		
541.0316	1.367580056		0.097060002		
541.2727	1.373409986		0.095030002		
541.5138	1.377889991		0.100440003		
541.7549	1.373810053		0.10582		
541.996	1.367939949		0.103639998		
542.2371	1.366999984		0.097889997		
542.4782	1.371330023		0.093610004		
542.7193	1.37748003		0.095919997		
542.9604	1.377030015		0.102329999		
543.2015	1.37116003		0.104029998		
543.4426	1.367079973		0.099610001		
543.6837	1.369160056		0.094269998		
543.9248	1.374279976		0.094570003		
544.1659	1.374529958		0.099459998		
544.407	1.369600058		0.10063		
544.6481	1.366060019		0.097450003		
544.8892	1.365129948		0.092100002		
545.1303	1.369570017		0.087630004		
545.3714	1.37432003		0.089599997		
545.6125	1.373939991		0.092469998		
545.8536	1.372570038		0.092869997		
546.0947	1.370790005		0.09206		
546.3358	1.371520042		0.088650003		
546.5769	1.375530005		0.08997		
546.818	1.373520017		0.093800001		
547.0591	1.370159984		0.092929997		
547.3002	1.367810011		0.091349997		
547.5413	1.365980029		0.086630002		
547.7824	1.369879961		0.08224		
548.0236	1.373749971		0.083509997		
548.2647	1.374729991		0.085280001		
548.5058	1.373880029		0.088359997		
548.7469	1.368139982		0.087509997		
548.988	1.368020058		0.0801		
549.2291	1.374539971		0.07835		
549.4702	1.376929998		0.082670003		
549.7113	1.374029994		0.085040003		
549.9524	1.371009946		0.083159998		
550.1935	1.370880008		0.079599999		
550.4346	1.373000026		0.077009998		
550.6757	1.377099991		0.076190002		
550.9168	1.380190015		0.080899999		
551.1579	1.375360012		0.084919997		
551.399	1.371070027		0.081409998		
551.6401	1.371299982		0.077799998		
551.8812	1.372849941		0.07446		
552.1223	1.378290057		0.074129999		
552.3634	1.378620028		0.080760002		
552.6045	1.370720029		0.080470003		
552.8456	1.369750023		0.072590001		
553.0867	1.374559999		0.068729997		
553.3278	1.380300045		0.068360001		
553.5689	1.385239959		0.073880002		
553.81	1.381070018		0.081349999		
554.0511	1.373010039		0.079020001		
554.2922	1.373000026		0.072140001		
554.5333	1.377490044		0.070110001		
554.7744	1.38033998		0.072460003		
555.0155	1.379209995		0.075450003		
555.2566	1.375970006		0.075740002		
555.4977	1.373600006		0.072939999		
555.7388	1.374600053		0.069449998		
555.9799	1.377120018		0.068719998		
556.221	1.378139973		0.069729999		
556.4621	1.377570033		0.07102		
556.7032	1.374130011		0.070840001		
556.9443	1.372650027		0.064669997		
557.1854	1.379330039		0.061579999		
557.4265	1.382050037		0.06656		
557.6676	1.378960013		0.067769997		
557.9087	1.378190041		0.066579998		
558.1498	1.376080036		0.065279998		
558.3909	1.377089977		0.059160002		
558.632	1.385290027		0.058789998		
558.8731	1.386919975		0.066289999		
559.1142	1.381450057		0.068810001		
559.3553	1.377820015		0.065669999		
559.5964	1.378170013		0.061149999		
559.8375	1.382439971		0.058990002		
560.0786	1.385519981		0.062249999		
560.3197	1.382990003		0.065070003		
560.5608	1.380049944		0.063210003		
560.8019	1.38064003		0.05971		
561.043	1.383669972		0.05903		
561.2841	1.384690046		0.06024		
