Reference:	"Sciamma-O'Brien et al. (2023)"
DOI:	"doi:https://doi.org/10.3847/PSJ/acd83f"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4 (95:5)"
Temperature:	"150K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/276"
n₁ Error Units:	Standard Deviation
k₁ Error Units:	Standard Deviation

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
1.60004	1.659453	0.018158		0.86646	1.0E-6	1.0E-6	
1.59857	1.659463	0.018158		0.86576	1.0E-6	1.0E-6	
1.5971	1.65948	0.018155		0.86506	1.0E-6	2.0E-6	
1.59562	1.659493	0.018158		0.86436	1.0E-6	3.0E-6	
1.59415	1.659507	0.018152		0.86366	2.0E-6	3.0E-6	
1.59267	1.65952	0.018155		0.86297	2.0E-6	4.0E-6	
1.5912	1.65953	0.018155		0.86227	3.0E-6	5.0E-6	
1.58972	1.659543	0.018149		0.86157	4.0E-6	6.0E-6	
1.58825	1.659557	0.018152		0.86087	4.0E-6	6.0E-6	
1.58677	1.659573	0.018149		0.86017	5.0E-6	7.0E-6	
1.5853	1.659583	0.018149		0.85947	6.0E-6	8.0E-6	
1.58382	1.659597	0.018143		0.85877	7.0E-6	9.0E-6	
1.58235	1.659613	0.018149		0.85807	8.0E-6	1.0E-5	
1.58087	1.659627	0.018143		0.85737	1.0E-5	1.2E-5	
1.57939	1.659637	0.018143		0.85667	1.1E-5	1.3E-5	
1.57792	1.65965	0.018146		0.85597	1.2E-5	1.4E-5	
1.57644	1.659667	0.018143		0.85527	1.4E-5	1.6E-5	
1.57496	1.659677	0.018143		0.85457	1.5E-5	1.7E-5	
1.57348	1.659693	0.018141		0.85387	1.7E-5	1.9E-5	
1.57201	1.659707	0.018143		0.85317	1.9E-5	2.0E-5	
1.57053	1.65972	0.018138		0.85247	2.1E-5	2.2E-5	
1.56905	1.659733	0.018141		0.85177	2.3E-5	2.4E-5	
1.56757	1.659747	0.018135		0.85107	2.5E-5	2.5E-5	
1.56609	1.659763	0.018141		0.85037	2.7E-5	2.7E-5	
1.56461	1.659777	0.018135		0.84967	3.0E-5	2.9E-5	
1.56313	1.659787	0.018135		0.84897	3.2E-5	3.2E-5	
1.56165	1.659807	0.018135		0.84827	3.5E-5	3.4E-5	
1.56017	1.659817	0.018135		0.84757	3.7E-5	3.6E-5	
1.55869	1.65983	0.018129		0.84687	4.0E-5	3.8E-5	
1.55721	1.659847	0.018135		0.84617	4.3E-5	4.1E-5	
1.55573	1.65986	0.018129		0.84547	4.6E-5	4.3E-5	
1.55425	1.659877	0.018126		0.84477	4.9E-5	4.6E-5	
1.55276	1.65989	0.018129		0.84407	5.2E-5	4.9E-5	
1.55128	1.659903	0.018123		0.84337	5.5E-5	5.1E-5	
1.5498	1.659917	0.018126		0.84266	5.9E-5	5.4E-5	
1.54832	1.659933	0.018123		0.84196	6.2E-5	5.7E-5	
1.54683	1.659947	0.018126		0.84126	6.6E-5	6.0E-5	
1.54535	1.65996	0.01812		0.84056	6.9E-5	6.4E-5	
1.54387	1.659977	0.018126		0.83986	7.3E-5	6.7E-5	
1.54238	1.65999	0.01812		0.83916	7.7E-5	7.0E-5	
1.5409	1.660003	0.018115		0.83846	8.1E-5	7.4E-5	
1.53941	1.66002	0.01812		0.83775	8.5E-5	7.7E-5	
1.53793	1.660033	0.018115		0.83705	8.9E-5	8.1E-5	
1.53645	1.660047	0.018118		0.83635	9.4E-5	8.4E-5	
1.53496	1.660063	0.018115		0.83565	9.8E-5	8.7E-5	
1.53347	1.66008	0.018112		0.83495	0.000103	9.1E-5	
1.53199	1.660093	0.018115		0.83424	0.000108	9.4E-5	
1.5305	1.66011	0.018112		0.83354	0.000113	9.8E-5	
1.52902	1.66012	0.018112		0.83284	0.000118	0.000101	
1.52753	1.66014	0.018112		0.83214	0.000124	0.000105	
1.52604	1.660153	0.018106		0.83143	0.00013	0.000108	
1.52456	1.66017	0.018112		0.83073	0.000135	0.000111	
1.52307	1.660183	0.018106		0.83003	0.000141	0.000115	
1.52158	1.660203	0.018106		0.82932	0.000147	0.000118	
1.52009	1.660213	0.018106		0.82862	0.000154	0.000122	
1.5186	1.66023	0.018103		0.82792	0.00016	0.000125	
1.51711	1.660247	0.0181		0.82722	0.000167	0.000128	
1.51563	1.66026	0.018103		0.82651	0.000174	0.000132	
1.51414	1.660277	0.0181		0.82581	0.000181	0.000135	
1.51265	1.660293	0.018098		0.82511	0.000188	0.000138	
1.51116	1.660307	0.0181		0.8244	0.000195	0.000142	
1.50967	1.660323	0.018098		0.8237	0.000203	0.000145	
1.50818	1.66034	0.018095		0.82299	0.00021	0.000148	
1.50669	1.660357	0.018092		0.82229	0.000218	0.000152	
1.5052	1.66037	0.018095		0.82159	0.000226	0.000155	
1.5037	1.660387	0.018092		0.82088	0.000234	0.000158	
1.50221	1.660407	0.018092		0.82018	0.000243	0.000161	
1.50072	1.660417	0.018092		0.81947	0.000251	0.000165	
1.49923	1.660437	0.018092		0.81877	0.00026	0.000168	
1.49774	1.66045	0.018086		0.81807	0.000269	0.000171	
1.49624	1.66047	0.018086		0.81736	0.000278	0.000174	
1.49475	1.660483	0.018089		0.81666	0.000288	0.000178	
1.49326	1.6605	0.018086		0.81595	0.000297	0.000181	
1.49176	1.660517	0.018083		0.81525	0.000307	0.000184	
1.49027	1.660533	0.01808		0.81454	0.000317	0.000187	
1.48878	1.66055	0.018077		0.81384	0.000327	0.00019	
1.48728	1.660567	0.018083		0.81313	0.000337	0.000193	
1.48579	1.66058	0.018077		0.81243	0.000347	0.000197	
1.48429	1.6606	0.018077		0.81172	0.000358	0.0002	
1.4828	1.660617	0.018075		0.81102	0.000369	0.000203	
1.4813	1.660633	0.018072		0.81031	0.00038	0.000206	
1.47981	1.66065	0.018077		0.80961	0.000391	0.000209	
1.47831	1.660667	0.018075		0.8089	0.000402	0.000212	
1.47681	1.660683	0.018072		0.8082	0.000414	0.000215	
1.47532	1.6607	0.018069		0.80749	0.000425	0.000218	
1.47382	1.66072	0.018069		0.80679	0.000437	0.000221	
1.47232	1.660737	0.018066		0.80608	0.000449	0.000224	
1.47083	1.66075	0.018069		0.80537	0.000461	0.000227	
1.46933	1.66077	0.018069		0.80467	0.000474	0.00023	
1.46783	1.660783	0.018063		0.80396	0.000487	0.000233	
1.46633	1.660803	0.018063		0.80326	0.000499	0.000236	
1.46483	1.660823	0.018063		0.80255	0.000513	0.000239	
1.46333	1.660837	0.018057		0.80184	0.000526	0.000242	
1.46184	1.660857	0.018057		0.80114	0.000539	0.000245	
1.46034	1.660873	0.018055		0.80043	0.000553	0.000248	
1.45884	1.66089	0.01806		0.79972	0.000567	0.000251	
1.45734	1.660907	0.018057		0.79902	0.000581	0.000254	
1.45584	1.660923	0.018055		0.79831	0.000595	0.000257	
1.45434	1.660943	0.018055		0.7976	0.000609	0.00026	
1.45284	1.660963	0.018055		0.7969	0.000624	0.000263	
1.45133	1.660977	0.018049		0.79619	0.000639	0.000266	
1.44983	1.660997	0.018049		0.79548	0.000654	0.000269	
1.44833	1.661017	0.018049		0.79478	0.000669	0.000272	
1.44683	1.661037	0.018049		0.79407	0.000684	0.000274	
1.44533	1.661053	0.018046		0.79336	0.0007	0.000277	
1.44382	1.66107	0.018043		0.79265	0.000716	0.00028	
1.44232	1.66109	0.018043		0.79195	0.000732	0.000283	
1.44082	1.661107	0.01804		0.79124	0.000748	0.000286	
1.43931	1.661127	0.01804		0.79053	0.000764	0.000289	
1.43781	1.661147	0.01804		0.78982	0.000781	0.000291	
1.43631	1.661163	0.018037		0.78911	0.000798	0.000294	
1.4348	1.66118	0.018034		0.78841	0.000815	0.000297	
1.4333	1.6612	0.018034		0.7877	0.000832	0.0003	
1.43179	1.66122	0.018034		0.78699	0.00085	0.000302	
1.43029	1.66124	0.018034		0.78628	0.000867	0.000305	
1.42878	1.661257	0.018032		0.78557	0.000885	0.000308	
1.42728	1.661277	0.018032		0.78487	0.000903	0.000311	
1.42577	1.661293	0.018029		0.78416	0.000921	0.000313	
1.42427	1.661313	0.018029		0.78345	0.00094	0.000316	
1.42276	1.661333	0.018029		0.78274	0.000959	0.000319	
1.42125	1.66135	0.018026		0.78203	0.000978	0.000321	
1.41974	1.66137	0.018026		0.78132	0.000997	0.000324	
1.41824	1.661393	0.01802		0.78061	0.001016	0.000327	
1.41673	1.661413	0.01802		0.7799	0.001036	0.000329	
1.41522	1.661433	0.01802		0.7792	0.001055	0.000332	
1.41371	1.661453	0.01802		0.77849	0.001075	0.000334	
1.41221	1.66147	0.018017		0.77778	0.001096	0.000337	
1.4107	1.66149	0.018017		0.77707	0.001116	0.00034	
1.40919	1.66151	0.018017		0.77636	0.001137	0.000342	
1.40768	1.661527	0.018014		0.77565	0.001158	0.000345	
1.40617	1.66155	0.018009		0.77494	0.001179	0.000347	
1.40466	1.66157	0.018009		0.77423	0.0012	0.00035	
1.40315	1.66159	0.018009		0.77352	0.001221	0.000352	
1.40164	1.661607	0.018006		0.77281	0.001243	0.000355	
1.40013	1.661627	0.018006		0.7721	0.001265	0.000357	
1.39862	1.661647	0.018006		0.77139	0.001287	0.00036	
1.3971	1.66167	0.018		0.77068	0.00131	0.000362	
1.39559	1.66169	0.018		0.76997	0.001332	0.000365	
1.39408	1.66171	0.018		0.76926	0.001355	0.000367	
1.39257	1.661733	0.018003		0.76855	0.001378	0.00037	
1.39106	1.661757	0.017997		0.76784	0.001402	0.000372	
1.38954	1.661777	0.017997		0.76713	0.001425	0.000375	
1.38803	1.661797	0.017997		0.76642	0.001449	0.000377	
1.38652	1.661817	0.017997		0.76571	0.001473	0.000379	
1.385	1.66184	0.017991		0.765	0.001497	0.000382	
1.38349	1.66186	0.017991		0.76428	0.001522	0.000384	
1.38198	1.66188	0.017991		0.76357	0.001546	0.000386	
1.38046	1.6619	0.017991		0.76286	0.001571	0.000389	
1.37895	1.661923	0.017986		0.76215	0.001596	0.000391	
1.37743	1.661943	0.017986		0.76144	0.001622	0.000393	
1.37592	1.661963	0.017986		0.76073	0.001647	0.000396	
1.3744	1.66199	0.017983		0.76002	0.001673	0.000398	
1.37289	1.66201	0.017983		0.75931	0.001699	0.0004	
1.37137	1.66203	0.017983		0.75859	0.001726	0.000403	
1.36985	1.662053	0.017977		0.75788	0.001752	0.000405	
1.36834	1.662073	0.017977		0.75717	0.001779	0.000407	
1.36682	1.662097	0.017971		0.75646	0.001806	0.000409	
1.3653	1.662117	0.017971		0.75575	0.001833	0.000412	
1.36378	1.66214	0.017974		0.75503	0.001861	0.000414	
1.36227	1.662163	0.017969		0.75432	0.001889	0.000416	
1.36075	1.662183	0.017969		0.75361	0.001917	0.000418	
1.35923	1.66221	0.017966		0.7529	0.001945	0.00042	
1.35771	1.66223	0.017966		0.75219	0.001973	0.000422	
1.35619	1.662253	0.017969		0.75147	0.002002	0.000425	
1.35467	1.662277	0.017963		0.75076	0.002031	0.000427	
1.35315	1.662297	0.017963		0.75005	0.00206	0.000429	
1.35163	1.66232	0.017957		0.74933	0.00209	0.000431	
1.35011	1.662343	0.01796		0.74862	0.00212	0.000433	
1.34859	1.66237	0.017957		0.74791	0.00215	0.000435	
1.34707	1.66239	0.017957		0.7472	0.00218	0.000437	
1.34555	1.662417	0.017954		0.74648	0.00221	0.000439	
1.34403	1.662437	0.017954		0.74577	0.002241	0.000441	
1.34251	1.66246	0.017949		0.74506	0.002272	0.000443	
1.34099	1.662483	0.017951		0.74434	0.002303	0.000445	
1.33946	1.66251	0.017949		0.74363	0.002335	0.000448	
1.33794	1.66253	0.017949		0.74292	0.002367	0.00045	
1.33642	1.662553	0.017943		0.7422	0.002399	0.000452	
1.3349	1.66258	0.01794		0.74149	0.002431	0.000454	
1.33337	1.662603	0.017943		0.74078	0.002464	0.000455	
1.33185	1.66263	0.01794		0.74006	0.002496	0.000457	
1.33033	1.66265	0.01794		0.73935	0.002529	0.000459	
1.3288	1.662677	0.017937		0.73863	0.002563	0.000461	
1.32728	1.662703	0.017934		0.73792	0.002596	0.000463	
1.32575	1.662723	0.017934		0.7372	0.00263	0.000465	
1.32423	1.66275	0.017931		0.73649	0.002664	0.000467	
1.3227	1.662777	0.017928		0.73578	0.002699	0.000469	
1.32118	1.662797	0.017928		0.73506	0.002733	0.000471	
1.31965	1.662823	0.017926		0.73435	0.002768	0.000473	
1.31813	1.66285	0.017923		0.73363	0.002803	0.000475	
1.3166	1.662873	0.017926		0.73292	0.002839	0.000476	
1.31507	1.662897	0.01792		0.7322	0.002875	0.000478	
1.31355	1.662927	0.01792		0.73149	0.002911	0.00048	
1.31202	1.662947	0.01792		0.73077	0.002947	0.000482	
1.31049	1.662977	0.01792		0.73006	0.002983	0.000484	
1.30896	1.663	0.017914		0.72934	0.00302	0.000485	
1.30743	1.663027	0.017911		0.72863	0.003057	0.000487	
1.30591	1.66305	0.017914		0.72791	0.003095	0.000489	
1.30438	1.663077	0.017911		0.7272	0.003132	0.000491	
1.30285	1.663103	0.017908		0.72648	0.00317	0.000492	
1.30132	1.66313	0.017906		0.72577	0.003208	0.000494	
1.29979	1.66316	0.017906		0.72505	0.003247	0.000496	
1.29826	1.66318	0.017906		0.72433	0.003286	0.000498	
1.29673	1.66321	0.017906		0.72362	0.003325	0.000499	
1.2952	1.663233	0.0179		0.7229	0.003364	0.000501	
1.29367	1.663263	0.0179		0.72219	0.003404	0.000503	
1.29214	1.66329	0.017897		0.72147	0.003443	0.000504	
1.29061	1.663317	0.017894		0.72075	0.003484	0.000506	
1.28908	1.663343	0.017891		0.72004	0.003524	0.000507	
1.28754	1.663373	0.017891		0.71932	0.003565	0.000509	
1.28601	1.663397	0.017885		0.7186	0.003606	0.000511	
1.28448	1.663423	0.017891		0.71789	0.003647	0.000512	
1.28295	1.66345	0.017888		0.71717	0.003689	0.000514	
1.28141	1.663477	0.017885		0.71645	0.003731	0.000515	
1.27988	1.663507	0.017885		0.71574	0.003773	0.000517	
1.27835	1.663533	0.017883		0.71502	0.003815	0.000519	
1.27681	1.663563	0.017883		0.7143	0.003858	0.00052	
1.27528	1.66359	0.01788		0.71359	0.003901	0.000522	
1.27375	1.663617	0.017877		0.71287	0.003945	0.000523	
1.27221	1.663647	0.017877		0.71215	0.003989	0.000525	
1.27068	1.663677	0.017877		0.71143	0.004033	0.000526	
1.26914	1.6637	0.017871		0.71072	0.004077	0.000528	
1.26761	1.663733	0.017865		0.71	0.004121	0.000529	
1.26607	1.663763	0.017865		0.70928	0.004166	0.000531	
1.26453	1.66379	0.017863		0.70856	0.004212	0.000532	
1.263	1.66382	0.017863		0.70785	0.004257	0.000533	
1.26146	1.66385	0.017863		0.70713	0.004303	0.000535	
1.25992	1.663877	0.01786		0.70641	0.004349	0.000536	
1.25839	1.663903	0.017857		0.70569	0.004395	0.000538	
1.25685	1.663933	0.017857		0.70497	0.004442	0.000539	
1.25531	1.663967	0.017851		0.70426	0.004489	0.00054	
1.25377	1.663997	0.017851		0.70354	0.004537	0.000542	
1.25224	1.664023	0.017848		0.70282	0.004584	0.000543	
1.2507	1.664053	0.017848		0.7021	0.004632	0.000545	
1.24916	1.664083	0.017848		0.70138	0.004681	0.000546	
1.24762	1.664117	0.017843		0.70066	0.004729	0.000547	
1.24608	1.664147	0.017843		0.69995	0.004778	0.000549	
1.24454	1.664177	0.017843		0.69923	0.004828	0.00055	
1.243	1.664207	0.017843		0.69851	0.004877	0.000551	
1.24146	1.664237	0.017834		0.69779	0.004927	0.000553	
1.23992	1.664267	0.017834		0.69707	0.004978	0.000554	
1.23838	1.664297	0.017834		0.69635	0.005028	0.000555	
1.23684	1.66433	0.017828		0.69563	0.005079	0.000556	
1.2353	1.66436	0.017828		0.69491	0.00513	0.000558	
1.23375	1.66439	0.017828		0.69419	0.005182	0.000559	
1.23221	1.664423	0.017822		0.69347	0.005234	0.00056	
1.23067	1.664453	0.017822		0.69275	0.005286	0.000561	
1.22913	1.66449	0.01782		0.69203	0.005339	0.000563	
1.22758	1.66452	0.01782		0.69131	0.005391	0.000564	
1.22604	1.664553	0.017814		0.69059	0.005445	0.000565	
1.2245	1.664583	0.017814		0.68987	0.005498	0.000566	
1.22295	1.664613	0.017814		0.68915	0.005552	0.000567	
1.22141	1.664647	0.017808		0.68843	0.005606	0.000569	
1.21987	1.66468	0.017811		0.68771	0.005661	0.00057	
1.21832	1.664717	0.017808		0.68699	0.005716	0.000571	
1.21678	1.66475	0.017802		0.68627	0.005771	0.000572	
1.21523	1.66478	0.017802		0.68555	0.005827	0.000573	
1.21369	1.664817	0.0178		0.68483	0.005883	0.000575	
1.21214	1.664847	0.0178		0.68411	0.005939	0.000576	
1.2106	1.66488	0.017794		0.68339	0.005996	0.000577	
1.20905	1.664913	0.017797		0.68267	0.006053	0.000578	
1.2075	1.66495	0.017794		0.68195	0.00611	0.000579	
1.20596	1.664983	0.017788		0.68123	0.006168	0.00058	
1.20441	1.665017	0.017791		0.68051	0.006226	0.000581	
1.20286	1.66505	0.017785		0.67978	0.006285	0.000583	
1.20131	1.665087	0.017782		0.67906	0.006343	0.000584	
1.19977	1.66512	0.017785		0.67834	0.006402	0.000585	
