Reference:	"Sciamma-O'Brien et al. (2023)"
DOI:	"doi:https://doi.org/10.3847/PSJ/acd83f"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4 (95:5)"
Temperature:	"150K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/277"
n₁ Error Units:	Standard Deviation
k₁ Error Units:	Standard Deviation

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
1.59951	1.634212	0.0113088	0.0094968	0.002609	
1.59802	1.634243	0.0113058	0.0094954	0.002608	
1.59653	1.634277	0.0113038	0.0094939	0.002607	
1.59504	1.63431	0.0113022	0.0094925	0.002605	
1.59355	1.634341	0.0112992	0.009491	0.002604	
1.59206	1.634374	0.0112946	0.0094896	0.002603	
1.59057	1.634405	0.0112936	0.0094882	0.002602	
1.58908	1.634436	0.0112908	0.0094867	0.0026	
1.58759	1.634471	0.0112881	0.0094853	0.002599	
1.5861	1.634503	0.0112866	0.0094838	0.002598	
1.5846	1.634536	0.0112823	0.0094824	0.002597	
1.58311	1.63457	0.0112803	0.009481	0.002595	
1.58162	1.634602	0.0112775	0.0094795	0.002594	
1.58013	1.634634	0.0112728	0.0094781	0.002593	
1.57864	1.634668	0.0112709	0.0094766	0.002592	
1.57714	1.634702	0.0112688	0.0094752	0.00259	
1.57565	1.634734	0.011267	0.0094737	0.002589	
1.57416	1.634769	0.0112626	0.0094723	0.002588	
1.57266	1.634802	0.01126	0.0094708	0.002586	
1.57117	1.634835	0.0112588	0.0094694	0.002585	
1.56967	1.634871	0.0112556	0.0094679	0.002584	
1.56818	1.634903	0.0112528	0.0094665	0.002583	
1.56669	1.634937	0.0112495	0.0094651	0.002581	
1.56519	1.634973	0.0112462	0.0094636	0.00258	
1.5637	1.635005	0.0112452	0.0094622	0.002579	
1.5622	1.635041	0.0112423	0.0094607	0.002577	
1.5607	1.635074	0.0112388	0.0094593	0.002576	
1.55921	1.635109	0.0112357	0.0094578	0.002575	
1.55771	1.635144	0.0112322	0.0094564	0.002573	
1.55622	1.635176	0.0112311	0.0094549	0.002572	
1.55472	1.635214	0.0112274	0.0094535	0.002571	
1.55322	1.635249	0.0112243	0.009452	0.002569	
1.55173	1.635283	0.0112223	0.0094506	0.002568	
1.55023	1.635317	0.0112177	0.0094491	0.002567	
1.54873	1.635354	0.0112141	0.0094477	0.002565	
