Reference:	"Sciamma-O'Brien et al. (2023)"
DOI:	"doi:https://doi.org/10.3847/PSJ/acd83f"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:C2H2 (94.5:5:0.5)"
Temperature:	"150K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/278"
n₁ Error Units:	Standard Deviation
k₁ Error Units:	Standard Deviation

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
1.60004	1.56091	0.01427		0.70713	1.0E-6	1.0E-6	
1.59857	1.56092	0.01427		0.70641	1.0E-6	2.0E-6	
1.5971	1.56093	0.01427		0.70569	1.0E-6	2.0E-6	
1.59562	1.56094	0.01427		0.70497	1.0E-6	3.0E-6	
1.59415	1.56095	0.01427		0.70426	2.0E-6	3.0E-6	
1.59267	1.56096	0.01427		0.70354	2.0E-6	4.0E-6	
1.5912	1.56097	0.01427		0.70282	3.0E-6	5.0E-6	
1.58972	1.56098	0.01427		0.7021	3.0E-6	5.0E-6	
1.58825	1.56098	0.01427		0.70138	4.0E-6	6.0E-6	
1.58677	1.56099	0.01427		0.70066	5.0E-6	7.0E-6	
1.5853	1.561	0.01427		0.69995	6.0E-6	7.0E-6	
1.58382	1.56101	0.01427		0.69923	7.0E-6	8.0E-6	
1.58235	1.56102	0.01427		0.69851	8.0E-6	8.0E-6	
1.58087	1.56103	0.01427		0.69779	1.0E-5	9.0E-6	
1.57939	1.56104	0.01427		0.69707	1.1E-5	1.0E-5	
1.57792	1.56105	0.01427		0.69635	1.3E-5	1.0E-5	
1.57644	1.56106	0.01427		0.69563	1.5E-5	1.1E-5	
1.57496	1.56107	0.01427		0.69491	1.7E-5	1.1E-5	
1.57348	1.56108	0.01427		0.69419	1.9E-5	1.2E-5	
1.57201	1.56109	0.01427		0.69347	2.1E-5	1.2E-5	
1.57053	1.5611	0.01427		0.69275	2.4E-5	1.3E-5	
1.56905	1.56111	0.01427		0.69203	2.6E-5	1.3E-5	
1.56757	1.56112	0.01427		0.69131	2.9E-5	1.4E-5	
1.56609	1.56113	0.01427		0.69059	3.2E-5	1.4E-5	
1.56461	1.56114	0.01427		0.68987	3.5E-5	1.5E-5	
1.56313	1.56115	0.01427		0.68915	3.8E-5	1.5E-5	
1.56165	1.56116	0.01427		0.68843	4.1E-5	1.5E-5	
1.56017	1.56117	0.01427		0.68771	4.5E-5	1.6E-5	
1.55869	1.56118	0.01427		0.68699	4.8E-5	1.6E-5	
1.55721	1.56119	0.01427		0.68627	5.2E-5	1.6E-5	
1.55573	1.5612	0.01427		0.68555	5.6E-5	1.7E-5	
1.55425	1.56121	0.01427		0.68483	6.0E-5	1.7E-5	
1.55276	1.56122	0.01427		0.68411	6.4E-5	1.7E-5	
1.55128	1.56123	0.01427		0.68339	6.8E-5	1.8E-5	
1.5498	1.56124	0.01427		0.68267	7.2E-5	1.8E-5	
1.54832	1.56125	0.01427		0.68195	7.7E-5	1.8E-5	
1.54683	1.56126	0.01427		0.68123	8.2E-5	1.8E-5	
1.54535	1.56127	0.01427		0.68051	8.7E-5	1.8E-5	
1.54387	1.56128	0.01427		0.67978	9.2E-5	1.9E-5	
1.54238	1.56129	0.01427		0.67906	9.7E-5	1.9E-5	
1.5409	1.56131	0.01426		0.67834	0.000102	1.9E-5	
1.53941	1.56132	0.01426		0.67762	0.000108	1.9E-5	
1.53793	1.56133	0.01426		0.6769	0.000113	1.9E-5	
1.53645	1.56134	0.01426		0.67618	0.000119	1.9E-5	
1.53496	1.56135	0.01426		0.67546	0.000125	1.9E-5	
1.53347	1.56136	0.01426		0.67473	0.000131	1.9E-5	
1.53199	1.56137	0.01426		0.67401	0.000137	1.9E-5	
1.5305	1.56138	0.01426		0.67329	0.000144	2.0E-5	
1.52902	1.56139	0.01426		0.67257	0.00015	2.0E-5	
1.52753	1.5614	0.01427		0.67185	0.000157	2.0E-5	
1.52604	1.56141	0.01427		0.67112	0.000164	2.0E-5	
1.52456	1.56142	0.01426		0.6704	0.000171	2.0E-5	
1.52307	1.56144	0.01426		0.66968	0.000178	2.0E-5	
1.52158	1.56145	0.01426		0.66896	0.000186	2.0E-5	
1.52009	1.56146	0.01426		0.66823	0.000193	2.0E-5	
1.5186	1.56147	0.01426		0.66751	0.000201	2.0E-5	
1.51711	1.56148	0.01426		0.66679	0.000209	2.0E-5	
1.51563	1.56149	0.01426		0.66607	0.000217	1.9E-5	
1.51414	1.5615	0.01426		0.66534	0.000225	1.9E-5	
1.51265	1.56151	0.01426		0.66462	0.000233	1.9E-5	
1.51116	1.56152	0.01426		0.6639	0.000242	1.9E-5	
1.50967	1.56153	0.01426		0.66317	0.00025	1.9E-5	
1.50818	1.56154	0.01426		0.66245	0.000259	1.9E-5	
1.50669	1.56156	0.01426		0.66173	0.000268	1.9E-5	
1.5052	1.56157	0.01426		0.661	0.000277	1.9E-5	
1.5037	1.56158	0.01426		0.66028	0.000287	1.9E-5	
1.50221	1.56159	0.01426		0.65956	0.000296	1.9E-5	
1.50072	1.5616	0.01426		0.65883	0.000306	1.9E-5	
