Reference:	"Sciamma-O'Brien et al. (2023)"
DOI:	"doi:https://doi.org/10.3847/PSJ/acd83f"
Sample Type:	"Gas Tholin"
Composition:	"Ar:CH4 (95:5)"
Temperature:	"150K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/279"
n₁ Error Units:	Standard Deviation
k₁ Error Units:	Standard Deviation

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
1.60004	1.51895	0.00388		0.59407	1.0E-6	1.0E-6	
1.59857	1.51896	0.00388		0.59334	1.0E-6	2.0E-6	
1.5971	1.51896	0.00388		0.59261	1.0E-6	2.0E-6	
1.59562	1.51897	0.00388		0.59188	1.0E-6	2.0E-6	
1.59415	1.51897	0.00388		0.59115	1.0E-6	3.0E-6	
1.59267	1.51898	0.00388		0.59041	1.0E-6	3.0E-6	
1.5912	1.51899	0.00388		0.58968	1.0E-6	3.0E-6	
1.58972	1.51899	0.00388		0.58895	2.0E-6	4.0E-6	
1.58825	1.519	0.00388		0.58822	2.0E-6	4.0E-6	
1.58677	1.519	0.00388		0.58749	2.0E-6	5.0E-6	
1.5853	1.51901	0.00388		0.58675	3.0E-6	5.0E-6	
1.58382	1.51901	0.00388		0.58602	3.0E-6	6.0E-6	
1.58235	1.51902	0.00388		0.58529	3.0E-6	7.0E-6	
1.58087	1.51902	0.00388		0.58456	4.0E-6	7.0E-6	
1.57939	1.51903	0.00388		0.58382	4.0E-6	8.0E-6	
1.57792	1.51903	0.00388		0.58309	5.0E-6	9.0E-6	
1.57644	1.51904	0.00388		0.58236	5.0E-6	9.0E-6	
1.57496	1.51904	0.00388		0.58163	6.0E-6	1.0E-5	
1.57348	1.51905	0.00388		0.58089	6.0E-6	1.1E-5	
1.57201	1.51905	0.00388		0.58016	7.0E-6	1.2E-5	
1.57053	1.51906	0.00388		0.57943	7.0E-6	1.3E-5	
1.56905	1.51906	0.00388		0.57869	8.0E-6	1.4E-5	
1.56757	1.51907	0.00387		0.57796	9.0E-6	1.5E-5	
1.56609	1.51908	0.00387		0.57723	9.0E-6	1.6E-5	
1.56461	1.51908	0.00387		0.57649	1.0E-5	1.7E-5	
1.56313	1.51909	0.00387		0.57576	1.1E-5	1.8E-5	
1.56165	1.51909	0.00387		0.57502	1.2E-5	2.0E-5	
1.56017	1.5191	0.00388		0.57429	1.3E-5	2.1E-5	
1.55869	1.5191	0.00388		0.57356	1.3E-5	2.2E-5	
1.55721	1.51911	0.00387		0.57282	1.4E-5	2.3E-5	
1.55573	1.51912	0.00387		0.57209	1.5E-5	2.5E-5	
1.55425	1.51912	0.00388		0.57135	1.6E-5	2.6E-5	
1.55276	1.51913	0.00387		0.57062	1.7E-5	2.8E-5	
1.55128	1.51913	0.00388		0.56989	1.8E-5	2.9E-5	
1.5498	1.51914	0.00387		0.56915	1.9E-5	3.1E-5	
1.54832	1.51914	0.00387		0.56842	2.0E-5	3.2E-5	
1.54683	1.51915	0.00387		0.56768	2.1E-5	3.4E-5	
1.54535	1.51916	0.00387		0.56695	2.2E-5	3.6E-5	
1.54387	1.51916	0.00388		0.56621	2.4E-5	3.7E-5	
1.54238	1.51917	0.00387		0.56548	2.5E-5	3.9E-5	
1.5409	1.51918	0.00387		0.56474	2.6E-5	4.1E-5	
1.53941	1.51918	0.00387		0.56401	2.8E-5	4.3E-5	
1.53793	1.51919	0.00387		0.56327	2.9E-5	4.5E-5	
1.53645	1.51919	0.00387		0.56254	3.1E-5	4.6E-5	
1.53496	1.5192	0.00387		0.5618	3.2E-5	4.8E-5	
1.53347	1.5192	0.00387		0.56107	3.4E-5	5.0E-5	
1.53199	1.51921	0.00387		0.56033	3.6E-5	5.2E-5	
1.5305	1.51922	0.00387		0.5596	3.7E-5	5.4E-5	
1.52902	1.51922	0.00387		0.55886	3.9E-5	5.6E-5	
1.52753	1.51923	0.00387		0.55813	4.1E-5	5.9E-5	
1.52604	1.51923	0.00387		0.55739	4.3E-5	6.1E-5	
1.52456	1.51924	0.00387		0.55665	4.5E-5	6.3E-5	
1.52307	1.51924	0.00387		0.55592	4.7E-5	6.5E-5	
1.52158	1.51925	0.00387		0.55518	4.9E-5	6.8E-5	
1.52009	1.51926	0.00387		0.55445	5.1E-5	7.0E-5	
1.5186	1.51926	0.00387		0.55371	5.4E-5	7.2E-5	
1.51711	1.51927	0.00387		0.55297	5.6E-5	7.5E-5	
1.51563	1.51928	0.00387		0.55224	5.8E-5	7.7E-5	
1.51414	1.51928	0.00387		0.5515	6.1E-5	8.0E-5	
1.51265	1.51929	0.00387		0.55076	6.3E-5	8.2E-5	
1.51116	1.5193	0.00387		0.55003	6.5E-5	8.5E-5	
1.50967	1.5193	0.00387		0.54929	6.8E-5	8.8E-5	
1.50818	1.51931	0.00387		0.54855	7.1E-5	9.1E-5	
1.50669	1.51932	0.00387		0.54782	7.3E-5	9.4E-5	
1.5052	1.51932	0.00387		0.54708	7.6E-5	9.6E-5	
1.5037	1.51933	0.00387		0.54634	7.9E-5	9.9E-5	
1.50221	1.51933	0.00387		0.5456	8.2E-5	0.000102	
1.50072	1.51934	0.00387		0.54487	8.5E-5	0.000106	
1.49923	1.51935	0.00387		0.54413	8.8E-5	0.000109	
1.49774	1.51935	0.00386		0.54339	9.1E-5	0.000112	
1.49624	1.51936	0.00387		0.54265	9.4E-5	0.000115	
1.49475	1.51936	0.00387		0.54192	9.7E-5	0.000119	
1.49326	1.51937	0.00387		0.54118	0.000101	0.000122	
1.49176	1.51938	0.00387		0.54044	0.000104	0.000125	
1.49027	1.51938	0.00387		0.5397	0.000107	0.000129	
