Reference:	"Dello Russo and Khanna (1996)"
DOI:	"doi:https://doi.org/10.1006/icar.1996.0165"
Sample Type:	"Ice"
Composition:	"C4N2 (1)"
Temperature:	"95K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/27"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
80	1.864			80	0.00699		
81	1.914			81	0.0271		
82	1.948			82	0.103		
83	1.928			83	0.194		
84	1.849			84	0.262		
85	1.754			85	0.248		
86	1.7			86	0.181		
87	1.711			87	0.103		
88	1.775			88	0.0625		
89	1.845			89	0.0951		
90	1.858			90	0.179		
91	1.805			91	0.238		
92	1.735			92	0.228		
93	1.703			93	0.179		
94	1.706			94	0.143		
95	1.713			95	0.131		
96	1.705			96	0.114		
97	1.705			97	0.07		
98	1.743			98	0.0108		
99	1.804			99	0.00224		
100	1.864			100	0.00477		
101	1.923			101	0.0194		
102	1.964			102	0.0706		
103	1.982			103	0.107		
104	2.001			104	0.132		
105	2.026			105	0.164		
106	2.047			106	0.209		
107	2.056			107	0.259		
108	2.052			108	0.303		
109	2.045			109	0.341		
110	2.035			110	0.373		
115	2.125			115	0.492		
116	2.169			116	0.597		
117	2.169			117	0.741		
118	2.107			118	0.891		
119	1.989			119	1.01		
120	1.84			120	1.08		
121	1.688			121	1.1		
122	1.55			122	1.08		
123	1.432			123	1.04		
124	1.333			124	0.982		
125	1.256			125	0.911		
130	1.142			130	0.597		
135	1.099			135	0.332		
140	1.338			140	0.227		
145	1.381			145	0.382		
146	1.36			146	0.407		
147	1.332			147	0.426		
148	1.296			148	0.439		
149	1.255			149	0.442		
150	1.212			150	0.431		
151	1.173			151	0.405		
152	1.146			152	0.368		
153	1.136			153	0.328		
154	1.137			154	0.296		
155	1.144			155	0.274		
160	1.138			160	0.179		
170	1.199			170	0.0528		
180	1.304			180	0.0615		
470	1.67			470	0.00721		
471	1.727			471	0.0377		
472	1.688			472	0.0644		
473	1.773			473	0.0136		
474	1.913			474	0.0385		
475	2.173			475	0.199		
476	2.258			476	0.897		
477	1.419			477	1.39		
478	0.754			478	0.871		
479	0.993			479	0.356		
480	1.079			480	0.243		
481	1.122			481	0.172		
482	1.13			482	0.0745		
483	1.207			483	0.0373		
484	1.235			484	0.0195		
485	1.284			485	0.00421		
