Reference:	"Tran et al. (2003)"
DOI:	"doi:doi:10.1016/S0019-1035(03)00209-4"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:C2H2:C2H4:H2:HC3N (0.98:0.018:0.00035:0.0003:0.002:1.7e-05)"
Temperature:	"297K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/282"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Relative uncertainty in k of 10% at 0.4 μm and 75% at 0.8 µm.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2.5	1.46		0.0486		
2.45	1.44		0.0508		
2.4	1.44		0.0493		
2.35	1.48		0.0445		
2.3	1.5		0.0449		
2.25	1.5		0.0423		
2.2	1.48		0.0473		
2.15	1.49		0.0411		
2.1	1.51		0.0356		
2.05	1.51		0.0351		
2	1.51		0.035		
1.95	1.54		0.0244		
1.9	1.53		0.0274		
1.85	1.53		0.0279		
1.8	1.53		0.0263		
1.75	1.51		0.0323		
1.7	1.52		0.0334		
1.65	1.52		0.0296		
1.6	1.52		0.0319		
1.55	1.51		0.0343		
1.5	1.52		0.0313		
1.45	1.53		0.0282		
1.4	1.53		0.0275		
1.35	1.53		0.0312		
1.3	1.52		0.0318		
1.25	1.53		0.0287		
1.2	1.53		0.0303		
1.15	1.54		0.0276		
1.1	1.54		0.027		
1.05	1.54		0.0277		
1	1.54		0.0263		
0.95	1.54		0.0287		
0.9	1.55		0.0316		
0.85	1.55		0.0281		
0.8	1.56		0.0301		
0.75	1.59		0.0244		
0.7	1.58		0.0262		
0.65	1.57		0.0325		
0.6	1.57		0.0392		
0.55	1.58		0.0482		
0.5	1.58		0.0644		
0.45	1.57		0.0862		
0.4	1.58		0.1133		
0.35	1.58		0.147		
0.3	1.57		0.1799		
0.25	1.6		0.2046		
0.2	1.61		0.2257		
