Reference:	"Tran et al. (2003)"
DOI:	"doi:doi:10.1016/S0019-1035(03)00209-4"
Sample Type:	"Gas Tholin"
Composition:	"N2:C2H4 (1:0.0003)"
Temperature:	"297K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/288"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Relative uncertainty in k of 10% at 0.4 μm and 75% at 0.8 µm.

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2.5	1.59		0.0258		
2.45	1.57		0.0243		
2.4	1.57		0.023		
2.35	1.59		0.0193		
2.3	1.59		0.02		
2.25	1.6		0.0198		
2.2	1.6		0.0207		
2.15	1.56		0.0179		
2.1	1.56		0.0154		
2.05	1.55		0.0156		
2	1.56		0.0125		
1.95	1.54		0.0155		
1.9	1.54		0.0146		
1.85	1.54		0.0124		
1.8	1.54		0.0143		
1.75	1.54		0.0138		
1.7	1.54		0.0132		
1.65	1.54		0.0131		
1.6	1.53		0.0138		
1.55	1.54		0.0118		
1.5	1.54		0.0113		
1.45	1.54		0.011		
1.4	1.55		0.0103		
1.35	1.54		0.0101		
1.3	1.53		0.0111		
1.25	1.54		0.009		
1.2	1.54		0.0093		
1.15	1.54		0.009		
1.1	1.54		0.0095		
1.05	1.54		0.0088		
1	1.54		0.0069		
0.95	1.54		0.0054		
0.9	1.54		0.0069		
0.85	1.54		0.0064		
0.8	1.54		0.0057		
0.75	1.52		0.0117		
0.7	1.52		0.012		
0.65	1.52		0.0127		
0.6	1.52		0.0132		
0.55	1.52		0.0146		
0.5	1.53		0.0155		
0.45	1.53		0.0187		
0.4	1.54		0.0259		
0.35	1.56		0.041		
0.3	1.57		0.0646		
0.25	1.61		0.0995		
0.2	1.61		0.1262		
