Reference:	"Dello Russo and Khanna (1996)"
DOI:	"doi:https://doi.org/10.1006/icar.1996.0165"
Sample Type:	"Ice"
Composition:	"CH3C3N (1)"
Temperature:	"35K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/28"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
80	1.878			80	0.205		
81	1.838			81	0.254		
82	1.788			82	0.266		
83	1.756			83	0.247		
84	1.755			84	0.221		
85	1.777			85	0.215		
90	1.75			90	0.348		
91	1.734			91	0.353		
92	1.724			92	0.362		
93	1.714			93	0.377		
94	1.698			94	0.396		
95	1.673			95	0.412		
96	1.643			96	0.419		
97	1.613			97	0.415		
98	1.59			98	0.4		
99	1.579			99	0.382		
100	1.58			100	0.367		
105	1.616			105	0.408		
106	1.616			106	0.439		
107	1.606			107	0.478		
108	1.578			108	0.52		
109	1.535			109	0.553		
110	1.481			110	0.574		
111	1.423			111	0.578		
112	1.367			112	0.57		
113	1.315			113	0.55		
114	1.27			114	0.52		
115	1.233			115	0.483		
120	1.191			120	0.309		
125	1.188			125	0.211		
130	1.248			130	0.136		
131	1.253			131	0.137		
132	1.252			132	0.135		
133	1.251			133	0.128		
134	1.253			134	0.12		
135	1.255			135	0.112		
140	1.267			140	0.0623		
145	1.315			145	0.0431		
146	1.32			146	0.0445		
147	1.324			147	0.0459		
148	1.325			148	0.0462		
149	1.325			149	0.0447		
150	1.326			150	0.0417		
155	1.342			155	0.0215		
160	1.369			160	0.0136		
170	1.403			170	0.0304		
175	1.402			175	0.04		
176	1.402			176	0.043		
177	1.401			177	0.0465		
178	1.397			178	0.049		
179	1.393			179	0.0497		
180	1.39			180	0.0489		
181	1.388			181	0.0476		
182	1.386			182	0.0469		
183	1.383			183	0.0465		
184	1.38			184	0.0455		
185	1.376			185	0.0429		
190	1.373			190	0.0168		
340	1.518			340	0.0128		
345	1.604			345	0.0615		
350	1.646			350	0.244		
351	1.633			351	0.323		
352	1.574			352	0.415		
353	1.457			353	0.485		
354	1.304			354	0.484		
355	1.173			355	0.395		
356	1.115			356	0.259		
357	1.131			357	0.14		
358	1.181			358	0.0707		
359	1.233			359	0.0399		
360	1.272			360	0.0302		
365	1.331			365	0.0381		
370	1.348			370	0.0138		
375	1.375			375	0.00439		
495	1.542			495	0.0102		
500	1.675			500	0.0226		
501	1.76			501	0.0473		
502	1.864			502	0.182		
503	1.837			503	0.362		
504	1.807			504	0.586		
505	1.487			505	0.794		
506	1.116			506	0.699		
507	0.918			507	0.426		
508	0.956			508	0.122		
509	1.114			509	0.00597		
510	1.207			510	0.00031		
