Reference:	"Yarnall et al. (2020)"
DOI:	"doi:doi:10.1093/mnras/staa1028"
Sample Type:	"Ice"
Composition:	"C3H6O (1)"
Temperature:	"100K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/293"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
499.9633	1.54995			499.9633	0.00279		
500.0838	1.54995			500.0838	0.00249		
500.2043	1.55017			500.2043	0.00231		
500.3249	1.54977			500.3249	0.00236		
500.4454	1.5499			500.4454	0.00255		
500.5659	1.54947			500.5659	0.00284		
500.6864	1.54918			500.6864	0.00309		
500.807	1.54845			500.807	0.00317		
500.9275	1.54789			500.9275	0.00298		
501.048	1.54719			501.048	0.0025		
501.1686	1.54691			501.1686	0.00175		
501.2891	1.5468			501.2891	0.000865		
501.4096	1.54724			501.4096	2.3E-5		
501.5302	1.54788			501.5302	-0.000584		
501.6507	1.54886			501.6507	-0.000829		
501.7712	1.5497			501.7712	-0.000652		
501.8918	1.55046			501.8918	-0.000127		
502.0123	1.55078			502.0123	0.000599		
502.1328	1.55083			502.1328	0.00132		
502.2534	1.55052			502.2534	0.00187		
502.3739	1.55017			502.3739	0.00217		
502.4944	1.54977			502.4944	0.00219		
502.6149	1.54966			502.6149	0.00208		
502.7355	1.54961			502.7355	0.00199		
502.856	1.54977			502.856	0.00199		
502.9765	1.54986			502.9765	0.00217		
503.0971	1.54989			503.0971	0.00244		
503.2176	1.5497			503.2176	0.00271		
503.3381	1.54945			503.3381	0.00284		
503.4586	1.54915			503.4586	0.00279		
503.5792	1.54904			503.5792	0.00263		
503.6997	1.54904			503.6997	0.00245		
503.8203	1.54925			503.8203	0.00237		
503.9408	1.54945			503.9408	0.0025		
504.0613	1.5496			504.0613	0.00281		
504.1819	1.54948			504.1819	0.00321		
504.3024	1.54918			504.3024	0.00354		
504.4229	1.54866			504.4229	0.00367		
504.5434	1.54816			504.5434	0.0035		
504.664	1.54777			504.664	0.00307		
504.7845	1.54772			504.7845	0.00248		
504.905	1.54796			504.905	0.00191		
505.0256	1.54856			505.0256	0.00152		
505.1461	1.54931			505.1461	0.00145		
505.2666	1.55012			505.2666	0.00179		
505.3871	1.55074			505.3871	0.00251		
505.5077	1.55105			505.5077	0.00352		
505.6282	1.55092			505.6282	0.00465		
505.7487	1.55032			505.7487	0.00574		
505.8693	1.54928			505.8693	0.00652		
505.9898	1.54802			505.9898	0.00688		
506.1104	1.54666			506.1104	0.00668		
506.2309	1.54555			506.2309	0.006		
506.3514	1.5448			506.3514	0.00493		
506.472	1.54466			506.472	0.00375		
506.5925	1.54498			506.5925	0.00273		
506.713	1.5457			506.713	0.00207		
506.8335	1.54648			506.8335	0.00189		
506.9541	1.54718			506.9541	0.00213		
507.0746	1.54752			507.0746	0.00262		
507.1951	1.54757			507.1951	0.00317		
507.3156	1.54729			507.3156	0.00361		
507.4362	1.54691			507.4362	0.00381		
507.5567	1.54653			507.5567	0.00384		
507.6772	1.54625			507.6772	0.00373		
507.7978	1.54608			507.7978	0.00362		
507.9183	1.54599			507.9183	0.0036		
508.0388	1.54581			508.0388	0.00367		
508.1594	1.54553			508.1594	0.00375		
508.2799	1.54512			508.2799	0.00377		
508.4005	1.5446			508.4005	0.00368		
508.521	1.54403			508.521	0.00337		
508.6415	1.54353			508.6415	0.00287		
508.762	1.54313			508.762	0.00219		
508.8826	1.54294			508.8826	0.00139		
509.0031	1.54292			509.0031	0.000506		
509.1236	1.54317			509.1236	-0.000395		
509.2442	1.54365			509.2442	-0.00124		
509.3647	1.54441			509.3647	-0.00194		
509.4852	1.54533			509.4852	-0.0024		
509.6057	1.54638			509.6057	-0.00254		
509.7263	1.54736			509.7263	-0.00233		
509.8468	1.54817			509.8468	-0.00183		
509.9673	1.54867			509.9673	-0.00117		
510.0879	1.54889			510.0879	-0.000484		
510.2084	1.54885			510.2084	6.6E-5		
510.3289	1.54872			510.3289	0.00041		
510.4495	1.54861			510.4495	0.000578		
510.57	1.54866			510.57	0.000676		
510.6905	1.54879			510.6905	0.000841		
510.8111	1.54899			510.8111	0.00114		
510.9316	1.54906			510.9316	0.00162		
511.0521	1.54894			511.0521	0.00217		
511.1727	1.54858			511.1727	0.00267		
511.2932	1.54803			511.2932	0.00299		
511.4137	1.54741			511.4137	0.00302		
511.5342	1.5469			511.5342	0.00283		
511.6548	1.54655			511.6548	0.00247		
511.7753	1.54645			511.7753	0.00209		
511.8958	1.54648			511.8958	0.00178		
512.0164	1.54665			512.0164	0.0016		
512.1369	1.54682			512.1369	0.00158		
512.2574	1.54695			512.2574	0.00167		
