Reference:	"Yarnall et al. (2020)"
DOI:	"doi:doi:10.1093/mnras/staa1028"
Sample Type:	"Ice"
Composition:	"C3H6O (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/294"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
499.9633	1.36509		0.00563		
500.0838	1.36509		0.00374		
500.2043	1.36654		0.00203		
500.3249	1.36731		0.001		
500.4454	1.37002		0.000806		
500.5659	1.37192		0.00175		
500.6864	1.37421		0.00363		
500.807	1.37508		0.00624		
500.9275	1.37552		0.00905		
501.048	1.37457		0.01167		
501.1686	1.37338		0.01372		
501.2891	1.37149		0.01509		
501.4096	1.36996		0.01578		
501.5302	1.36834		0.01601		
501.6507	1.36732		0.01594		
501.7712	1.3663		0.01577		
501.8918	1.36575		0.01556		
502.0123	1.36512		0.01534		
502.1328	1.36486		0.01509		
502.2534	1.36456		0.01486		
502.3739	1.36465		0.0147		
502.4944	1.3647		0.01474		
502.6149	1.36496		0.01503		
502.7355	1.36493		0.01559		
502.856	1.36478		0.01631		
502.9765	1.36412		0.01702		
503.0971	1.3633		0.01751		
503.2176	1.36216		0.01764		
503.3381	1.3612		0.01733		
503.4586	1.36036		0.01666		
503.5792	1.36005		0.01581		
503.6997	1.36005		0.015		
503.8203	1.36052		0.01442		
503.9408	1.36102		0.01421		
504.0613	1.3616		0.01435		
504.1819	1.36185		0.01477		
504.3024	1.36189		0.01529		
504.4229	1.36153		0.01572		
504.5434	1.36106		0.0159		
504.664	1.36045		0.01575		
504.7845	1.36012		0.01528		
504.905	1.36001		0.01464		
505.0256	1.3604		0.01401		
505.1461	1.36105		0.01364		
505.2666	1.36197		0.01367		
505.3871	1.36273		0.01417		
505.5077	1.36327		0.01503		
505.6282	1.36325		0.01606		
505.7487	1.36282		0.01696		
505.8693	1.36196		0.0175		
505.9898	1.36107		0.01753		
506.1104	1.36026		0.01709		
506.2309	1.35991		0.01631		
506.3514	1.35996		0.01543		
506.472	1.36052		0.01468		
506.5925	1.36134		0.01419		
506.713	1.36243		0.01402		
506.8335	1.36356		0.01418		
506.9541	1.36482		0.01469		
507.0746	1.36603		0.01563		
507.1951	1.3672		0.0171		
507.3156	1.36797		0.01918		
507.4362	1.36813		0.02183		
507.5567	1.36719		0.0248		
507.6772	1.36502		0.0276		
507.7978	1.3615		0.02957		
507.9183	1.35712		0.03005		
508.0388	1.35253		0.02857		
508.1594	1.34885		0.02509		
508.2799	1.34692		0.02019		
508.4005	1.34738		0.01493		
508.521	1.34994		0.01047		
508.6415	1.35398		0.00764		
508.762	1.35842		0.00672		
508.8826	1.36252		0.00749		
509.0031	1.36564		0.00941		
509.1236	1.36771		0.01188		
509.2442	1.36875		0.0144		
509.3647	1.36914		0.01668		
509.4852	1.36905		0.01865		
509.6057	1.36875		0.02034		
509.7263	1.36819		0.02185		
509.8468	1.36746		0.02315		
509.9673	1.36645		0.02415		
510.0879	1.36535		0.02474		
510.2084	1.36429		0.02483		
510.3289	1.3636		0.02451		
510.4495	1.36338		0.02398		
510.57	1.36376		0.02356		
510.6905	1.36451		0.02352		
510.8111	1.36546		0.024		
510.9316	1.36624		0.02501		
511.0521	1.36673		0.02639		
511.1727	1.36675		0.02795		
511.2932	1.3664		0.02949		
511.4137	1.36567		0.0309		
511.5342	1.36472		0.03211		
511.6548	1.36354		0.03308		
511.7753	1.36227		0.03378		
511.8958	1.36091		0.03416		
512.0164	1.35965		0.03419		
512.1369	1.35857		0.03391		
512.2574	1.35787		0.03344		
512.378	1.35754		0.03301		
512.4985	1.35756		0.0328		
512.619	1.35768		0.03297		
512.7396	1.35771		0.03351		
512.8601	1.35739		0.03427		
512.9807	1.35672		0.03502		
513.1011	1.35572		0.03553		
513.2217	1.35466		0.03567		
513.3422	1.35371		0.03548		
513.4628	1.35308		0.03513		
513.5833	1.35271		0.03482		
513.7038	1.35257		0.03471		
513.8243	1.35239		0.03486		
513.9449	1.35209		0.03517		
514.0654	1.35156		0.03551		
514.1859	1.3509		0.03576		
514.3065	1.35014		0.03588		
514.427	1.34942		0.03588		
514.5475	1.34868		0.03584		
514.668	1.34792		0.03574		
514.7886	1.34703		0.03553		
514.9091	1.3461		0.03507		
515.0297	1.34522		0.03425		
515.1502	1.3447		0.03305		
515.2707	1.34472		0.03166		
515.3912	1.34546		0.03038		
515.5118	1.34679		0.0296		
