Reference:	"Yarnall and Hudson (2022)"
DOI:	"doi:https://doi.org/10.1016/j.saa.2022.121738"
Sample Type:	"Ice"
Composition:	"C3H6O2 (1)"
Temperature:	"115K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/295"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
550.1042	1.5453			550.1042	0.00573		
550.2247	1.5453			550.2247	0.00592		
550.3452	1.5441			550.3452	0.00563		
550.4657	1.5417			550.4657	0.00486		
550.5862	1.5408			550.5862	0.00362		
550.7067	1.5395			550.7067	0.00216		
550.8272	1.5394			550.8272	0.00059		
550.9477	1.539			550.9477	-0.00093		
551.0682	1.5395			551.0682	-0.00236		
551.1887	1.5397			551.1887	-0.0037		
551.3092	1.5406			551.3092	-0.00496		
551.4297	1.5414			551.4297	-0.00611		
551.5502	1.5428			551.5502	-0.00704		
551.6707	1.5442			551.6707	-0.00761		
551.7912	1.546			551.7912	-0.00772		
551.9117	1.5475			551.9117	-0.00729		
552.0322	1.549			552.0322	-0.00639		
552.1527	1.5498			552.1527	-0.00516		
552.2732	1.5503			552.2732	-0.00379		
552.3937	1.5501			552.3937	-0.00246		
552.5142	1.5496			552.5142	-0.00132		
552.6347	1.5486			552.6347	-0.00049		
552.7552	1.5475			552.7552	-6.0E-5		
552.8757	1.5461			552.8757	-0.00013		
552.9962	1.5449			552.9962	-0.00079		
553.1167	1.5437			553.1167	-0.00207		
553.2372	1.5433			553.2372	-0.00391		
553.3577	1.5434			553.3577	-0.00606		
553.4782	1.5446			553.4782	-0.00817		
553.5987	1.5466			553.5987	-0.00984		
553.7192	1.5493			553.7192	-0.0107		
553.8397	1.5521			553.8397	-0.0106		
553.9602	1.5548			553.9602	-0.00952		
554.0807	1.5568			554.0807	-0.00768		
554.2012	1.5583			554.2012	-0.00537		
554.3217	1.5589			554.3217	-0.0029		
554.4422	1.5589			554.4422	-0.0005		
554.5627	1.5583			554.5627	0.00168		
554.6832	1.5573			554.6832	0.00356		
554.8037	1.5559			554.8037	0.00509		
554.9242	1.5543			554.9242	0.0062		
555.0447	1.5525			555.0447	0.00683		
555.1652	1.5507			555.1652	0.00692		
555.2857	1.549			555.2857	0.00651		
555.4062	1.5478			555.4062	0.00572		
555.5268	1.547			555.5268	0.00478		
555.6473	1.5467			555.6473	0.00393		
555.7678	1.5465			555.7678	0.00332		
