Reference:	"Zhang et al. (2001)"
DOI:	"doi:https://doi.org/10.1063/1.1386401"
Sample Type:	"Ice"
Composition:	"H2O (1)"
Temperature:	"243K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/296"
n₁ Error Units:	± 0.002
k₁ Error Units:	± 0.0005

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
1	1.793			1	0.0205		
0.9375	1.793			0.9375	0.0169		
0.875	1.791			0.875	0.0161		
0.8125	1.79			0.8125	0.0147		
0.75	1.789			0.75	0.014		
0.6875	1.789			0.6875	0.0129		
0.625	1.788			0.625	0.0119		
0.5625	1.787			0.5625	0.0109		
0.5	1.786			0.5	0.0098		
0.4375	1.786			0.4375	0.0087		
0.375	1.786			0.375	0.0071		
0.3125	1.786			0.3125	0.0057		
0.25	1.787			0.25	0.0045		
