Reference:	"Baratta and Palumbo (1998)"
DOI:	"doi:https://doi.org/10.1364/JOSAA.15.003076"
Sample Type:	"Ice"
Composition:	"CO2 (1)"
Temperature:	"12.5K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/2"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
500	1.330956		0.009657		
501	1.330956		0.000566		
502	1.336803		0.011215		
503	1.319856		0.029979		
504	1.31074		0		
505	1.320612		0		
506	1.323742		0		
507	1.325962		0		
508	1.328007		0		
509	1.330279		0		
510	1.333987		0		
511	1.335812		0.004806		
512	1.337229		0.004086		
513	1.343456		0.006186		
514	1.344717		0.020593		
515	1.330912		0.032666		
516	1.315405		0.021507		
517	1.319568		0		
518	1.335541		0		
519	1.341086		0.014132		
520	1.336218		0.020571		
521	1.333349		0.019426		
522	1.331837		0.023178		
523	1.327481		0.024928		
524	1.322298		0.024021		
525	1.318187		0.019276		
526	1.319665		0.010527		
527	1.329194		0.005886		
528	1.339193		0.014842		
529	1.3365		0.033815		
530	1.31469		0.046076		
531	1.295664		0.02468		
532	1.301646		0		
533	1.3141		0		
534	1.319676		0		
535	1.326763		0		
536	1.323054		0.014193		
537	1.318818		0.000312		
538	1.324573		0		
539	1.327484		0		
540	1.330086		0		
541	1.333117		0		
542	1.33911		0		
543	1.342546		0.010237		
544	1.337669		0.018773		
545	1.325971		0.022606		
546	1.318669		0.009526		
547	1.323182		0		
548	1.328956		0		
549	1.331765		0		
550	1.334		0		
551	1.336158		0		
552	1.338835		0		
553	1.344455		0.000637		
554	1.340733		0.015148		
555	1.332286		0.007214		
556	1.334535		0		
557	1.338649		0		
558	1.340755		0		
559	1.342498		0		
560	1.344125		0		
561	1.345742		0		
562	1.347422		0		
563	1.34926		0		
564	1.351466		0		
565	1.355633		0		
566	1.354542		0.008088		
567	1.353776		0.000983		
568	1.358478		0.002588		
569	1.36023		0.004549		
570	1.36631		0.001471		
571	1.374476		0.011283		
572	1.371825		0.02745		
573	1.360366		0.034592		
574	1.347324		0.034576		
575	1.333103		0.027619		
576	1.335485		0		
577	1.349506		0		
578	1.361552		0		
579	1.353556		0.025826		
580	1.344976		0		
581	1.354574		0		
582	1.358464		0		
583	1.361797		0		
584	1.363876		0.001366		
585	1.365936		0		
586	1.369221		0		
587	1.373707		0		
588	1.377506		0.004981		
589	1.372482		0.013029		
590	1.369705		0.002047		
591	1.375395		0		
592	1.379926		0		
593	1.384171		0		
594	1.389433		0		
595	1.399286		0		
596	1.411003		0.012269		
597	1.407487		0.039821		
598	1.376086		0.058151		
599	1.354259		0.02291		
600	1.365099		0		
601	1.378485		0		
602	1.384703		0		
603	1.389421		0		
604	1.393579		0		
605	1.397601		0		
606	1.401897		0		
607	1.408204		0		
608	1.413589		0.006873		
609	1.407113		0.017944		
610	1.402373		0.004524		
611	1.40906		0		
612	1.414969		0		
613	1.419373		0		
614	1.423509		0		
615	1.427602		0		
616	1.431744		0		
617	1.435988		0		
618	1.440373		0		
619	1.444948		0		
620	1.449987		0.000102		
621	1.454636		5.2E-5		
622	1.459527		1.3E-5		
623	1.465738		4.0E-6		
624	1.471402		5.0E-6		
625	1.477267		1.4E-5		
626	1.484029		6.0E-6		
627	1.492385		0.000174		
628	1.503064		0.000979		
629	1.506611		0.012441		
630	1.506413		0.007728		
631	1.515491		0.000127		
632	1.528016		0.000156		
633	1.540491		0.001071		
634	1.55024		0.005977		
635	1.559225		0.003694		
636	1.575866		0.000514		
637	1.595654		0.006214		
638	1.608989		0.021168		
639	1.612364		0.030174		
640	1.615307		0.026819		
641	1.62866		0.014577		
642	1.654021		0.005595		
643	1.683774		0.009075		
644	1.707888		0.016863		
645	1.731078		0.014755		
646	1.76453		0.00833		
647	1.810707		0.001413		
648	1.8695		0.002557		
649	1.944045		0.004921		
650	2.043835		0.021539		
651	2.169384		0.068246		
652	2.328179		0.160425		
653	2.490347		0.374574		
654	2.51242		0.759318		
655	2.251595		1.12789		
656	1.886784		1.111141		
657	1.796861		0.8185		
658	1.990114		0.750373		
659	2.148713		0.996835		
660	2.07619		1.348002		
661	1.827505		1.560675		
662	1.552896		1.621569		
663	1.32899		1.596996		
664	1.131616		1.575721		
665	0.967228		1.484882		
666	0.824962		1.436241		
667	0.678068		1.341101		
668	0.57034		1.217037		
669	0.48705		1.114693		
670	0.413214		1.000776		
671	0.347512		0.891328		
672	0.290583		0.754329		
673	0.267579		0.598683		
674	0.277207		0.456629		
675	0.304651		0.332834		
676	0.348224		0.231645		
677	0.411058		0.155379		
678	0.487496		0.078438		
679	0.575534		0.02063		
680	0.657886		3.0E-6		
681	0.71868		5.0E-6		
682	0.762415		0.000161		
683	0.79859		0.00021		
684	0.827873		4.0E-6		
685	0.85334		8.0E-6		
686	0.875882		9.0E-6		
687	0.896072		0.000194		
688	0.913867		0.001788		
689	0.930897		0.000524		
690	0.94533		8.0E-6		
691	0.958803		0.000224		
692	0.9709		8.0E-6		
693	0.982581		1.0E-6		
694	0.99335		1.0E-6		
695	1.003713		8.0E-6		
696	1.015134		6.0E-6		
697	1.026498		0.004936		
698	1.024353		0.018433		
699	1.034526		4.2E-5		
700	1.036869		0		
701	1.046065		0		
702	1.052632		0.003908		
703	1.055395		0.00506		
704	1.059338		0.001714		
705	1.065751		0		
706	1.071936		0		
707	1.077386		0		
708	1.082676		0		
709	1.08869		0		
710	1.093008		0.003652		
711	1.093747		0.004913		
712	1.09716		0		
713	1.103658		0		
714	1.11028		0.00024		
715	1.117743		0.003799		
716	1.120797		0.013647		
717	1.11529		0.021742		
718	1.106352		0.019539		
719	1.104534		0.007858		
720	1.110328		0.001583		
721	1.116632		0		
722	1.121463		0		
723	1.125538		0		
724	1.13099		0		
725	1.132499		0.007317		
726	1.12895		0.007098		
727	1.1298		0.000961		
728	1.134029		0		
729	1.137082		0		
730	1.139535		0		
731	1.141755		0		
732	1.143828		0		
733	1.145792		0		
734	1.147667		0		
735	1.149466		0		
736	1.151199		0		
737	1.152871		0		
738	1.154488		0		
739	1.156054		0		
740	1.157573		0		
741	1.159047		0		
742	1.16048		0		
743	1.161874		0		
744	1.163231		0		
745	1.164554		0		
746	1.165843		0		
747	1.167102		0		
748	1.168331		0		
749	1.169533		0		
750	1.17071		0		
751	1.171864		0		
752	1.172997		0		
753	1.174112		0		
754	1.175214		0		
755	1.176307		0		
756	1.177401		0		
757	1.178512		0		
758	1.179673		0		
759	1.180977		0		
760	1.183038		0		
761	1.184525		0.002615		
762	1.18263		0.005652		
763	1.180339		0.003143		
764	1.181516		0		
765	1.183622		0		
766	1.184834		0		
767	1.185858		0		
768	1.186796		0		
769	1.187684		0		
770	1.188542		0		
771	1.189381		0		
772	1.190212		0		
773	1.191054		0		
774	1.192012		0		
775	1.192726		0.000477		
776	1.193184		0.000402		
777	1.194058		0		
778	1.195323		0		
779	1.197747		0		
780	1.197441		0.00518		
781	1.19382		0.00464		
782	1.193922		0		
783	1.196276		0		
784	1.19759		0		
785	1.199403		0		
786	1.199951		0.002677		
787	1.199005		0.00296		
788	1.197959		0.002993		
