Reference:	"Baratta and Palumbo (1998)"
DOI:	"doi:https://doi.org/10.1364/JOSAA.15.003076"
Sample Type:	"Ice"
Composition:	"CO2 (1)"
Temperature:	"12.5K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/2"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
500	1.330956			500	0.009657		
501	1.330956			501	0.000566		
502	1.336803			502	0.011215		
503	1.319856			503	0.029979		
504	1.31074			504	0		
505	1.320612			505	0		
506	1.323742			506	0		
507	1.325962			507	0		
508	1.328007			508	0		
509	1.330279			509	0		
510	1.333987			510	0		
511	1.335812			511	0.004806		
512	1.337229			512	0.004086		
513	1.343456			513	0.006186		
514	1.344717			514	0.020593		
515	1.330912			515	0.032666		
516	1.315405			516	0.021507		
517	1.319568			517	0		
518	1.335541			518	0		
519	1.341086			519	0.014132		
520	1.336218			520	0.020571		
521	1.333349			521	0.019426		
522	1.331837			522	0.023178		
523	1.327481			523	0.024928		
524	1.322298			524	0.024021		
525	1.318187			525	0.019276		
526	1.319665			526	0.010527		
527	1.329194			527	0.005886		
528	1.339193			528	0.014842		
529	1.3365			529	0.033815		
530	1.31469			530	0.046076		
531	1.295664			531	0.02468		
532	1.301646			532	0		
533	1.3141			533	0		
534	1.319676			534	0		
535	1.326763			535	0		
536	1.323054			536	0.014193		
537	1.318818			537	0.000312		
538	1.324573			538	0		
539	1.327484			539	0		
540	1.330086			540	0		
541	1.333117			541	0		
542	1.33911			542	0		
543	1.342546			543	0.010237		
544	1.337669			544	0.018773		
545	1.325971			545	0.022606		
546	1.318669			546	0.009526		
547	1.323182			547	0		
548	1.328956			548	0		
549	1.331765			549	0		
550	1.334			550	0		
551	1.336158			551	0		
552	1.338835			552	0		
553	1.344455			553	0.000637		
554	1.340733			554	0.015148		
555	1.332286			555	0.007214		
556	1.334535			556	0		
557	1.338649			557	0		
558	1.340755			558	0		
559	1.342498			559	0		
560	1.344125			560	0		
561	1.345742			561	0		
562	1.347422			562	0		
563	1.34926			563	0		
564	1.351466			564	0		
565	1.355633			565	0		
566	1.354542			566	0.008088		
567	1.353776			567	0.000983		
568	1.358478			568	0.002588		
569	1.36023			569	0.004549		
570	1.36631			570	0.001471		
571	1.374476			571	0.011283		
572	1.371825			572	0.02745		
573	1.360366			573	0.034592		
574	1.347324			574	0.034576		
575	1.333103			575	0.027619		
576	1.335485			576	0		
577	1.349506			577	0		
578	1.361552			578	0		
579	1.353556			579	0.025826		
580	1.344976			580	0		
581	1.354574			581	0		
582	1.358464			582	0		
583	1.361797			583	0		
584	1.363876			584	0.001366		
585	1.365936			585	0		
586	1.369221			586	0		
587	1.373707			587	0		
588	1.377506			588	0.004981		
589	1.372482			589	0.013029		
590	1.369705			590	0.002047		
591	1.375395			591	0		
592	1.379926			592	0		
593	1.384171			593	0		
594	1.389433			594	0		
595	1.399286			595	0		
596	1.411003			596	0.012269		
597	1.407487			597	0.039821		
598	1.376086			598	0.058151		
599	1.354259			599	0.02291		
600	1.365099			600	0		
601	1.378485			601	0		
602	1.384703			602	0		
603	1.389421			603	0		
604	1.393579			604	0		
605	1.397601			605	0		
606	1.401897			606	0		
607	1.408204			607	0		
608	1.413589			608	0.006873		
609	1.407113			609	0.017944		
610	1.402373			610	0.004524		
611	1.40906			611	0		
612	1.414969			612	0		
613	1.419373			613	0		
614	1.423509			614	0		
615	1.427602			615	0		
616	1.431744			616	0		
617	1.435988			617	0		
618	1.440373			618	0		
619	1.444948			619	0		
620	1.449987			620	0.000102		
621	1.454636			621	5.2E-5		
622	1.459527			622	1.3E-5		
623	1.465738			623	4.0E-6		
624	1.471402			624	5.0E-6		
625	1.477267			625	1.4E-5		
626	1.484029			626	6.0E-6		
627	1.492385			627	0.000174		
628	1.503064			628	0.000979		
629	1.506611			629	0.012441		
630	1.506413			630	0.007728		
631	1.515491			631	0.000127		
632	1.528016			632	0.000156		
633	1.540491			633	0.001071		
634	1.55024			634	0.005977		
635	1.559225			635	0.003694		
636	1.575866			636	0.000514		
637	1.595654			637	0.006214		
638	1.608989			638	0.021168		
639	1.612364			639	0.030174		
640	1.615307			640	0.026819		
641	1.62866			641	0.014577		
642	1.654021			642	0.005595		
643	1.683774			643	0.009075		
644	1.707888			644	0.016863		
645	1.731078			645	0.014755		
646	1.76453			646	0.00833		
647	1.810707			647	0.001413		
648	1.8695			648	0.002557		
649	1.944045			649	0.004921		
650	2.043835			650	0.021539		
651	2.169384			651	0.068246		
652	2.328179			652	0.160425		
653	2.490347			653	0.374574		
654	2.51242			654	0.759318		
655	2.251595			655	1.12789		
656	1.886784			656	1.111141		
657	1.796861			657	0.8185		
658	1.990114			658	0.750373		
659	2.148713			659	0.996835		
660	2.07619			660	1.348002		
661	1.827505			661	1.560675		
662	1.552896			662	1.621569		
663	1.32899			663	1.596996		
664	1.131616			664	1.575721		
665	0.967228			665	1.484882		
666	0.824962			666	1.436241		
667	0.678068			667	1.341101		
668	0.57034			668	1.217037		
669	0.48705			669	1.114693		
670	0.413214			670	1.000776		
671	0.347512			671	0.891328		
672	0.290583			672	0.754329		
673	0.267579			673	0.598683		
674	0.277207			674	0.456629		
675	0.304651			675	0.332834		
676	0.348224			676	0.231645		
677	0.411058			677	0.155379		
678	0.487496			678	0.078438		
679	0.575534			679	0.02063		
680	0.657886			680	3.0E-6		
681	0.71868			681	5.0E-6		
682	0.762415			682	0.000161		
