Reference:	"Drant et al. (2024)"
DOI:	"doi:https://doi.org/10.1051/0004-6361/202346820"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:CO2 (95:4:1)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/30"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
29.995429	1.777138		0.087261		
29.973756	1.777314		0.087278		
29.952114	1.777471		0.087296		
29.930504	1.777595		0.087316		
29.908925	1.777686		0.087336		
29.887376	1.777746		0.087358		
29.865859	1.777818		0.08738		
29.844373	1.777923		0.087404		
29.822918	1.778061		0.087429		
29.801493	1.778232		0.087455		
29.780099	1.778399		0.087482		
29.758736	1.778534		0.087511		
29.737404	1.778636		0.08754		
29.716102	1.778705		0.087571		
29.694831	1.778769		0.087602		
29.67359	1.778866		0.087635		
29.652379	1.778994		0.087669		
29.631199	1.779155		0.087704		
29.610049	1.779329		0.087741		
29.588929	1.779474		0.087778		
29.567839	1.779586		0.087817		
29.546779	1.779666		0.087857		
29.52575	1.779725		0.087897		
29.50475	1.779812		0.08794		
29.48378	1.779931		0.087983		
29.46284	1.780081		0.088027		
29.441929	1.780257		0.088073		
29.421048	1.78041		0.088119		
29.400197	1.78053		0.088167		
29.379376	1.78062		0.088216		
29.358583	1.78068		0.088266		
29.337821	1.780757		0.088317		
29.317087	1.780865		0.08837		
29.296383	1.781005		0.088423		
29.275708	1.781175		0.088478		
29.255062	1.781335		0.088534		
29.234446	1.781464		0.08859		
29.213858	1.781561		0.088648		
29.193299	1.781627		0.088708		
29.17277	1.781694		0.088768		
29.152269	1.781792		0.088829		
29.131797	1.78192		0.088892		
29.111353	1.782079		0.088955		
29.090938	1.782245		0.08902		
29.070552	1.782381		0.089086		
29.050195	1.782486		0.089153		
29.029866	1.782559		0.089221		
29.009565	1.782617		0.08929		
28.989293	1.782703		0.08936		
28.969049	1.78282		0.089432		
28.948833	1.782967		0.089504		
28.928646	1.783134		0.089578		
28.908487	1.783275		0.089652		
28.888355	1.783386		0.089728		
28.868252	1.783466		0.089805		
28.848177	1.783521		0.089882		
28.828129	1.783595		0.089961		
28.80811	1.7837		0.090041		
28.788118	1.783834		0.090122		
28.768154	1.783995		0.090204		
28.748218	1.784142		0.090287		
28.728309	1.784258		0.09037		
28.708428	1.784344		0.090455		
28.688574	1.7844		0.090541		
28.668748	1.784462		0.090628		
28.648949	1.784554		0.090716		
28.629178	1.784675		0.090805		
28.609433	1.784825		0.090895		
28.589716	1.784976		0.090986		
28.570026	1.785097		0.091078		
28.550364	1.785188		0.091171		
