Reference:	"Drant et al. (2024)"
DOI:	"doi:https://doi.org/10.1051/0004-6361/202346820"
Sample Type:	"Gas Tholin"
Composition:	"N2:CH4:CO2 (95:4:1)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/30"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
29.995429	1.777138			29.995429	0.087261		
29.973756	1.777314			29.973756	0.087278		
29.952114	1.777471			29.952114	0.087296		
29.930504	1.777595			29.930504	0.087316		
29.908925	1.777686			29.908925	0.087336		
29.887376	1.777746			29.887376	0.087358		
29.865859	1.777818			29.865859	0.08738		
29.844373	1.777923			29.844373	0.087404		
29.822918	1.778061			29.822918	0.087429		
29.801493	1.778232			29.801493	0.087455		
29.780099	1.778399			29.780099	0.087482		
29.758736	1.778534			29.758736	0.087511		
29.737404	1.778636			29.737404	0.08754		
29.716102	1.778705			29.716102	0.087571		
29.694831	1.778769			29.694831	0.087602		
29.67359	1.778866			29.67359	0.087635		
29.652379	1.778994			29.652379	0.087669		
29.631199	1.779155			29.631199	0.087704		
29.610049	1.779329			29.610049	0.087741		
29.588929	1.779474			29.588929	0.087778		
29.567839	1.779586			29.567839	0.087817		
29.546779	1.779666			29.546779	0.087857		
29.52575	1.779725			29.52575	0.087897		
29.50475	1.779812			29.50475	0.08794		
29.48378	1.779931			29.48378	0.087983		
29.46284	1.780081			29.46284	0.088027		
29.441929	1.780257			29.441929	0.088073		
29.421048	1.78041			29.421048	0.088119		
29.400197	1.78053			29.400197	0.088167		
29.379376	1.78062			29.379376	0.088216		
29.358583	1.78068			29.358583	0.088266		
29.337821	1.780757			29.337821	0.088317		
29.317087	1.780865			29.317087	0.08837		
29.296383	1.781005			29.296383	0.088423		
29.275708	1.781175			29.275708	0.088478		
29.255062	1.781335			29.255062	0.088534		
29.234446	1.781464			29.234446	0.08859		
29.213858	1.781561			29.213858	0.088648		
29.193299	1.781627			29.193299	0.088708		
29.17277	1.781694			29.17277	0.088768		
29.152269	1.781792			29.152269	0.088829		
29.131797	1.78192			29.131797	0.088892		
29.111353	1.782079			29.111353	0.088955		
29.090938	1.782245			29.090938	0.08902		
29.070552	1.782381			29.070552	0.089086		
29.050195	1.782486			29.050195	0.089153		
29.029866	1.782559			29.029866	0.089221		
29.009565	1.782617			29.009565	0.08929		
28.989293	1.782703			28.989293	0.08936		
28.969049	1.78282			28.969049	0.089432		
28.948833	1.782967			28.948833	0.089504		
28.928646	1.783134			28.928646	0.089578		
28.908487	1.783275			28.908487	0.089652		
28.888355	1.783386			28.888355	0.089728		
28.868252	1.783466			28.868252	0.089805		
28.848177	1.783521			28.848177	0.089882		
28.828129	1.783595			28.828129	0.089961		
28.80811	1.7837			28.80811	0.090041		
28.788118	1.783834			28.788118	0.090122		
28.768154	1.783995			28.768154	0.090204		
28.748218	1.784142			28.748218	0.090287		
28.728309	1.784258			28.728309	0.09037		
28.708428	1.784344			28.708428	0.090455		
28.688574	1.7844			28.688574	0.090541		
28.668748	1.784462			28.668748	0.090628		
28.648949	1.784554			28.648949	0.090716		
28.629178	1.784675			28.629178	0.090805		
28.609433	1.784825			28.609433	0.090895		
28.589716	1.784976			28.589716	0.090986		
28.570026	1.785097			28.570026	0.091078		
28.550364	1.785188			28.550364	0.091171		
28.530728	1.785248			28.530728	0.091265		
28.511119	1.785299			28.511119	0.091359		
28.491537	1.785378			28.491537	0.091455		
28.471982	1.785486			28.471982	0.091552		
28.452454	1.785623			28.452454	0.091649		
28.432953	1.785774			28.432953	0.091748		
28.413478	1.785899			28.413478	0.091847		
28.39403	1.785994			28.39403	0.091947		
28.374609	1.786059			28.374609	0.092048		
28.355214	1.786103			28.355214	0.09215		
28.335846	1.786168			28.335846	0.092253		
28.316504	1.786263			28.316504	0.092357		
28.297188	1.786385			28.297188	0.092462		
28.277899	1.786532			28.277899	0.092567		
28.258636	1.78666			28.258636	0.092674		
28.2394	1.786759			28.2394	0.092781		
28.220189	1.786828			28.220189	0.092889		
28.201005	1.786869			28.201005	0.092998		
28.181847	1.786921			28.181847	0.093107		
28.162714	1.787002			28.162714	0.093218		
28.143608	1.787111			28.143608	0.093329		
28.124528	1.787247			28.124528	0.093441		
28.105473	1.787378			28.105473	0.093554		
28.086444	1.78748			28.086444	0.093668		
28.067441	1.787552			28.067441	0.093783		
28.048464	1.787595			28.048464	0.093898		
28.029512	1.787634			28.029512	0.094014		
28.010586	1.787701			28.010586	0.094131		
27.991686	1.787796			27.991686	0.094248		
27.972811	1.787918			27.972811	0.094366		
27.953961	1.78805			27.953961	0.094485		
27.935137	1.788154			27.935137	0.094605		
27.916338	1.78823			27.916338	0.094726		
27.897564	1.788276			27.897564	0.094847		
27.878816	1.788305			27.878816	0.094969		
27.860093	1.788359			27.860093	0.095091		
27.841395	1.788439			27.841395	0.095215		
27.822722	1.788547			27.822722	0.095339		
27.804074	1.788675			27.804074	0.095463		
27.785451	1.788781			27.785451	0.095589		
27.766853	1.788859			27.766853	0.095715		
27.74828	1.788909			27.74828	0.095841		
27.729731	1.788933			27.729731	0.095969		
27.711208	1.788972			27.711208	0.096097		
27.692709	1.789039			27.692709	0.096226		
27.674235	1.789132			27.674235	0.096355		
