Reference:	"Drant et al. (2024)"
DOI:	"doi:https://doi.org/10.1051/0004-6361/202346820"
Sample Type:	"Gas Tholin"
Composition:	"N2:CO2:CH4 (95:3:2)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/31"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
29.995429	2.328182		0.62791		
29.973756	2.328325		0.627869		
29.952114	2.328382		0.627829		
29.930504	2.328294		0.62779		
29.908925	2.32806		0.627753		
29.887376	2.327685		0.627716		
29.865859	2.327365		0.627681		
29.844373	2.32719		0.627646		
29.822918	2.32716		0.627613		
29.801493	2.327275		0.627581		
29.780099	2.327374		0.62755		
29.758736	2.327329		0.62752		
29.737404	2.327139		0.627491		
29.716102	2.326805		0.627463		
29.694831	2.326447		0.627436		
29.67359	2.32623		0.62741		
29.652379	2.326157		0.627385		
29.631199	2.326228		0.627362		
29.610049	2.326358		0.627339		
29.588929	2.326355		0.627317		
29.567839	2.326209		0.627297		
29.546779	2.32592		0.627277		
29.52575	2.325543		0.627258		
29.50475	2.325286		0.627241		
29.48378	2.32517		0.627224		
29.46284	2.325197		0.627209		
29.441929	2.325334		0.627194		
29.421048	2.325371		0.627181		
29.400197	2.325267		0.627168		
29.379376	2.325022		0.627157		
29.358583	2.324651		0.627147		
29.337821	2.324355		0.627137		
29.317087	2.324198		0.627129		
29.296383	2.324181		0.627121		
29.275708	2.3243		0.627115		
29.255062	2.324376		0.627109		
29.234446	2.324313		0.627105		
29.213858	2.324111		0.627102		
29.193299	2.32377		0.627099		
29.17277	2.323435		0.627098		
29.152269	2.323238		0.627097		
29.131797	2.323178		0.627098		
29.111353	2.323257		0.6271		
29.090938	2.323369		0.627102		
29.070552	2.323346		0.627106		
29.050195	2.323186		0.62711		
29.029866	2.322888		0.627116		
29.009565	2.322525		0.627123		
28.989293	2.322288		0.62713		
28.969049	2.322187		0.627139		
28.948833	2.322223		0.627148		
28.928646	2.32235		0.627159		
28.908487	2.322366		0.62717		
28.888355	2.322246		0.627183		
28.868252	2.32199		0.627197		
28.848177	2.321624		0.627211		
28.828129	2.321347		0.627227		
28.80811	2.321206		0.627243		
28.788118	2.321199		0.627261		
28.768154	2.321317		0.62728		
28.748218	2.32137		0.627299		
28.728309	2.321289		0.62732		
28.708428	2.321075		0.627341		
28.688574	2.320728		0.627364		
28.668748	2.320413		0.627388		
28.648949	2.320232		0.627412		
28.629178	2.320184		0.627438		
28.609433	2.320268		0.627465		
28.589716	2.320358		0.627492		
28.570026	2.320315		0.627521		
28.550364	2.32014		0.627551		
28.530728	2.319832		0.627581		
28.511119	2.319483		0.627613		
28.491537	2.319262		0.627646		
28.471982	2.319173		0.62768		
28.452454	2.319215		0.627715		
28.432953	2.319327		0.62775		
28.413478	2.31932		0.627787		
28.39403	2.319183		0.627825		
28.374609	2.318915		0.627864		
28.355214	2.318553		0.627904		
28.335846	2.318294		0.627945		
28.316504	2.318164		0.627987		
28.297188	2.318164		0.628029		
28.277899	2.318274		0.628073		
28.258636	2.318303		0.628118		
28.2394	2.318202		0.628164		
28.220189	2.317972		0.628211		
28.201005	2.31762		0.628259		
28.181847	2.317322		0.628308		
28.162714	2.317152		0.628358		
28.143608	2.31711		0.628409		
28.124528	2.317196		0.628461		
28.105473	2.317259		0.628514		
28.086444	2.317193		0.628568		
28.067441	2.317		0.628623		
28.048464	2.316679		0.628679		
28.029512	2.316343		0.628736		
28.010586	2.316133		0.628794		
