Reference:	"Drant et al. (2024)"
DOI:	"doi:https://doi.org/10.1051/0004-6361/202346820"
Sample Type:	"Gas Tholin"
Composition:	"N2:CO2:CH4 (95:3:2)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/31"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavelength (µm)"	"n₁"	"Dn₁  (+/-)"		"Wavelength (µm)"	"k₁"	"Dk₁  (+/-)"	
29.995429	2.328182			29.995429	0.62791		
29.973756	2.328325			29.973756	0.627869		
29.952114	2.328382			29.952114	0.627829		
29.930504	2.328294			29.930504	0.62779		
29.908925	2.32806			29.908925	0.627753		
29.887376	2.327685			29.887376	0.627716		
29.865859	2.327365			29.865859	0.627681		
29.844373	2.32719			29.844373	0.627646		
29.822918	2.32716			29.822918	0.627613		
29.801493	2.327275			29.801493	0.627581		
29.780099	2.327374			29.780099	0.62755		
29.758736	2.327329			29.758736	0.62752		
29.737404	2.327139			29.737404	0.627491		
29.716102	2.326805			29.716102	0.627463		
29.694831	2.326447			29.694831	0.627436		
29.67359	2.32623			29.67359	0.62741		
29.652379	2.326157			29.652379	0.627385		
29.631199	2.326228			29.631199	0.627362		
29.610049	2.326358			29.610049	0.627339		
29.588929	2.326355			29.588929	0.627317		
29.567839	2.326209			29.567839	0.627297		
29.546779	2.32592			29.546779	0.627277		
29.52575	2.325543			29.52575	0.627258		
29.50475	2.325286			29.50475	0.627241		
29.48378	2.32517			29.48378	0.627224		
29.46284	2.325197			29.46284	0.627209		
29.441929	2.325334			29.441929	0.627194		
29.421048	2.325371			29.421048	0.627181		
29.400197	2.325267			29.400197	0.627168		
29.379376	2.325022			29.379376	0.627157		
29.358583	2.324651			29.358583	0.627147		
29.337821	2.324355			29.337821	0.627137		
29.317087	2.324198			29.317087	0.627129		
29.296383	2.324181			29.296383	0.627121		
29.275708	2.3243			29.275708	0.627115		
29.255062	2.324376			29.255062	0.627109		
29.234446	2.324313			29.234446	0.627105		
29.213858	2.324111			29.213858	0.627102		
29.193299	2.32377			29.193299	0.627099		
29.17277	2.323435			29.17277	0.627098		
29.152269	2.323238			29.152269	0.627097		
29.131797	2.323178			29.131797	0.627098		
29.111353	2.323257			29.111353	0.6271		
29.090938	2.323369			29.090938	0.627102		
29.070552	2.323346			29.070552	0.627106		
29.050195	2.323186			29.050195	0.62711		
29.029866	2.322888			29.029866	0.627116		
29.009565	2.322525			29.009565	0.627123		
28.989293	2.322288			28.989293	0.62713		
28.969049	2.322187			28.969049	0.627139		
28.948833	2.322223			28.948833	0.627148		
28.928646	2.32235			28.928646	0.627159		
28.908487	2.322366			28.908487	0.62717		
28.888355	2.322246			28.888355	0.627183		
28.868252	2.32199			28.868252	0.627197		
28.848177	2.321624			28.848177	0.627211		
28.828129	2.321347			28.828129	0.627227		
28.80811	2.321206			28.80811	0.627243		
28.788118	2.321199			28.788118	0.627261		
28.768154	2.321317			28.768154	0.62728		
28.748218	2.32137			28.748218	0.627299		
28.728309	2.321289			28.728309	0.62732		
28.708428	2.321075			28.708428	0.627341		
28.688574	2.320728			28.688574	0.627364		
28.668748	2.320413			28.668748	0.627388		
28.648949	2.320232			28.648949	0.627412		
28.629178	2.320184			28.629178	0.627438		
28.609433	2.320268			28.609433	0.627465		
28.589716	2.320358			28.589716	0.627492		
28.570026	2.320315			28.570026	0.627521		
28.550364	2.32014			28.550364	0.627551		
28.530728	2.319832			28.530728	0.627581		
28.511119	2.319483			28.511119	0.627613		
28.491537	2.319262			28.491537	0.627646		
28.471982	2.319173			28.471982	0.62768		
28.452454	2.319215			28.452454	0.627715		
28.432953	2.319327			28.432953	0.62775		
28.413478	2.31932			28.413478	0.627787		
28.39403	2.319183			28.39403	0.627825		
28.374609	2.318915			28.374609	0.627864		
28.355214	2.318553			28.355214	0.627904		
28.335846	2.318294			28.335846	0.627945		
28.316504	2.318164			28.316504	0.627987		
28.297188	2.318164			28.297188	0.628029		
28.277899	2.318274			28.277899	0.628073		
28.258636	2.318303			28.258636	0.628118		
28.2394	2.318202			28.2394	0.628164		
28.220189	2.317972			28.220189	0.628211		
28.201005	2.31762			28.201005	0.628259		
28.181847	2.317322			28.181847	0.628308		
28.162714	2.317152			28.162714	0.628358		
28.143608	2.31711			28.143608	0.628409		
28.124528	2.317196			28.124528	0.628461		
28.105473	2.317259			28.105473	0.628514		
28.086444	2.317193			28.086444	0.628568		
28.067441	2.317			28.067441	0.628623		
28.048464	2.316679			28.048464	0.628679		
28.029512	2.316343			28.029512	0.628736		
28.010586	2.316133			28.010586	0.628794		
27.991686	2.316051			27.991686	0.628853		
27.972811	2.316094			27.972811	0.628912		
27.953961	2.316184			27.953961	0.628973		
27.935137	2.316153			27.935137	0.629035		
27.916338	2.315996			27.916338	0.629098		
27.897564	2.315711			27.897564	0.629161		
27.878816	2.315353			27.878816	0.629226		
27.860093	2.315104			27.860093	0.629292		
27.841395	2.31498			27.841395	0.629358		
27.822722	2.314982			27.822722	0.629425		
27.804074	2.315077			27.804074	0.629494		
27.785451	2.315079			27.785451	0.629563		
27.766853	2.314955			27.766853	0.629633		
27.74828	2.314706			27.74828	0.629704		
27.729731	2.314347			27.729731	0.629776		
27.711208	2.314059			27.711208	0.629849		
27.692709	2.313895			27.692709	0.629923		
27.674235	2.313855			27.674235	0.629998		
27.655786	2.313933			27.655786	0.630073		
27.637361	2.313966			27.637361	0.630149		
27.61896	2.313875			27.61896	0.630227		
27.600584	2.31366			27.600584	0.630305		
27.582233	2.313322			27.582233	0.630384		
27.563906	2.312996			27.563906	0.630463		
27.545603	2.312792			27.545603	0.630544		
27.527325	2.31271			27.527325	0.630625		
27.50907	2.312751			27.50907	0.630708		
27.49084	2.312813			27.49084	0.630791		
27.472635	2.312754			27.472635	0.630875		
27.454453	2.312572			27.454453	0.630959		
27.436295	2.312268			27.436295	0.631044		
27.418161	2.311911			27.418161	0.631131		
27.400052	2.311668			27.400052	0.631218		
27.381966	2.311546			27.381966	0.631305		
27.363904	2.311544			27.363904	0.631394		
27.345866	2.311618			27.345866	0.631483		
27.327851	2.31159			27.327851	0.631573		
27.309861	2.31144			27.309861	0.631663		
27.291894	2.31117			27.291894	0.631755		
27.27395	2.310804			27.27395	0.631847		
27.25603	2.310522			27.25603	0.631939		
27.238134	2.310359			27.238134	0.632033		
27.220261	2.310316			27.220261	0.632127		
27.202412	2.310381			27.202412	0.632221		
27.184586	2.310383			27.184586	0.632317		
27.166783	2.310265			27.166783	0.632413		
27.149004	2.310027			27.149004	0.63251		
27.131248	2.309673			27.131248	0.632607		
27.113515	2.309353			27.113515	0.632705		
27.095806	2.309152			27.095806	0.632804		
27.078119	2.309068			27.078119	0.632903		
27.060456	2.309103			27.060456	0.633003		
27.042815	2.309134			27.042815	0.633103		
27.025198	2.309046			27.025198	0.633204		
27.007603	2.308841			27.007603	0.633306		
26.990031	2.308517			26.990031	0.633408		
26.972483	2.308162			26.972483	0.633511		
26.954957	2.307923			26.954957	0.633614		
26.937453	2.3078			26.937453	0.633718		
26.919973	2.307794			26.919973	0.633823		
26.902515	2.307845			26.902515	0.633928		
26.88508	2.307788			26.88508	0.634034		
26.867667	2.307614			26.867667	0.63414		
26.850277	2.307322			26.850277	0.634247		
