Reference:	"Ehrenfreund et al. (1997)"
Sample Type:	"Ice"
Composition:	"CO2 (1)"
Temperature:	"50K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/33"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
548.506	1.37337		0.00678089		
548.747	1.37375		0.00611571		
548.988	1.37429		0.00609558		
549.229	1.37473		0.0069565		
549.47	1.37498		0.00745378		
549.711	1.37517		0.00754375		
549.952	1.37524		0.00829134		
550.193	1.37489		0.00968526		
550.435	1.37413		0.0104158		
550.676	1.37331		0.00966631		
550.917	1.37293		0.00808879		
551.158	1.37309		0.00673929		
551.399	1.37367		0.00583517		
551.64	1.3745		0.00519986		
551.881	1.37544		0.00500569		
552.122	1.3763		0.00551274		
552.363	1.37688		0.0064506		
552.604	1.37713		0.00725178		
552.846	1.37723		0.00771982		
553.087	1.3772		0.00805691		
553.328	1.37711		0.00838841		
553.569	1.37697		0.00855558		
553.81	1.37684		0.00848656		
554.051	1.37677		0.00828673		
554.292	1.37679		0.00805714		
554.533	1.37687		0.00783277		
554.774	1.37702		0.0075649		
555.016	1.37729		0.00723956		
555.257	1.37765		0.00688762		
555.498	1.37816		0.00663539		
555.739	1.37873		0.00670087		
555.98	1.3792		0.00718228		
556.221	1.37947		0.00786838		
556.462	1.37953		0.00840144		
556.703	1.37949		0.00859201		
556.944	1.37945		0.00861983		
557.185	1.3794		0.00869517		
557.427	1.37938		0.008733		
557.668	1.37939		0.00843658		
557.909	1.37966		0.00777795		
558.15	1.38019		0.00737228		
558.391	1.38072		0.00789454		
558.632	1.38088		0.00918326		
558.873	1.38061		0.0100875		
559.114	1.38024		0.00982467		
559.355	1.38014		0.00900217		
559.596	1.38028		0.00882803		
559.838	1.38039		0.00946197		
560.079	1.3802		0.0100264		
560.32	1.37978		0.0102691		
560.561	1.37896		0.010968		
560.802	1.3775		0.0119435		
561.043	1.37573		0.0109242		
561.284	1.3749		0.00607789		
561.525	1.37624		-0.000567124		
561.766	1.37956		-0.00433029		
562.007	1.38317		-0.00283318		
562.249	1.38542		0.00147411		
562.49	1.38609		0.00445034		
562.731	1.38613		0.00479235		
562.972	1.38637		0.00441977		
