Reference:	"Ehrenfreund et al. (1997)"
Sample Type:	"Ice"
Composition:	"CO2 (1)"
Temperature:	"50K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/33"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
548.506	1.37337			548.506	0.00678089		
548.747	1.37375			548.747	0.00611571		
548.988	1.37429			548.988	0.00609558		
549.229	1.37473			549.229	0.0069565		
549.47	1.37498			549.47	0.00745378		
549.711	1.37517			549.711	0.00754375		
549.952	1.37524			549.952	0.00829134		
550.193	1.37489			550.193	0.00968526		
550.435	1.37413			550.435	0.0104158		
550.676	1.37331			550.676	0.00966631		
550.917	1.37293			550.917	0.00808879		
551.158	1.37309			551.158	0.00673929		
551.399	1.37367			551.399	0.00583517		
551.64	1.3745			551.64	0.00519986		
551.881	1.37544			551.881	0.00500569		
552.122	1.3763			552.122	0.00551274		
552.363	1.37688			552.363	0.0064506		
552.604	1.37713			552.604	0.00725178		
552.846	1.37723			552.846	0.00771982		
553.087	1.3772			553.087	0.00805691		
553.328	1.37711			553.328	0.00838841		
553.569	1.37697			553.569	0.00855558		
553.81	1.37684			553.81	0.00848656		
554.051	1.37677			554.051	0.00828673		
554.292	1.37679			554.292	0.00805714		
554.533	1.37687			554.533	0.00783277		
554.774	1.37702			554.774	0.0075649		
555.016	1.37729			555.016	0.00723956		
555.257	1.37765			555.257	0.00688762		
555.498	1.37816			555.498	0.00663539		
555.739	1.37873			555.739	0.00670087		
555.98	1.3792			555.98	0.00718228		
556.221	1.37947			556.221	0.00786838		
556.462	1.37953			556.462	0.00840144		
556.703	1.37949			556.703	0.00859201		
556.944	1.37945			556.944	0.00861983		
557.185	1.3794			557.185	0.00869517		
557.427	1.37938			557.427	0.008733		
557.668	1.37939			557.668	0.00843658		
557.909	1.37966			557.909	0.00777795		
558.15	1.38019			558.15	0.00737228		
558.391	1.38072			558.391	0.00789454		
558.632	1.38088			558.632	0.00918326		
558.873	1.38061			558.873	0.0100875		
559.114	1.38024			559.114	0.00982467		
559.355	1.38014			559.355	0.00900217		
559.596	1.38028			559.596	0.00882803		
559.838	1.38039			559.838	0.00946197		
560.079	1.3802			560.079	0.0100264		
560.32	1.37978			560.32	0.0102691		
560.561	1.37896			560.561	0.010968		
560.802	1.3775			560.802	0.0119435		
561.043	1.37573			561.043	0.0109242		
561.284	1.3749			561.284	0.00607789		
561.525	1.37624			561.525	-0.000567124		
561.766	1.37956			561.766	-0.00433029		
562.007	1.38317			562.007	-0.00283318		
562.249	1.38542			562.249	0.00147411		
562.49	1.38609			562.49	0.00445034		
562.731	1.38613			562.731	0.00479235		
562.972	1.38637			562.972	0.00441977		
563.213	1.38678			563.213	0.00509336		
563.454	1.38696			563.454	0.00640604		
563.695	1.38681			563.695	0.00714996		
563.936	1.38657			563.936	0.00713631		
564.177	1.38645			564.177	0.006909		
564.418	1.38648			564.418	0.00661188		
564.66	1.38676			564.66	0.00607758		
564.901	1.38724			564.901	0.00559979		
565.142	1.38781			565.142	0.00571984		
565.383	1.38823			565.383	0.0063328		
565.624	1.38848			565.624	0.00670614		
565.865	1.38875			565.865	0.00647195		
566.106	1.38922			566.106	0.00611846		
566.347	1.38982			566.347	0.00630767		
566.588	1.3903			566.588	0.00711298		
566.829	1.39047			566.829	0.00809838		
567.071	1.39039			567.071	0.00883537		
567.312	1.39016			567.312	0.00907843		
567.553	1.39002			567.553	0.00889573		
567.794	1.39004			567.794	0.00870871		
568.035	1.39003			568.035	0.00909681		
568.276	1.38967			568.276	0.010087		
568.517	1.38886			568.517	0.0107603		
568.758	1.38792			568.758	0.00999163		
568.999	1.38749			568.999	0.00767058		
569.24	1.38796			569.24	0.00496224		
569.482	1.38929			569.482	0.00316958		
569.723	1.39094			569.723	0.00278885		
569.964	1.39245			569.964	0.00352856		
570.205	1.39348			570.205	0.00487008		
570.446	1.39393			570.446	0.00630309		
570.687	1.39393			570.687	0.00732927		
570.928	1.39369			570.928	0.00769678		
571.169	1.39343			571.169	0.00757822		
571.41	1.39328			571.41	0.00722647		
571.651	1.39333			571.651	0.00659627		
571.893	1.39372			571.893	0.00563748		
572.134	1.39442			572.134	0.00483989		
572.375	1.39524			572.375	0.00492332		
572.616	1.39581			572.616	0.00581936		
572.857	1.39603			572.857	0.00649888		
573.098	1.39616			573.098	0.00620122		
573.339	1.39652			573.339	0.0054437		
573.58	1.39708			573.58	0.00533046		
573.821	1.39749			573.821	0.00606078		
574.062	1.39754			574.062	0.00672046		
574.304	1.39746			574.304	0.00649629		
574.545	1.39753			574.545	0.0054879		
574.786	1.39807			574.786	0.00417379		
575.027	1.39919			575.027	0.00280675		
575.268	1.4009			575.268	0.00178614		
575.509	1.40286			575.509	0.00207708		
575.75	1.40441			575.75	0.00435946		
575.991	1.40492			575.991	0.00778101		
576.232	1.40432			576.232	0.0103337		
576.474	1.40332			576.474	0.0107655		
576.715	1.40256			576.715	0.00979337		
576.956	1.40232			576.956	0.00896395		
577.197	1.40233			577.197	0.00888131		
577.438	1.40233			577.438	0.00895066		
577.679	1.40234			577.679	0.00855836		
577.92	1.40251			577.92	0.00786367		
578.161	1.40291			578.161	0.00726537		
578.402	1.40348			578.402	0.00687443		
578.643	1.40415			578.643	0.00665977		
578.885	1.40486			578.885	0.0067597		
579.126	1.40541			579.126	0.00723196		
579.367	1.40581			579.367	0.00774489		
579.608	1.4061			579.608	0.00791925		
579.849	1.40643			579.849	0.00790272		
580.09	1.40675			580.09	0.00820111		
580.331	1.40688			580.331	0.00893306		
580.572	1.40675			580.572	0.00954586		
580.813	1.40648			580.813	0.00949897		
581.054	1.40633			581.054	0.00881914		
581.296	1.40651			581.296	0.00797547		
581.537	1.40689			581.537	0.00740641		
581.778	1.40738			581.778	0.00717763		
582.019	1.40785			582.019	0.00715369		
582.26	1.40825			582.26	0.00711187		
582.501	1.40865			582.501	0.00687471		
582.742	1.40914			582.742	0.00649522		
582.983	1.4097			582.983	0.00627973		
583.224	1.41024			583.224	0.00642951		
583.465	1.41064			583.465	0.00668015		
583.707	1.41102			583.707	0.00652166		
583.948	1.41154			583.948	0.00587742		
584.189	1.41233			584.189	0.00537309		
584.43	1.41316			584.43	0.00568912		
584.671	1.41371			584.671	0.0067132		
584.912	1.41385			584.912	0.00756485		
585.153	1.41382			585.153	0.00751043		
585.394	1.41397			585.394	0.00672526		
585.635	1.41446			585.635	0.00599029		
585.876	1.41512			585.876	0.00581244		
586.118	1.41578			586.118	0.00605987		
586.359	1.41625			586.359	0.00636243		
586.6	1.41661			586.6	0.006499		
586.841	1.41696			586.841	0.00635733		
587.082	1.41746			587.082	0.00588875		
587.323	1.41819			587.323	0.00536129		
587.564	1.41907			587.564	0.00535894		
587.805	1.41982			587.805	0.00616005		
588.046	1.42019			588.046	0.00729669		
588.287	1.42014			588.287	0.00810923		
588.529	1.41981			588.529	0.00852961		
