Reference:	"Ehrenfreund et al. (1997)"
Sample Type:	"Ice"
Composition:	"CO (1)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/34"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
2001.62	1.3355			2001.62	0.01358		
2001.81791	1.33559			2001.81791	0.01363		
2002.01582	1.33568			2002.01582	0.01367		
2002.21372	1.33569			2002.21372	0.01373		
2002.41163	1.33564			2002.41163	0.01381		
2002.60954	1.3356			2002.60954	0.01388		
2002.80745	1.33559			2002.80745	0.0139		
2003.00536	1.33557			2003.00536	0.01392		
2003.20326	1.33553			2003.20326	0.0139		
2003.40117	1.33547			2003.40117	0.01388		
2003.59908	1.33545			2003.59908	0.01385		
2003.79699	1.33554			2003.79699	0.01383		
2003.99489	1.33562			2003.99489	0.0138		
2004.1928	1.33561			2004.1928	0.0138		
2004.39071	1.33558			2004.39071	0.01381		
2004.58862	1.33557			2004.58862	0.01381		
2004.78653	1.33559			2004.78653	0.01383		
2004.98443	1.33561			2004.98443	0.01384		
2005.18234	1.33562			2005.18234	0.01385		
2005.38025	1.33563			2005.38025	0.01387		
2005.57816	1.33562			2005.57816	0.01388		
2005.77607	1.33559			2005.77607	0.01389		
2005.97397	1.33557			2005.97397	0.0139		
2006.17188	1.33566			2006.17188	0.01392		
2006.36979	1.33575			2006.36979	0.01394		
2006.5677	1.33577			2006.5677	0.01396		
2006.76561	1.33572			2006.76561	0.01399		
2006.96351	1.33569			2006.96351	0.01402		
2007.16142	1.3357			2007.16142	0.01403		
2007.35933	1.33571			2007.35933	0.01404		
2007.55724	1.33572			2007.55724	0.01403		
2007.75515	1.33572			2007.75515	0.01402		
2007.95305	1.33572			2007.95305	0.01402		
2008.15096	1.33568			2008.15096	0.01406		
2008.34887	1.33563			2008.34887	0.01409		
2008.54678	1.33571			2008.54678	0.0141		
2008.74468	1.3358			2008.74468	0.0141		
2008.94259	1.33584			2008.94259	0.01408		
2009.1405	1.3358			2009.1405	0.01404		
2009.33841	1.33577			2009.33841	0.014		
2009.53632	1.3358			2009.53632	0.01402		
2009.73422	1.33584			2009.73422	0.01404		
2009.93213	1.33584			2009.93213	0.01406		
2010.13004	1.33582			2010.13004	0.01406		
2010.32795	1.33581			2010.32795	0.01408		
2010.52586	1.33591			2010.52586	0.01415		
2010.72376	1.336			2010.72376	0.01422		
2010.92167	1.336			2010.92167	0.01426		
2011.11958	1.33595			2011.11958	0.01429		
2011.31749	1.33591			2011.31749	0.0143		
2011.5154	1.33593			2011.5154	0.01422		
2011.7133	1.33594			2011.7133	0.01413		
2011.91121	1.33597			2011.91121	0.01412		
2012.10912	1.336			2012.10912	0.01413		
2012.30703	1.33601			2012.30703	0.01415		
2012.50493	1.336			2012.50493	0.0142		
2012.70284	1.33598			2012.70284	0.01426		
2012.90075	1.33609			2012.90075	0.01426		
2013.09866	1.33619			2013.09866	0.01426		
2013.29657	1.33624			2013.29657	0.01427		
2013.49447	1.33621			2013.49447	0.01431		
2013.69238	1.33618			2013.69238	0.01434		
2013.89029	1.3362			2013.89029	0.01438		
2014.0882	1.33622			2014.0882	0.01441		
2014.28611	1.3362			2014.28611	0.01444		
2014.48401	1.33616			2014.48401	0.01448		
2014.68192	1.33614			2014.68192	0.01451		
2014.87983	1.33623			2014.87983	0.01454		
2015.07774	1.33632			2015.07774	0.01457		
2015.27565	1.3363			2015.27565	0.01457		
2015.47355	1.33625			2015.47355	0.01455		
2015.67146	1.33621			2015.67146	0.01454		
2015.86937	1.33623			2015.86937	0.01454		
2016.06728	1.33624			2016.06728	0.01454		
2016.26519	1.33626			2016.26519	0.01452		
2016.46309	1.33629			2016.46309	0.01449		
2016.661	1.33629			2016.661	0.01448		
2016.85891	1.33626			2016.85891	0.01449		
2017.05682	1.33624			2017.05682	0.0145		
2017.25472	1.33635			2017.25472	0.01453		
2017.45263	1.33646			2017.45263	0.01456		
2017.65054	1.3365			2017.65054	0.01455		
2017.84845	1.33647			2017.84845	0.01453		
2018.04636	1.33645			2018.04636	0.01451		
2018.24426	1.33648			2018.24426	0.01455		
2018.44217	1.33651			2018.44217	0.01459		
2018.64008	1.3365			2018.64008	0.01462		
2018.83799	1.33647			2018.83799	0.01464		
2019.0359	1.33648			2019.0359	0.01464		
2019.2338	1.3366			2019.2338	0.01459		
2019.43171	1.33672			2019.43171	0.01454		
2019.62962	1.33673			2019.62962	0.01458		
2019.82753	1.33671			2019.82753	0.01464		
2020.02544	1.33671			2020.02544	0.01469		
2020.22334	1.33673			2020.22334	0.01473		
2020.42125	1.33675			2020.42125	0.01477		
