Reference:	"Ehrenfreund et al. (1997)"
Sample Type:	"Ice"
Composition:	"CO (1)"
Temperature:	"30K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/35"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2002.11	1.32873		0.00281		
2002.30597	1.32879		0.00262		
2002.50193	1.32884		0.00243		
2002.6979	1.32894		0.00226		
2002.89386	1.32907		0.00212		
2003.08983	1.32921		0.002		
2003.2858	1.32936		0.002		
2003.48176	1.32951		0.00201		
2003.67773	1.32965		0.00213		
2003.87369	1.3298		0.00231		
2004.06966	1.32993		0.00249		
2004.26563	1.32999		0.00265		
2004.46159	1.33005		0.00282		
2004.65756	1.33008		0.00289		
2004.85352	1.3301		0.00293		
2005.04949	1.3301		0.00306		
2005.24546	1.33004		0.00341		
2005.44142	1.32999		0.00377		
2005.63739	1.32993		0.00367		
2005.83335	1.32986		0.00345		
2006.02932	1.32985		0.00316		
2006.22529	1.32992		0.00273		
2006.42125	1.33		0.00229		
2006.61722	1.33008		0.0025		
2006.81318	1.33016		0.00282		
2007.00915	1.33023		0.00301		
2007.20512	1.3303		0.003		
2007.40108	1.33036		0.00298		
2007.59705	1.33046		0.00268		
2007.79301	1.33056		0.00237		
2007.98898	1.33069		0.00225		
2008.18494	1.33085		0.00233		
2008.38091	1.33101		0.00241		
2008.57688	1.33121		0.00243		
2008.77284	1.33141		0.00244		
2008.96881	1.33158		0.00253		
2009.16477	1.33173		0.00268		
2009.36074	1.33187		0.00286		
2009.55671	1.33194		0.00325		
2009.75267	1.33201		0.00364		
2009.94864	1.33202		0.00388		
2010.1446	1.332		0.00405		
2010.34057	1.33198		0.00419		
2010.53654	1.33197		0.00423		
2010.7325	1.33195		0.00427		
2010.92847	1.3319		0.0044		
2011.12443	1.33183		0.00455		
2011.3204	1.33176		0.00469		
2011.51637	1.33168		0.00478		
2011.71233	1.3316		0.00487		
2011.9083	1.33155		0.00476		
2012.10426	1.33149		0.0046		
2012.30023	1.33146		0.00446		
2012.4962	1.33147		0.00433		
2012.69216	1.33147		0.0042		
2012.88813	1.33157		0.00408		
2013.08409	1.33168		0.00396		
2013.28006	1.33178		0.00389		
2013.47603	1.33189		0.00386		
2013.67199	1.332		0.00384		
2013.86796	1.33209		0.00401		
2014.06392	1.33219		0.00419		
2014.25989	1.33226		0.00434		
2014.45586	1.33231		0.00445		
2014.65182	1.33236		0.00455		
2014.84779	1.33244		0.00451		
2015.04375	1.33252		0.00447		
2015.23972	1.33256		0.00461		
2015.43569	1.33255		0.00489		
2015.63165	1.33254		0.00516		
2015.82762	1.33248		0.00542		
2016.02358	1.33242		0.00567		
2016.21955	1.33236		0.00561		
2016.41552	1.3323		0.00538		
2016.61148	1.33224		0.0052		
2016.80745	1.33221		0.0052		
2017.00341	1.33218		0.0052		
2017.19938	1.33219		0.00525		
2017.39535	1.33222		0.00532		
2017.59131	1.33224		0.00532		
2017.78728	1.33224		0.00517		
2017.98324	1.33224		0.00501		
2018.17921	1.33226		0.00502		
2018.37518	1.33229		0.00506		
2018.57114	1.33231		0.00514		
2018.76711	1.3323		0.00526		
2018.96307	1.33229		0.00539		
2019.15904	1.33236		0.00517		
2019.35501	1.33243		0.00492		
2019.55097	1.3325		0.00472		
2019.74694	1.33259		0.0046		
2019.9429	1.33267		0.00448		
2020.13887	1.33272		0.00485		
2020.33483	1.33277		0.00524		
2020.5308	1.33278		0.00546		
2020.72677	1.33275		0.00552		
2020.92273	1.33273		0.00554		
2021.1187	1.33273		0.00519		
2021.31466	1.33272		0.00483		
2021.51063	1.33279		0.00472		
2021.7066	1.33289		0.00475		
2021.90256	1.333		0.00478		
2022.09853	1.33309		0.00477		
2022.29449	1.33318		0.00476		
2022.49046	1.33332		0.00461		
2022.68643	1.33348		0.0044		
2022.88239	1.33364		0.00425		
2023.07836	1.33383		0.0043		
2023.27432	1.33403		0.00435		
2023.47029	1.3342		0.00459		
2023.66626	1.33437		0.00488		
2023.86222	1.33449		0.00525		
2024.05819	1.33445		0.00587		
2024.25415	1.33441		0.00648		
2024.45012	1.33429		0.00662		
2024.64609	1.33416		0.00664		
2024.84205	1.33406		0.00653		
2025.03802	1.334		0.00619		
2025.23398	1.33394		0.00584		
2025.42995	1.33398		0.00575		
2025.62592	1.33403		0.00567		
2025.82188	1.33412		0.00562		
2026.01785	1.33427		0.00558		
2026.21381	1.33443		0.00555		
2026.40978	1.3345		0.00574		
2026.60575	1.33457		0.00593		
2026.80171	1.33461		0.00618		
2026.99768	1.33462		0.00649		
