Reference:	"Ehrenfreund et al. (1997)"
Sample Type:	"Ice"
Composition:	"CO:CO2 (100:70)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/36"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
498.598	1.32381		0.00286676		
498.839	1.32298		0.000810706		
499.08	1.3232		-0.00324622		
499.321	1.32497		-0.00735859		
499.562	1.32784		-0.00892051		
499.803	1.33061		-0.00711871		
500.044	1.33228		-0.00357246		
500.285	1.33264		-0.000492615		
500.527	1.33212		0.00130481		
500.768	1.33121		0.0022496		
501.009	1.33018		0.00258296		
501.25	1.32934		0.00191946		
501.491	1.32902		0.000318797		
501.732	1.32933		-0.00111229		
501.973	1.32996		-0.00136729		
502.214	1.3305		-0.000845153		
502.455	1.33092		-0.000799726		
502.696	1.33156		-0.00151587		
502.938	1.33254		-0.00182165		
503.179	1.3335		-0.000571373		
503.42	1.33384		0.00190483		
503.661	1.3333		0.00429069		
503.902	1.33204		0.00570427		
504.143	1.33042		0.00606278		
504.384	1.32885		0.00527811		
504.625	1.32787		0.0029657		
504.866	1.32808		-0.000625946		
505.107	1.3297		-0.00383736		
505.349	1.33216		-0.00458191		
505.59	1.33434		-0.00225582		
505.831	1.33531		0.00164268		
506.072	1.33496		0.00486315		
506.313	1.33387		0.00630445		
506.554	1.33268		0.0065619		
506.795	1.33157		0.00682819		
507.036	1.33034		0.00748892		
507.277	1.32885		0.00783696		
507.518	1.32731		0.00692041		
507.76	1.32629		0.00455031		
508.001	1.32617		0.00151784		
508.242	1.32705		-0.00104495		
508.483	1.32857		-0.00235309		
508.724	1.3302		-0.00216351		
508.965	1.33139		-0.000722324		
509.206	1.33184		0.00119026		
509.447	1.33164		0.00249483		
509.688	1.33125		0.00253933		
509.93	1.33112		0.00181865		
510.171	1.33127		0.00163369		
510.412	1.33127		0.00269337		
510.653	1.33068		0.0041711		
510.894	1.3296		0.00451866		
511.135	1.32866		0.00303268		
511.376	1.32846		0.000449081		
511.617	1.32924		-0.00193553		
511.858	1.33078		-0.00329916		
512.099	1.33263		-0.00332647		
512.341	1.33422		-0.00188114		
512.582	1.33504		0.000798307		
512.823	1.33482		0.00369594		
513.064	1.33376		0.00544925		
513.305	1.33249		0.00542936		
513.546	1.33161		0.00426966		
513.787	1.33129		0.00314007		
514.028	1.33134		0.00271669		
514.269	1.33142		0.00289985		
514.51	1.3313		0.00328788		
514.752	1.33096		0.00359055		
514.993	1.33042		0.00361514		
515.234	1.32985		0.0031172		
515.475	1.32953		0.0018274		
515.716	1.32982		-0.000212127		
515.957	1.33092		-0.00224641		
516.198	1.33261		-0.00299951		
516.439	1.33419		-0.0016753		
516.68	1.33494		0.00111515		
516.921	1.33462		0.00367331		
517.163	1.33366		0.00464528		
517.404	1.3327		0.00407665		
517.645	1.3322		0.00295457		
517.886	1.33214		0.00217336		
518.127	1.33222		0.00212652		
518.368	1.33205		0.002697		
518.609	1.33153		0.00300033		
518.85	1.33113		0.00163591		
519.091	1.33173		-0.00173742		
519.332	1.33385		-0.00497695		
519.574	1.33678		-0.00484342		
519.815	1.33892		-0.000362068		
520.056	1.33897		0.00582378		
520.297	1.33699		0.00994448		
520.538	1.33419		0.0104155		
520.779	1.33181		0.00842525		
