Reference:	"Ehrenfreund et al. (1997)"
Sample Type:	"Ice"
Composition:	"H2O:CO2 (100:14)"
Temperature:	"10K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/37"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
449.413	1.46254		-0.00767		
449.895	1.46327		-0.00411		
450.377	1.463		-0.00169		
450.86	1.46228		-0.00145		
451.342	1.46178		-0.00206		
451.824	1.46157		-0.00224		
452.306	1.4615		-0.00242		
452.788	1.46163		-0.0033		
453.271	1.46205		-0.00424		
453.753	1.46265		-0.00454		
454.235	1.46346		-0.00524		
454.717	1.46511		-0.00769		
455.199	1.46814		-0.01036		
455.682	1.47183		-0.00918		
456.164	1.47421		-0.00237		
456.646	1.47363		0.00638		
457.128	1.47055		0.011		
457.611	1.46724		0.00916		
458.093	1.46562		0.0044		
458.575	1.46576		0.00174		
459.057	1.46638		0.00231		
459.539	1.46656		0.00336		
460.022	1.46652		0.00261		
460.504	1.46676		0.0011		
460.986	1.4672		0.000813		
461.468	1.46756		0.000907		
461.95	1.46846		-0.00158		
462.433	1.4712		-0.00678		
462.915	1.47602		-0.00967		
463.397	1.48095		-0.00511		
463.879	1.4831		0.00564		
464.361	1.4814		0.01531		
464.844	1.47766		0.01802		
465.326	1.47457		0.01481		
465.808	1.4735		0.01116		
466.29	1.47374		0.01055		
466.772	1.47396		0.01216		
467.255	1.47356		0.01374		
467.737	1.47269		0.01421		
468.219	1.47194		0.01348		
468.701	1.47182		0.01176		
469.183	1.47258		0.00996		
469.666	1.47399		0.00952		
470.148	1.4753		0.01117		
470.63	1.47585		0.01408		
471.112	1.47543		0.01675		
471.594	1.47432		0.01828		
472.077	1.47307		0.01865		
472.559	1.47191		0.01842		
473.041	1.47096		0.01818		
473.523	1.47014		0.01791		
474.005	1.46956		0.017		
474.488	1.4694		0.0157		
474.97	1.46924		0.01578		
475.452	1.46814		0.01816		
475.934	1.46567		0.0198		
476.416	1.46325		0.0157		
476.899	1.46356		0.00537		
477.381	1.46789		-0.0045		
477.863	1.47459		-0.00638		
478.345	1.48028		0.000149		
478.827	1.48283		0.00877		
479.31	1.48274		0.01378		
479.792	1.48176		0.01494		
480.274	1.48105		0.01511		
480.756	1.48072		0.01573		
481.238	1.48054		0.01629		
481.721	1.48053		0.01647		
482.203	1.48062		0.01678		
482.685	1.48075		0.01743		
483.167	1.48082		0.01807		
483.649	1.4808		0.01859		
484.132	1.48075		0.01917		
484.614	1.4806		0.01959		
485.096	1.48058		0.0194		
485.578	1.48085		0.01887		
486.06	1.48138		0.01882		
486.543	1.482		0.01944		
487.025	1.48247		0.02016		
487.507	1.48288		0.02071		
487.989	1.48322		0.02145		
488.471	1.48345		0.0224		
488.954	1.48371		0.02298		
489.436	1.48402		0.0233		
489.918	1.48427		0.0246		
490.4	1.48383		0.02734		
490.883	1.48253		0.0297		
491.365	1.48088		0.02932		
491.847	1.48005		0.02647		
492.329	1.48045		0.02394		
492.811	1.48153		0.02363		
493.294	1.4826		0.02471		
493.776	1.48326		0.02574		
494.258	1.48357		0.02686		
494.74	1.4834		0.02867		
495.222	1.48268		0.03018		
495.705	1.4819		0.03006		
496.187	1.48131		0.02922		
496.669	1.48072		0.0298		
497.151	1.47951		0.03133		
497.633	1.47799		0.03026		
498.116	1.47775		0.02483		
498.598	1.47985		0.01851		
499.08	1.48371		0.01657		
499.562	1.48729		0.02004		
500.044	1.48913		0.02516		
500.527	1.48949		0.02827		
501.009	1.48924		0.02922		
501.491	1.4891		0.02981		
501.973	1.489		0.0309		
502.455	1.48873		0.03197		
502.938	1.48849		0.0323		
503.42	1.48855		0.03162		
503.902	1.4894		0.03035		
504.384	1.49099		0.02997		
504.866	1.49254		0.03221		
505.349	1.49303		0.03701		
505.831	1.49174		0.04171		
506.313	1.48944		0.04339		
506.795	1.4874		0.04182		
507.277	1.48644		0.03929		
507.76	1.48661		0.03786		
508.242	1.48713		0.03777		
508.724	1.48766		0.03832		
509.206	1.48798		0.03911		
509.688	1.48804		0.03997		
510.171	1.48803		0.04064		
510.653	1.48785		0.04117		
511.135	1.48756		0.04195		
511.617	1.48698		0.043		
512.099	1.48612		0.04343		
512.582	1.48554		0.04243		
513.064	1.48553		0.04055		
513.546	1.48627		0.03932		
514.028	1.48723		0.03975		
514.51	1.4878		0.04116		
514.993	1.48805		0.0421		
515.475	1.48815		0.04198		
515.957	1.48855		0.04157		
516.439	1.48921		0.04178		
516.921	1.48999		0.0423		
517.404	1.49118		0.04229		
517.886	1.4927		0.0426		
518.368	1.49401		0.04571		
518.85	1.4936		0.05248		
519.332	1.49047		0.05957		
519.815	1.4857		0.06162		
520.297	1.48145		0.0569		
520.779	1.47985		0.04941		
521.261	1.48075		0.04464		
521.743	1.48251		0.04415		
522.226	1.48396		0.04531		
522.708	1.48476		0.04565		
523.19	1.48548		0.04531		
523.672	1.48623		0.04564		
524.154	1.48674		0.0467		
524.637	1.48707		0.04755		
525.119	1.48719		0.0478		
525.601	1.48741		0.04799		
526.083	1.48761		0.04861		
526.565	1.48763		0.0494		
527.048	1.48763		0.04992		
527.53	1.48752		0.0501		
