Reference:	"Elsila et al. (1997)"
DOI:	"doi:DOI: 10.1086/303906 "
Sample Type:	"Ice"
Composition:	"O2:CO:N2:CO2 (5:1:1:0.5)"
Temperature:	"12K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/38"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
2065.4	1.255			2065.4	0.0003		
2073.1	1.2561			2073.1	0.0007		
2080.9	1.2569			2080.9	0.0007		
2088.6	1.2585			2088.6	0.0017		
2096.3	1.2576			2096.3	0.0029		
2098.7	1.2581			2098.7	0.002		
2101.1	1.2588			2101.1	0.0019		
2103.5	1.2594			2103.5	0.0014		
2105.9	1.2604			2105.9	0.0018		
2108.3	1.2615			2108.3	0.0011		
2110.8	1.2626			2110.8	0.0013		
2113.2	1.2637			2113.2	0.0016		
2115.6	1.2651			2115.6	0.0016		
2116.5	1.2658			2116.5	0.0014		
2117.5	1.2666			2117.5	0.0012		
2118.5	1.2675			2118.5	0.001		
2119.4	1.2682			2119.4	0.0011		
2120.4	1.2696			2120.4	0.0002		
2121.4	1.2707			2121.4	0.0014		
2122.3	1.2716			2122.3	0.001		
2123.3	1.2731			2123.3	0.0011		
2124.3	1.2747			2124.3	0.0002		
2125.2	1.2764			2125.2	0.001		
2126.2	1.2782			2126.2	0.0005		
2127.2	1.2804			2127.2	0.0008		
2128.1	1.2832			2128.1	0		
2129.1	1.2864			2129.1	0.0005		
2130	1.2895			2130	0.0006		
2130.5	1.2919			2130.5	0		
2131	1.2947			2131	0.0001		
2131.5	1.2975			2131.5	0.0008		
2132	1.3005			2132	0.0007		
2132.5	1.3041			2132.5	0.0012		
2132.9	1.3073			2132.9	0.0009		
2133.4	1.3123			2133.4	0.0014		
2133.9	1.3183			2133.9	0.0017		
2134.4	1.3256			2134.4	0.0033		
2134.9	1.3346			2134.9	0.0054		
2135.4	1.3469			2135.4	0.0104		
2135.8	1.3538			2135.8	0.019		
2136.3	1.3653			2136.3	0.0337		
2136.8	1.3724			2136.8	0.0535		
2137.3	1.3742			2137.3	0.0781		
2137.8	1.3707			2137.8	0.1027		
2138.2	1.3578			2138.2	0.1261		
2138.7	1.344			2138.7	0.1436		
2139.2	1.3288			2139.2	0.1568		
2139.7	1.3105			2139.7	0.1658		
2140.2	1.2922			2140.2	0.1714		
2140.7	1.2726			2140.7	0.1754		
2141.1	1.25			2141.1	0.1826		
2141.6	1.237			2141.6	0.1846		
2142.1	1.2192			2142.1	0.1844		
2142.6	1.1956			2142.6	0.1795		
2143.1	1.1721			2143.1	0.1677		
2143.6	1.1566			2143.6	0.1492		
2144	1.1411			2144	0.1277		
2144.5	1.135			2144.5	0.1033		
2145	1.1325			2145	0.0805		
2145.5	1.1345			2145.5	0.0598		
2146	1.1433			2146	0.0428		
2146.4	1.1488			2146.4	0.0301		
2146.9	1.1562			2146.9	0.0211		
2147.4	1.1647			2147.4	0.0144		
2147.9	1.1724			2147.9	0.0105		
2148.4	1.179			2148.4	0.0076		
2148.9	1.1851			2148.9	0.0059		
2149.3	1.1885			2149.3	0.0041		
2149.8	1.1936			2149.8	0.0035		
2150.3	1.1975			2150.3	0.0031		
2150.8	1.2006			2150.8	0.0028		
2151.3	1.2037			2151.3	0.0019		
2151.7	1.2058			2151.7	0.0018		
2152.2	1.2083			2152.2	0.002		
2152.7	1.2101			2152.7	0.002		
2153.2	1.212			2153.2	0.0011		
2153.7	1.214			2153.7	0.0009		
2154.2	1.2156			2154.2	0.0014		
2154.6	1.2166			2154.6	0.0007		
2155.1	1.2183			2155.1	0.0008		
2156.1	1.2209			2156.1	0.0008		
2157.1	1.2231			2157.1	0.0009		
2158	1.2246			2158	0.0009		
2159	1.2261			2159	0.0007		
2159.9	1.2275			2159.9	0.0003		
2160.9	1.2291			2160.9	0.0001		
2161.9	1.2303			2161.9	0.0006		
2162.8	1.2312			2162.8	0.0004		
2163.8	1.2322			2163.8	0.0002		
2164.8	1.2333			2164.8	0.0002		
2165.7	1.234			2165.7	0.0004		
2166.7	1.2352			2166.7	0		
2167.7	1.2357			2167.7	0.0005		
2168.6	1.2362			2168.6	0.0002		
2169.6	1.2371			2169.6	0		
2172	1.2385			2172	0		
2174.4	1.2397			2174.4	0.0004		
2176.8	1.2408			2176.8	0		
2179.2	1.242			2179.2	0.0001		
2181.6	1.2431			2181.6	0		
2184.1	1.2442			2184.1	0		
2186.5	1.2447			2186.5	0		
2188.9	1.246			2188.9	0		
2191.3	1.2467			2191.3	0		
2193.7	1.2475			2193.7	0		
2196.1	1.248			2196.1	0		
2204.3	1.2506			2204.3	0		
2211.5	1.2525			2211.5	0		
2219.7	1.2545			2219.7	0		
2227.9	1.2562			2227.9	0.0002		
