Reference:	"Elsila et al. (1997)"
DOI:	"doi:DOI: 10.1086/303906 "
Sample Type:	"Ice"
Composition:	"H2O:CO (20:1)"
Temperature:	"12K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/39"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2065.4	1.3512		0.0065		
2073.1	1.3521		0.007		
2080.9	1.3531		0.0077		
2088.6	1.354		0.0087		
2096.3	1.3547		0.0088		
2098.7	1.3553		0.0089		
2101.1	1.3556		0.0091		
2103.5	1.3563		0.009		
2105.9	1.3567		0.0095		
2108.3	1.3575		0.0094		
2110.8	1.3582		0.0097		
2113.2	1.3589		0.0098		
2115.6	1.36		0.0099		
2116.5	1.3604		0.0101		
2117.5	1.3609		0.01		
2118.5	1.3614		0.0102		
2119.4	1.3621		0.0102		
2120.4	1.3628		0.0104		
2121.4	1.3636		0.0104		
2122.3	1.3646		0.0105		
2123.3	1.3657		0.0107		
2124.3	1.367		0.0107		
2125.2	1.3685		0.0109		
2126.2	1.3707		0.0113		
2127.2	1.3734		0.012		
2128.1	1.376		0.0134		
2129.1	1.3797		0.0158		
2130	1.3834		0.0197		
2130.5	1.386		0.0223		
2131	1.3861		0.0255		
2131.5	1.3878		0.0293		
2132	1.3884		0.0336		
2132.5	1.3883		0.0385		
2132.9	1.3877		0.0434		
2133.4	1.3865		0.0486		
2133.9	1.3838		0.0535		
2134.4	1.3802		0.058		
2134.9	1.376		0.0621		
2135.4	1.3708		0.0656		
2135.8	1.3674		0.068		
2136.3	1.3592		0.0695		
2136.8	1.3553		0.0697		
2137.3	1.3492		0.0691		
2137.8	1.3434		0.0672		
2138.2	1.3399		0.0644		
2138.7	1.3343		0.061		
2139.2	1.3326		0.0574		
2139.7	1.3299		0.0533		
2140.2	1.3281		0.0493		
2140.7	1.3268		0.0455		
2141.1	1.3263		0.0419		
2141.6	1.3264		0.0383		
2142.1	1.3272		0.0353		
2142.6	1.3279		0.0327		
2143.1	1.3289		0.0304		
2143.6	1.3299		0.0286		
2144	1.3316		0.0271		
2144.5	1.3319		0.026		
2145	1.3336		0.0252		
2145.5	1.3347		0.0246		
2146	1.3357		0.0243		
2146.4	1.3371		0.0242		
2146.9	1.337		0.0241		
2147.4	1.3381		0.0243		
2147.9	1.3386		0.0246		
2148.4	1.3389		0.0248		
2148.9	1.339		0.025		
2149.3	1.3392		0.0253		
2149.8	1.3392		0.0253		
2150.3	1.3393		0.0255		
2150.8	1.3391		0.0257		
2151.3	1.3389		0.026		
2151.7	1.3388		0.0262		
2152.2	1.338		0.0262		
2152.7	1.3378		0.0262		
2153.2	1.3372		0.0261		
2153.7	1.3366		0.0257		
2154.2	1.3361		0.0252		
2154.6	1.3359		0.0248		
2155.1	1.3354		0.0242		
2156.1	1.335		0.023		
2157.1	1.3347		0.0216		
2158	1.3346		0.0201		
2159	1.3352		0.0187		
2159.9	1.3357		0.0177		
2160.9	1.3364		0.0165		
2161.9	1.3373		0.0158		
2162.8	1.3383		0.0152		
2163.8	1.339		0.015		
2164.8	1.3397		0.0148		
2165.7	1.3403		0.0145		
2166.7	1.341		0.0147		
2167.7	1.3414		0.0148		
2168.6	1.3418		0.0146		
2169.6	1.3423		0.0147		
2172	1.3428		0.0147		
2174.4	1.3433		0.0149		
2176.8	1.3437		0.0149		
2179.2	1.344		0.0152		
2181.6	1.3441		0.0152		
2184.1	1.3443		0.0155		
2186.5	1.3443		0.0153		
2188.9	1.3445		0.0156		
2191.3	1.3446		0.0152		
2193.7	1.3449		0.0156		
2196.1	1.3447		0.0155		
2204.3	1.3449		0.0154		
2211.5	1.3448		0.0152		
2219.7	1.3446		0.0151		
2227.9	1.3448		0.0148		
