Reference:	"Baratta et al. (2015)"
DOI:	"doi:http://dx.doi.org/10.1016/j.pss.2015.08.011"
Sample Type:	"Ice Tholin"
Composition:	"CH4:CO:N2 (1:1:1)"
Temperature:	"300K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/3"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
500	1.77783		0.2499		
508.4	1.76546		0.24433		
516.7	1.76078		0.24376		
525.1	1.75613		0.24286		
533.4	1.75137		0.23414		
541.8	1.75337		0.22827		
550.1	1.74661		0.22899		
558.5	1.74214		0.22443		
566.8	1.74559		0.2222		
575.2	1.74408		0.22199		
583.5	1.73751		0.21305		
591.9	1.73915		0.21801		
600.2	1.73762		0.21407		
608.6	1.73414		0.21724		
616.9	1.73143		0.21144		
625.3	1.72609		0.21044		
633.6	1.72407		0.21023		
642	1.72429		0.20842		
650.3	1.7205		0.20853		
658.7	1.71312		0.20646		
667	1.71267		0.20217		
675.4	1.71111		0.20018		
683.7	1.70898		0.1992		
692.1	1.70548		0.19936		
700.4	1.70299		0.19346		
708.8	1.70337		0.19082		
717.1	1.70206		0.18828		
725.5	1.69918		0.18752		
733.8	1.69854		0.18516		
742.2	1.69925		0.1863		
750.5	1.69348		0.18468		
758.9	1.69164		0.18346		
767.2	1.6862		0.1819		
775.6	1.6821		0.17857		
783.9	1.67881		0.17414		
792.3	1.67846		0.1668		
800.6	1.67811		0.16208		
809	1.67814		0.15723		
817.3	1.67827		0.15379		
825.7	1.67959		0.15024		
834	1.68077		0.14751		
842.4	1.68178		0.14363		
850.7	1.68412		0.14101		
859.1	1.68516		0.13918		
867.4	1.68672		0.13672		
875.8	1.68942		0.13727		
884.1	1.69125		0.13425		
892.5	1.6937		0.13336		
900.8	1.69568		0.13238		
909.2	1.69708		0.1331		
917.5	1.69851		0.13322		
925.9	1.70005		0.13356		
934.2	1.70113		0.13393		
942.6	1.70264		0.13512		
950.9	1.70314		0.13604		
959.3	1.70262		0.13747		
967.6	1.70088		0.13845		
976	1.69976		0.13728		
984.3	1.70013		0.13573		
992.7	1.70155		0.13409		
1001.1	1.70365		0.13348		
1009.4	1.70555		0.13442		
1017.8	1.70592		0.13669		
1026.1	1.70586		0.13821		
1034.5	1.70636		0.13922		
1042.8	1.70562		0.13974		
1051.2	1.70602		0.14029		
1059.5	1.70581		0.14024		
1067.9	1.70609		0.1416		
1076.2	1.7055		0.14306		
1084.6	1.70436		0.14352		
1092.9	1.70498		0.14382		
1101.3	1.70473		0.14472		
1109.6	1.70472		0.14526		
1118	1.70421		0.14587		
1126.3	1.70384		0.14677		
1134.7	1.70361		0.1473		
1143	1.70432		0.14844		
1151.4	1.70428		0.14971		
1159.7	1.70388		0.15073		
1168.1	1.70364		0.15191		
