Reference:	"Elsila et al. (1997)"
DOI:	"doi:DOI: 10.1086/303906 "
Sample Type:	"Ice"
Composition:	"CO2:CO:N2 (5:1:1)"
Temperature:	"12K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/40"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2065.4	1.2917		0.0001		
2073.1	1.2931		0.0001		
2080.9	1.2962		0.0006		
2088.6	1.2997		0.0003		
2096.3	1.3019		0.0027		
2098.7	1.3013		0.0024		
2101.1	1.3043		0.0002		
2103.5	1.3061		0		
2105.9	1.3075		0.0009		
2108.3	1.3101		0.0007		
2110.8	1.3114		0.0002		
2113.2	1.3138		0.001		
2115.6	1.3153		0.0015		
2116.5	1.3171		0.0017		
2117.5	1.3176		0.0018		
2118.5	1.3186		0.0015		
2119.4	1.3186		0.0007		
2120.4	1.3222		0		
2121.4	1.3234		0.0005		
2122.3	1.3253		0.0013		
2123.3	1.3259		0.0014		
2124.3	1.3279		0		
2125.2	1.3311		0.0004		
2126.2	1.3341		0.002		
2127.2	1.3344		0.0038		
2128.1	1.3371		0		
2129.1	1.3419		0.0024		
2130	1.3449		0.0018		
2130.5	1.3475		0.0028		
2131	1.3494		0.0043		
2131.5	1.3516		0.0036		
2132	1.3554		0.0028		
2132.5	1.3586		0.0047		
2132.9	1.3624		0.0088		
2133.4	1.3658		0.011		
2133.9	1.3692		0.0137		
2134.4	1.3729		0.017		
2134.9	1.3767		0.0215		
2135.4	1.3828		0.0269		
2135.8	1.3831		0.0319		
2136.3	1.387		0.0385		
2136.8	1.3893		0.0485		
2137.3	1.3901		0.0579		
2137.8	1.3913		0.0683		
2138.2	1.3874		0.0787		
2138.7	1.3857		0.0892		
2139.2	1.3806		0.0985		
2139.7	1.3751		0.1078		
2140.2	1.368		0.1174		
2140.7	1.3637		0.1264		
2141.1	1.349		0.1345		
2141.6	1.3411		0.1398		
2142.1	1.3287		0.1427		
2142.6	1.3163		0.1451		
2143.1	1.3027		0.1454		
2143.6	1.2978		0.1418		
2144	1.2753		0.1384		
2144.5	1.2713		0.1299		
2145	1.2619		0.1222		
2145.5	1.2535		0.1136		
2146	1.2497		0.1046		
2146.4	1.2419		0.0939		
2146.9	1.2396		0.0838		
2147.4	1.2369		0.0722		
2147.9	1.237		0.0603		
2148.4	1.2377		0.0526		
2148.9	1.2393		0.0432		
2149.3	1.2401		0.0365		
2149.8	1.2441		0.0299		
2150.3	1.2472		0.0228		
2150.8	1.2511		0.017		
2151.3	1.2565		0.012		
2151.7	1.2586		0.0094		
2152.2	1.2637		0.0075		
2152.7	1.2675		0.0057		
2153.2	1.2707		0.0051		
2153.7	1.2735		0.0035		
2154.2	1.2765		0.0023		
2154.6	1.2786		0.001		
2155.1	1.2818		0.0009		
2156.1	1.2861		0.001		
2157.1	1.29		0.0015		
2158	1.2915		0.0012		
2159	1.2959		0		
2159.9	1.2985		0.0019		
2160.9	1.2996		0		
2161.9	1.3019		0.0005		
2162.8	1.305		0		
2163.8	1.3063		0.0008		
2164.8	1.3074		0.001		
2165.7	1.3083		0		
2166.7	1.3113		0.0009		
2167.7	1.3124		0.0008		
2168.6	1.3127		0.0021		
2169.6	1.314		0		
2172	1.3177		0.0007		
2174.4	1.3221		0		
2176.8	1.3232		0		
2179.2	1.3254		0.0018		
2181.6	1.33		0.0008		
2184.1	1.3326		0.0008		
2186.5	1.3331		0.0021		
2188.9	1.336		0.0012		
2191.3	1.3396		0.0008		
2193.7	1.3412		0		
2196.1	1.344		0		
2204.3	1.3525		0.0018		
2211.5	1.3592		0.0002		
2219.7	1.3692		0		
2227.9	1.3778		0.0004		
