Reference:	"Elsila et al. (1997)"
DOI:	"doi:DOI: 10.1086/303906 "
Sample Type:	"Ice"
Composition:	"O2:CO:N2 (5:1:1)"
Temperature:	"12K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/42"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2065.4	1.2578		0.0005		
2073.1	1.2585		0.0005		
2080.9	1.2599		0.0006		
2088.6	1.2622		0.0019		
2096.3	1.2607		0.0009		
2098.7	1.2618		0.0008		
2101.1	1.263		0.0008		
2103.5	1.2639		0.0007		
2105.9	1.2649		0.0009		
2108.3	1.2662		0.0007		
2110.8	1.2677		0.0008		
2113.2	1.2693		0.0009		
2115.6	1.2712		0.0007		
2116.5	1.2721		0.0006		
2117.5	1.2732		0.0007		
2118.5	1.2743		0.0007		
2119.4	1.2753		0.0007		
2120.4	1.2768		0.0007		
2121.4	1.2783		0.0008		
2122.3	1.2798		0.0008		
2123.3	1.2816		0.0008		
2124.3	1.2838		0.0006		
2125.2	1.2862		0.0005		
2126.2	1.2891		0.0008		
2127.2	1.2924		0.0008		
2128.1	1.296		0.0006		
2129.1	1.3009		0.0006		
2130	1.3063		0.0005		
2130.5	1.3099		0.0006		
2131	1.3139		0.0005		
2131.5	1.3186		0.0004		
2132	1.3242		0.0002		
2132.5	1.3309		0.0002		
2132.9	1.3373		0.0001		
2133.4	1.3472		0.0002		
2133.9	1.3601		0.0006		
2134.4	1.3772		0.0028		
2134.9	1.3996		0.0098		
2135.4	1.4308		0.0273		
2135.8	1.4425		0.0632		
2136.3	1.4565		0.1159		
2136.8	1.4485		0.1737		
2137.3	1.4252		0.2229		
2137.8	1.4018		0.2603		
2138.2	1.3452		0.3011		
2138.7	1.3172		0.3422		
2139.2	1.2451		0.37		
2139.7	1.1648		0.3622		
2140.2	1.0922		0.3164		
2140.7	1.0605		0.2488		
2141.1	1.0302		0.1729		
2141.6	1.031		0.1076		
2142.1	1.0495		0.0545		
2142.6	1.0771		0.0209		
2143.1	1.1046		0.0061		
2143.6	1.1266		0.0013		
2144	1.1402		0		
2144.5	1.1534		0		
2145	1.1635		0		
2145.5	1.1714		0.0002		
2146	1.178		0.0004		
2146.4	1.1824		0.0003		
2146.9	1.1872		0.0006		
2147.4	1.1913		0.0007		
2147.9	1.1949		0.0008		
2148.4	1.198		0.0009		
2148.9	1.2009		0.001		
2149.3	1.2028		0.001		
2149.8	1.2052		0.001		
2150.3	1.2073		0.001		
2150.8	1.2092		0.001		
2151.3	1.2111		0.001		
2151.7	1.2122		0.001		
2152.2	1.2138		0.0011		
2152.7	1.2152		0.0012		
2153.2	1.2165		0.0012		
2153.7	1.2176		0.0013		
2154.2	1.2188		0.0012		
2154.6	1.2195		0.0011		
2155.1	1.2206		0.0012		
2156.1	1.2224		0.0013		
2157.1	1.2242		0.0013		
2158	1.2253		0.0014		
2159	1.2266		0.0013		
2159.9	1.2275		0.0015		
2160.9	1.2287		0.0016		
2161.9	1.2296		0.0016		
2162.8	1.2303		0.0016		
2163.8	1.2312		0.0017		
2164.8	1.2319		0.0018		
2165.7	1.2323		0.0016		
2166.7	1.2333		0.0018		
2167.7	1.2339		0.0019		
2168.6	1.2342		0.0018		
2169.6	1.2348		0.0017		
2172	1.2358		0.0019		
2174.4	1.2367		0.002		
2176.8	1.2375		0.0019		
2179.2	1.2379		0.0022		
2181.6	1.2385		0.0021		
2184.1	1.2394		0.0019		
2186.5	1.2395		0.002		
2188.9	1.24		0.002		
2191.3	1.2404		0.002		
2193.7	1.2407		0.0019		
2196.1	1.2409		0.002		
2204.3	1.2417		0.0017		
2211.5	1.2422		0.0015		
2219.7	1.2425		0.0013		
2227.9	1.243		0.0009		
