Reference:	"Elsila et al. (1997)"
DOI:	"doi:DOI: 10.1086/303906 "
Sample Type:	"Ice"
Composition:	"CO (1)"
Temperature:	"12K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/43"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2057.7	1.3371		0.001		
2065.5	1.3395		0.0017		
2073.2	1.3457		0.003		
2080.9	1.3538		0.003		
2088.6	1.3614		0.0111		
2096.3	1.3525		0.0038		
2098.7	1.3594		0.0025		
2101.1	1.3651		0.0035		
2103.6	1.371		0.0028		
2106	1.3766		0.0024		
2108.4	1.3829		0.0019		
2110.8	1.3883		0.0023		
2113.2	1.3956		0.0024		
2115.6	1.4061		0.0015		
2116.6	1.4105		0.0008		
2117.5	1.4154		0.0003		
2118.5	1.421		0		
2119.5	1.4289		0		
2120.4	1.4346		0.0017		
2121.4	1.4404		0.0008		
2122.4	1.4491		0		
2123.3	1.4582		0		
2124.3	1.4687		0.0002		
2125.2	1.4795		0		
2126.2	1.4921		0.0005		
2127.2	1.508		0		
2128.1	1.5263		0		
2129.1	1.5485		0		
2130.1	1.5757		0		
2130.6	1.5929		0		
2131	1.6093		0		
2131.5	1.6308		0		
2132	1.6558		0		
2132.5	1.6848		0		
2133	1.7197		0.0013		
2133.4	1.7527		0.0046		
2133.9	1.8025		0.0145		
2134.4	1.8597		0.0354		
2134.9	1.9218		0.0702		
2135.4	1.9869		0.1153		
2135.9	2.085		0.1559		
2136.3	2.1355		0.2202		
2136.8	2.2776		0.3211		
2137.3	2.4159		0.541		
2137.8	2.4569		0.9843		
2138.3	2.4082		1.4714		
2138.7	1.8141		2.0591		
2139.2	1.3942		1.9681		
2139.7	0.9789		1.7307		
2140.2	0.8075		1.4179		
2140.7	0.71		1.1613		
2141.2	0.6186		0.8724		
2141.6	0.5781		0.5796		
2142.1	0.5384		0.6529		
2142.6	0.5228		0.5934		
2143.1	0.5391		0.4825		
2143.6	0.5635		0.3066		
2144.1	0.6203		0.1642		
2144.5	0.6681		0.105		
2145	0.7553		0.0725		
2145.5	0.8156		0.0536		
2146	0.8642		0.0457		
2146.5	0.9056		0.0426		
2146.9	0.9224		0.0405		
2147.4	0.9512		0.035		
2147.9	0.974		0.0294		
2148.4	1.0148		0.0259		
2148.9	1.0133		0.0232		
2149.4	1.0315		0.0216		
2149.8	1.0403		0.0196		
2150.3	1.056		0.0196		
2150.8	1.0676		0.0203		
2151.3	1.0772		0.0203		
2151.8	1.0875		0.0194		
2152.2	1.0909		0.018		
2152.7	1.1007		0.0165		
2153.2	1.108		0.0159		
2153.7	1.1151		0.0141		
2154.2	1.1224		0.0127		
2154.7	1.1302		0.0133		
2155.1	1.1324		0.0133		
2156.1	1.144		0.0119		
2157.1	1.1536		0.0113		
2158	1.1607		0.0102		
2159	1.17		0.0114		
2160	1.1759		0.0122		
2160.9	1.18		0.0102		
2161.9	1.1866		0.0085		
2162.9	1.1939		0.0099		
2163.8	1.1955		0.0112		
2164.8	1.1999		0.0083		
2165.7	1.2044		0.009		
2166.7	1.2074		0.0112		
2167.7	1.2099		0.008		
2168.6	1.2145		0.0077		
2169.6	1.2183		0.0095		
2172	1.2232		0.0094		
2174.4	1.229		0.0094		
2176.8	1.2352		0.0115		
2179.2	1.2363		0.0097		
2181.7	1.2416		0.0116		
2184.1	1.2449		0.0114		
2186.5	1.2461		0.0118		
2188.9	1.2486		0.0131		
2191.3	1.2472		0.012		
2193.7	1.2532		0.0068		
2196.1	1.2563		0.0122		
2204.3	1.2592		0.0151		
2211.5	1.2573		0.0144		
2219.7	1.2587		0.0101		
2227.9	1.2581		0.0072		
2236.1	1.2649		0.0008		
