Reference:	"Elsila et al. (1997)"
DOI:	"doi:DOI: 10.1086/303906 "
Sample Type:	"Ice"
Composition:	"CO (1)"
Temperature:	"12K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/43"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
2057.7	1.3371			2057.7	0.001		
2065.5	1.3395			2065.5	0.0017		
2073.2	1.3457			2073.2	0.003		
2080.9	1.3538			2080.9	0.003		
2088.6	1.3614			2088.6	0.0111		
2096.3	1.3525			2096.3	0.0038		
2098.7	1.3594			2098.7	0.0025		
2101.1	1.3651			2101.1	0.0035		
2103.6	1.371			2103.6	0.0028		
2106	1.3766			2106	0.0024		
2108.4	1.3829			2108.4	0.0019		
2110.8	1.3883			2110.8	0.0023		
2113.2	1.3956			2113.2	0.0024		
2115.6	1.4061			2115.6	0.0015		
2116.6	1.4105			2116.6	0.0008		
2117.5	1.4154			2117.5	0.0003		
2118.5	1.421			2118.5	0		
2119.5	1.4289			2119.5	0		
2120.4	1.4346			2120.4	0.0017		
2121.4	1.4404			2121.4	0.0008		
2122.4	1.4491			2122.4	0		
2123.3	1.4582			2123.3	0		
2124.3	1.4687			2124.3	0.0002		
2125.2	1.4795			2125.2	0		
2126.2	1.4921			2126.2	0.0005		
2127.2	1.508			2127.2	0		
2128.1	1.5263			2128.1	0		
2129.1	1.5485			2129.1	0		
2130.1	1.5757			2130.1	0		
2130.6	1.5929			2130.6	0		
2131	1.6093			2131	0		
2131.5	1.6308			2131.5	0		
2132	1.6558			2132	0		
2132.5	1.6848			2132.5	0		
2133	1.7197			2133	0.0013		
2133.4	1.7527			2133.4	0.0046		
2133.9	1.8025			2133.9	0.0145		
2134.4	1.8597			2134.4	0.0354		
2134.9	1.9218			2134.9	0.0702		
2135.4	1.9869			2135.4	0.1153		
2135.9	2.085			2135.9	0.1559		
2136.3	2.1355			2136.3	0.2202		
2136.8	2.2776			2136.8	0.3211		
2137.3	2.4159			2137.3	0.541		
2137.8	2.4569			2137.8	0.9843		
2138.3	2.4082			2138.3	1.4714		
2138.7	1.8141			2138.7	2.0591		
2139.2	1.3942			2139.2	1.9681		
2139.7	0.9789			2139.7	1.7307		
2140.2	0.8075			2140.2	1.4179		
2140.7	0.71			2140.7	1.1613		
2141.2	0.6186			2141.2	0.8724		
2141.6	0.5781			2141.6	0.5796		
2142.1	0.5384			2142.1	0.6529		
2142.6	0.5228			2142.6	0.5934		
2143.1	0.5391			2143.1	0.4825		
2143.6	0.5635			2143.6	0.3066		
2144.1	0.6203			2144.1	0.1642		
2144.5	0.6681			2144.5	0.105		
2145	0.7553			2145	0.0725		
2145.5	0.8156			2145.5	0.0536		
2146	0.8642			2146	0.0457		
2146.5	0.9056			2146.5	0.0426		
2146.9	0.9224			2146.9	0.0405		
2147.4	0.9512			2147.4	0.035		
2147.9	0.974			2147.9	0.0294		
2148.4	1.0148			2148.4	0.0259		
2148.9	1.0133			2148.9	0.0232		
2149.4	1.0315			2149.4	0.0216		
2149.8	1.0403			2149.8	0.0196		
2150.3	1.056			2150.3	0.0196		
2150.8	1.0676			2150.8	0.0203		
2151.3	1.0772			2151.3	0.0203		
2151.8	1.0875			2151.8	0.0194		
2152.2	1.0909			2152.2	0.018		
2152.7	1.1007			2152.7	0.0165		
2153.2	1.108			2153.2	0.0159		
2153.7	1.1151			2153.7	0.0141		
2154.2	1.1224			2154.2	0.0127		
2154.7	1.1302			2154.7	0.0133		
2155.1	1.1324			2155.1	0.0133		
2156.1	1.144			2156.1	0.0119		
2157.1	1.1536			2157.1	0.0113		
2158	1.1607			2158	0.0102		
2159	1.17			2159	0.0114		
2160	1.1759			2160	0.0122		
2160.9	1.18			2160.9	0.0102		
2161.9	1.1866			2161.9	0.0085		
2162.9	1.1939			2162.9	0.0099		
2163.8	1.1955			2163.8	0.0112		
2164.8	1.1999			2164.8	0.0083		
2165.7	1.2044			2165.7	0.009		
2166.7	1.2074			2166.7	0.0112		
2167.7	1.2099			2167.7	0.008		
2168.6	1.2145			2168.6	0.0077		
2169.6	1.2183			2169.6	0.0095		
2172	1.2232			2172	0.0094		
2174.4	1.229			2174.4	0.0094		
2176.8	1.2352			2176.8	0.0115		
2179.2	1.2363			2179.2	0.0097		
2181.7	1.2416			2181.7	0.0116		
2184.1	1.2449			2184.1	0.0114		
2186.5	1.2461			2186.5	0.0118		
2188.9	1.2486			2188.9	0.0131		
2191.3	1.2472			2191.3	0.012		
2193.7	1.2532			2193.7	0.0068		
2196.1	1.2563			2196.1	0.0122		
2204.3	1.2592			2204.3	0.0151		
2211.5	1.2573			2211.5	0.0144		
2219.7	1.2587			2219.7	0.0101		
2227.9	1.2581			2227.9	0.0072		
2236.1	1.2649			2236.1	0.0008		
