Reference:	"Elsila et al. (1997)"
DOI:	"doi:DOI: 10.1086/303906 "
Sample Type:	"Ice"
Composition:	"N2:CO (2:1)"
Temperature:	"12K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/44"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2057.7	1.2571		0.0007		
2065.5	1.2577		0.0007		
2073.2	1.2585		0.0007		
2080.9	1.2597		0.0009		
2088.6	1.2623		0.0023		
2096.3	1.2604		0.0009		
2098.7	1.2616		0.0009		
2101.1	1.2628		0.0008		
2103.6	1.2638		0.0008		
2106	1.2649		0.0012		
2108.4	1.266		0.001		
2110.8	1.2673		0.0013		
2113.2	1.269		0.0017		
2115.6	1.2706		0.0016		
2116.6	1.2716		0.0014		
2117.5	1.2725		0.0017		
2118.5	1.2735		0.0017		
2119.5	1.2745		0.0019		
2120.4	1.2758		0.0017		
2121.4	1.2772		0.002		
2122.4	1.2786		0.002		
2123.3	1.2802		0.0022		
2124.3	1.2821		0.002		
2125.2	1.2843		0.0025		
2126.2	1.2864		0.0026		
2127.2	1.2894		0.0025		
2128.1	1.2926		0.0026		
2129.1	1.2965		0.0029		
2130.1	1.3013		0.0031		
2130.6	1.304		0.0031		
2131	1.3071		0.0034		
2131.5	1.3106		0.0034		
2132	1.3145		0.0035		
2132.5	1.3191		0.0037		
2133	1.3244		0.004		
2133.4	1.3306		0.0042		
2133.9	1.3384		0.0049		
2134.4	1.3475		0.0056		
2134.9	1.3588		0.0072		
2135.4	1.3727		0.0103		
2135.9	1.39		0.0164		
2136.3	1.4099		0.0254		
2136.8	1.4351		0.0376		
2137.3	1.4705		0.0549		
2137.8	1.519		0.0951		
2138.3	1.5643		0.2098		
2138.7	1.525		0.4303		
2139.2	1.3614		0.6073		
2139.7	1.1538		0.5721		
2140.2	1.0286		0.4149		
2140.7	0.982		0.2683		
2141.2	0.9872		0.169		
2141.6	1.0087		0.1061		
2142.1	1.0328		0.0635		
2142.6	1.0597		0.0306		
2143.1	1.0868		0.0085		
2143.6	1.1116		0.0016		
2144.1	1.1302		0		
2144.5	1.1443		0		
2145	1.1552		0		
2145.5	1.1641		0		
2146	1.1714		0		
2146.5	1.1775		0		
2146.9	1.1827		0		
2147.4	1.1871		0		
2147.9	1.1909		0		
2148.4	1.1944		0		
2148.9	1.1975		0		
2149.4	1.2002		0		
2149.8	1.2025		0		
2150.3	1.2047		0		
2150.8	1.2068		0		
2151.3	1.2088		0		
2151.8	1.2106		0		
2152.2	1.2121		0		
2152.7	1.2135		0		
2153.2	1.2148		0		
2153.7	1.2161		0		
2154.2	1.2173		0		
2154.7	1.2183		0		
2155.1	1.2194		0		
2156.1	1.2213		0		
2157.1	1.2229		0		
2158	1.2244		0.0002		
2159	1.2256		0.0001		
2160	1.2268		0.0002		
2160.9	1.2278		0.0002		
2161.9	1.2289		0.0001		
2162.9	1.23		0.0002		
2163.8	1.2308		0.0004		
2164.8	1.2316		0.0004		
2165.7	1.2322		0.0004		
2166.7	1.2331		0.0005		
2167.7	1.2336		0.0006		
2168.6	1.2341		0.0006		
2169.6	1.2348		0.0004		
2172	1.236		0.0008		
2174.4	1.237		0.001		
2176.8	1.238		0.0008		
2179.2	1.2384		0.0014		
2181.7	1.2392		0.0013		
2184.1	1.2396		0.0014		
2186.5	1.2399		0.0014		
2188.9	1.2405		0.0015		
2191.3	1.241		0.0016		
2193.7	1.2412		0.0016		
2196.1	1.2414		0.0018		
2204.3	1.2421		0.0018		
2211.5	1.2422		0.0014		
2219.7	1.2423		0.0012		
2227.9	1.2428		0		
2236.1	1.2439		0		
