Reference:	"Elsila et al. (1997)"
DOI:	"doi:DOI: 10.1086/303906 "
Sample Type:	"Ice"
Composition:	"O2:CO (20:1)"
Temperature:	"12K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/45"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2057.7	1.2529		0		
2065.5	1.2532		0		
2073.2	1.2536		0		
2080.9	1.2542		0		
2088.6	1.2558		0.0008		
2096.3	1.2549		0		
2098.7	1.2554		0		
2101.1	1.2558		0		
2103.6	1.2563		0		
2106	1.2568		0		
2108.4	1.2574		0		
2110.8	1.258		0.0001		
2113.2	1.2588		0.0001		
2115.6	1.2598		0		
2116.6	1.2603		0		
2117.5	1.2608		0		
2118.5	1.2614		0		
2119.5	1.262		0		
2120.4	1.2627		0		
2121.4	1.2635		0		
2122.4	1.2643		0		
2123.3	1.2653		0		
2124.3	1.2666		0		
2125.2	1.2677		0		
2126.2	1.2694		0		
2127.2	1.2713		0.0001		
2128.1	1.2734		0		
2129.1	1.2763		0.0001		
2130.1	1.2796		0.0002		
2130.6	1.2818		0.0003		
2131	1.2845		0.0002		
2131.5	1.2877		0.0004		
2132	1.2915		0.0004		
2132.5	1.2963		0.0006		
2133	1.3009		0.0007		
2133.4	1.3087		0.0012		
2133.9	1.3195		0.0022		
2134.4	1.3348		0.0059		
2134.9	1.3564		0.0165		
2135.4	1.3887		0.0474		
2135.9	1.3788		0.1197		
2136.3	1.3359		0.2133		
2136.8	1.2594		0.2077		
2137.3	1.23		0.1492		
2137.8	1.2143		0.1276		
2138.3	1.2		0.1168		
2138.7	1.1882		0.1057		
2139.2	1.1771		0.0889		
2139.7	1.1708		0.0694		
2140.2	1.1694		0.05		
2140.7	1.1745		0.0348		
2141.2	1.1785		0.0219		
2141.6	1.1842		0.0122		
2142.1	1.1919		0.006		
2142.6	1.1988		0.0027		
2143.1	1.2048		0.0008		
2143.6	1.2096		0		
2144.1	1.213		0		
2144.5	1.2163		0		
2145	1.2191		0		
2145.5	1.2214		0		
2146	1.2233		0		
2146.5	1.2247		0		
2146.9	1.2262		0		
2147.4	1.2276		0		
2147.9	1.2287		0		
2148.4	1.2298		0		
2148.9	1.2307		0		
2149.4	1.2314		0		
2149.8	1.2322		0		
2150.3	1.233		0		
2150.8	1.2337		0		
2151.3	1.2343		0		
2151.8	1.2347		0		
2152.2	1.2353		0		
2152.7	1.2358		0		
2153.2	1.2363		0		
2153.7	1.2367		0		
2154.2	1.2372		0		
2154.7	1.2375		0.0001		
2155.1	1.2379		0		
2156.1	1.2386		0.0001		
2157.1	1.2392		0.0002		
2158	1.2397		0.0002		
2159	1.2402		0.0002		
2160	1.2405		0.0002		
2160.9	1.241		0.0003		
2161.9	1.2413		0.0003		
2162.9	1.2416		0.0003		
2163.8	1.2419		0.0004		
2164.8	1.2421		0.0003		
2165.7	1.2424		0.0003		
2166.7	1.2426		0.0003		
2167.7	1.2428		0.0003		
2168.6	1.243		0.0003		
2169.6	1.2432		0.0003		
2172	1.2437		0.0002		
2174.4	1.2441		0.0002		
2176.8	1.2444		0.0002		
2179.2	1.2447		0.0002		
2181.7	1.245		0.0001		
2184.1	1.2453		0.0001		
2186.5	1.2454		0		
2188.9	1.2457		0		
2191.3	1.2459		0.0001		
2193.7	1.2461		0.0001		
2196.1	1.2463		0.0001		
2204.3	1.2467		0		
2211.5	1.2471		0		
2219.7	1.2474		0		
2227.9	1.2476		0.0001		
2236.1	1.2478		0.0001		
