Reference:	"Elsila et al. (1997)"
DOI:	"doi:DOI: 10.1086/303906 "
Sample Type:	"Ice"
Composition:	"O2:CO (20:1)"
Temperature:	"12K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/45"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
2057.7	1.2529			2057.7	0		
2065.5	1.2532			2065.5	0		
2073.2	1.2536			2073.2	0		
2080.9	1.2542			2080.9	0		
2088.6	1.2558			2088.6	0.0008		
2096.3	1.2549			2096.3	0		
2098.7	1.2554			2098.7	0		
2101.1	1.2558			2101.1	0		
2103.6	1.2563			2103.6	0		
2106	1.2568			2106	0		
2108.4	1.2574			2108.4	0		
2110.8	1.258			2110.8	0.0001		
2113.2	1.2588			2113.2	0.0001		
2115.6	1.2598			2115.6	0		
2116.6	1.2603			2116.6	0		
2117.5	1.2608			2117.5	0		
2118.5	1.2614			2118.5	0		
2119.5	1.262			2119.5	0		
2120.4	1.2627			2120.4	0		
2121.4	1.2635			2121.4	0		
2122.4	1.2643			2122.4	0		
2123.3	1.2653			2123.3	0		
2124.3	1.2666			2124.3	0		
2125.2	1.2677			2125.2	0		
2126.2	1.2694			2126.2	0		
2127.2	1.2713			2127.2	0.0001		
2128.1	1.2734			2128.1	0		
2129.1	1.2763			2129.1	0.0001		
2130.1	1.2796			2130.1	0.0002		
2130.6	1.2818			2130.6	0.0003		
2131	1.2845			2131	0.0002		
2131.5	1.2877			2131.5	0.0004		
2132	1.2915			2132	0.0004		
2132.5	1.2963			2132.5	0.0006		
2133	1.3009			2133	0.0007		
2133.4	1.3087			2133.4	0.0012		
2133.9	1.3195			2133.9	0.0022		
2134.4	1.3348			2134.4	0.0059		
2134.9	1.3564			2134.9	0.0165		
2135.4	1.3887			2135.4	0.0474		
2135.9	1.3788			2135.9	0.1197		
2136.3	1.3359			2136.3	0.2133		
2136.8	1.2594			2136.8	0.2077		
2137.3	1.23			2137.3	0.1492		
2137.8	1.2143			2137.8	0.1276		
2138.3	1.2			2138.3	0.1168		
2138.7	1.1882			2138.7	0.1057		
2139.2	1.1771			2139.2	0.0889		
2139.7	1.1708			2139.7	0.0694		
2140.2	1.1694			2140.2	0.05		
2140.7	1.1745			2140.7	0.0348		
2141.2	1.1785			2141.2	0.0219		
2141.6	1.1842			2141.6	0.0122		
2142.1	1.1919			2142.1	0.006		
2142.6	1.1988			2142.6	0.0027		
2143.1	1.2048			2143.1	0.0008		
2143.6	1.2096			2143.6	0		
2144.1	1.213			2144.1	0		
2144.5	1.2163			2144.5	0		
2145	1.2191			2145	0		
2145.5	1.2214			2145.5	0		
2146	1.2233			2146	0		
2146.5	1.2247			2146.5	0		
2146.9	1.2262			2146.9	0		
2147.4	1.2276			2147.4	0		
2147.9	1.2287			2147.9	0		
2148.4	1.2298			2148.4	0		
2148.9	1.2307			2148.9	0		
2149.4	1.2314			2149.4	0		
2149.8	1.2322			2149.8	0		
2150.3	1.233			2150.3	0		
2150.8	1.2337			2150.8	0		
2151.3	1.2343			2151.3	0		
2151.8	1.2347			2151.8	0		
2152.2	1.2353			2152.2	0		
2152.7	1.2358			2152.7	0		
2153.2	1.2363			2153.2	0		
2153.7	1.2367			2153.7	0		
2154.2	1.2372			2154.2	0		
2154.7	1.2375			2154.7	0.0001		
2155.1	1.2379			2155.1	0		
2156.1	1.2386			2156.1	0.0001		
2157.1	1.2392			2157.1	0.0002		
2158	1.2397			2158	0.0002		
2159	1.2402			2159	0.0002		
2160	1.2405			2160	0.0002		
2160.9	1.241			2160.9	0.0003		
2161.9	1.2413			2161.9	0.0003		
2162.9	1.2416			2162.9	0.0003		
2163.8	1.2419			2163.8	0.0004		
2164.8	1.2421			2164.8	0.0003		
2165.7	1.2424			2165.7	0.0003		
2166.7	1.2426			2166.7	0.0003		
2167.7	1.2428			2167.7	0.0003		
2168.6	1.243			2168.6	0.0003		
2169.6	1.2432			2169.6	0.0003		
2172	1.2437			2172	0.0002		
2174.4	1.2441			2174.4	0.0002		
2176.8	1.2444			2176.8	0.0002		
2179.2	1.2447			2179.2	0.0002		
2181.7	1.245			2181.7	0.0001		
2184.1	1.2453			2184.1	0.0001		
2186.5	1.2454			2186.5	0		
2188.9	1.2457			2188.9	0		
2191.3	1.2459			2191.3	0.0001		
2193.7	1.2461			2193.7	0.0001		
2196.1	1.2463			2196.1	0.0001		
2204.3	1.2467			2204.3	0		
2211.5	1.2471			2211.5	0		
2219.7	1.2474			2219.7	0		
2227.9	1.2476			2227.9	0.0001		
2236.1	1.2478			2236.1	0.0001		
