Reference:	"Elsila et al. (1997)"
DOI:	"doi:DOI: 10.1086/303906 "
Sample Type:	"Ice"
Composition:	"CO2:CO (20:1)"
Temperature:	"12K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/46"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2057.7	1.3035		0		
2065.5	1.3051		0.0001		
2073.2	1.3059		0.0001		
2080.9	1.3074		0.0003		
2088.6	1.3097		0		
2096.3	1.3118		0		
2098.7	1.3126		0		
2101.1	1.3136		0		
2103.6	1.3144		0		
2106	1.3153		0		
2108.4	1.3163		0		
2110.8	1.3174		0.0002		
2113.2	1.3185		0.0005		
2115.6	1.3194		0.001		
2116.6	1.3197		0.0003		
2117.5	1.3205		0		
2118.5	1.3214		0.0005		
2119.5	1.3216		0.0007		
2120.4	1.3221		0.0004		
2121.4	1.3228		0.0005		
2122.4	1.3234		0.0003		
2123.3	1.3243		0.0002		
2124.3	1.3252		0.0002		
2125.2	1.3261		0.0002		
2126.2	1.3271		0.0002		
2127.2	1.3284		0.0004		
2128.1	1.3295		0.0003		
2129.1	1.3311		0.0007		
2130.1	1.3226		0.0009		
2130.6	1.3337		0.0009		
2131	1.3344		0.0011		
2131.5	1.3356		0.0015		
2132	1.3367		0.002		
2132.5	1.3379		0.0024		
2133	1.3394		0.003		
2133.4	1.3399		0.0035		
2133.9	1.3417		0.0041		
2134.4	1.3434		0.0051		
2134.9	1.3451		0.0063		
2135.4	1.347		0.0078		
2135.9	1.3497		0.0096		
2136.3	1.3505		0.0125		
2136.8	1.3525		0.0156		
2137.3	1.3539		0.0194		
2137.8	1.3549		0.0243		
2138.3	1.3558		0.0291		
2138.7	1.3541		0.0385		
2139.2	1.3503		0.0453		
2139.7	1.3435		0.051		
2140.2	1.3359		0.0529		
2140.7	1.3286		0.0521		
2141.2	1.3254		0.0464		
2141.6	1.32		0.0497		
2142.1	1.3179		0.0455		
2142.6	1.3149		0.0436		
2143.1	1.3121		0.0417		
2143.6	1.3089		0.0398		
2144.1	1.3072		0.0342		
2144.5	1.3061		0.0352		
2145	1.3055		0.0314		
2145.5	1.3047		0.029		
2146	1.3038		0.0271		
2146.5	1.3037		0.0237		
2146.9	1.3037		0.0232		
2147.4	1.3036		0.0203		
2147.9	1.3039		0.0187		
2148.4	1.3041		0.0173		
2148.9	1.3041		0.0158		
2149.4	1.3046		0.0134		
2149.8	1.3051		0.0123		
2150.3	1.306		0.0106		
2150.8	1.3068		0.0097		
2151.3	1.3073		0.0089		
2151.8	1.308		0.0076		
2152.2	1.3084		0.0066		
2152.7	1.3093		0.0054		
2153.2	1.3102		0.0042		
2153.7	1.3112		0.0032		
2154.2	1.3125		0.0022		
2154.7	1.3139		0.0017		
2155.1	1.3146		0.0013		
2156.1	1.317		0.0009		
2157.1	1.3185		0.0011		
2158	1.3197		0.0002		
2159	1.3217		0.0003		
2160	1.323		0.0003		
2160.9	1.3241		0.0004		
2161.9	1.3252		0.0003		
2162.9	1.3263		0		
2163.8	1.3276		0.0002		
2164.8	1.3284		0.0005		
2165.7	1.3293		0.0001		
2166.7	1.3305		0.0004		
2167.7	1.3313		0.0004		
2168.6	1.3322		0.0004		
2169.6	1.3329		0.0005		
2172	1.3355		0.0003		
2174.4	1.3374		0.0004		
2176.8	1.3396		0.0003		
2179.2	1.342		0		
2181.7	1.3445		0.0003		
2184.1	1.3467		0.0004		
2186.5	1.3492		0		
2188.9	1.3519		0.0002		
2191.3	1.3543		0		
2193.7	1.3572		0.0001		
2196.1	1.3599		0.0003		
2204.3	1.3691		0		
2211.5	1.379		0.0002		
2219.7	1.3912		0.0005		
2227.9	1.4057		0		
2236.1	1.4212		0.0004		
