Reference:	"Elsila et al. (1997)"
DOI:	"doi:DOI: 10.1086/303906 "
Sample Type:	"Ice"
Composition:	"CO2:CO (20:1)"
Temperature:	"12K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/46"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"		"Wavenumber (cm⁻¹)"	"k₁"	"Dk₁  (+/-)"	
2057.7	1.3035			2057.7	0		
2065.5	1.3051			2065.5	0.0001		
2073.2	1.3059			2073.2	0.0001		
2080.9	1.3074			2080.9	0.0003		
2088.6	1.3097			2088.6	0		
2096.3	1.3118			2096.3	0		
2098.7	1.3126			2098.7	0		
2101.1	1.3136			2101.1	0		
2103.6	1.3144			2103.6	0		
2106	1.3153			2106	0		
2108.4	1.3163			2108.4	0		
2110.8	1.3174			2110.8	0.0002		
2113.2	1.3185			2113.2	0.0005		
2115.6	1.3194			2115.6	0.001		
2116.6	1.3197			2116.6	0.0003		
2117.5	1.3205			2117.5	0		
2118.5	1.3214			2118.5	0.0005		
2119.5	1.3216			2119.5	0.0007		
2120.4	1.3221			2120.4	0.0004		
2121.4	1.3228			2121.4	0.0005		
2122.4	1.3234			2122.4	0.0003		
2123.3	1.3243			2123.3	0.0002		
2124.3	1.3252			2124.3	0.0002		
2125.2	1.3261			2125.2	0.0002		
2126.2	1.3271			2126.2	0.0002		
2127.2	1.3284			2127.2	0.0004		
2128.1	1.3295			2128.1	0.0003		
2129.1	1.3311			2129.1	0.0007		
2130.1	1.3226			2130.1	0.0009		
2130.6	1.3337			2130.6	0.0009		
2131	1.3344			2131	0.0011		
2131.5	1.3356			2131.5	0.0015		
2132	1.3367			2132	0.002		
2132.5	1.3379			2132.5	0.0024		
2133	1.3394			2133	0.003		
2133.4	1.3399			2133.4	0.0035		
2133.9	1.3417			2133.9	0.0041		
2134.4	1.3434			2134.4	0.0051		
2134.9	1.3451			2134.9	0.0063		
2135.4	1.347			2135.4	0.0078		
2135.9	1.3497			2135.9	0.0096		
2136.3	1.3505			2136.3	0.0125		
2136.8	1.3525			2136.8	0.0156		
2137.3	1.3539			2137.3	0.0194		
2137.8	1.3549			2137.8	0.0243		
2138.3	1.3558			2138.3	0.0291		
2138.7	1.3541			2138.7	0.0385		
2139.2	1.3503			2139.2	0.0453		
2139.7	1.3435			2139.7	0.051		
2140.2	1.3359			2140.2	0.0529		
2140.7	1.3286			2140.7	0.0521		
2141.2	1.3254			2141.2	0.0464		
2141.6	1.32			2141.6	0.0497		
2142.1	1.3179			2142.1	0.0455		
2142.6	1.3149			2142.6	0.0436		
2143.1	1.3121			2143.1	0.0417		
2143.6	1.3089			2143.6	0.0398		
2144.1	1.3072			2144.1	0.0342		
2144.5	1.3061			2144.5	0.0352		
2145	1.3055			2145	0.0314		
2145.5	1.3047			2145.5	0.029		
2146	1.3038			2146	0.0271		
2146.5	1.3037			2146.5	0.0237		
2146.9	1.3037			2146.9	0.0232		
2147.4	1.3036			2147.4	0.0203		
2147.9	1.3039			2147.9	0.0187		
2148.4	1.3041			2148.4	0.0173		
2148.9	1.3041			2148.9	0.0158		
2149.4	1.3046			2149.4	0.0134		
2149.8	1.3051			2149.8	0.0123		
2150.3	1.306			2150.3	0.0106		
2150.8	1.3068			2150.8	0.0097		
2151.3	1.3073			2151.3	0.0089		
2151.8	1.308			2151.8	0.0076		
2152.2	1.3084			2152.2	0.0066		
2152.7	1.3093			2152.7	0.0054		
2153.2	1.3102			2153.2	0.0042		
2153.7	1.3112			2153.7	0.0032		
2154.2	1.3125			2154.2	0.0022		
2154.7	1.3139			2154.7	0.0017		
2155.1	1.3146			2155.1	0.0013		
2156.1	1.317			2156.1	0.0009		
2157.1	1.3185			2157.1	0.0011		
2158	1.3197			2158	0.0002		
2159	1.3217			2159	0.0003		
2160	1.323			2160	0.0003		
2160.9	1.3241			2160.9	0.0004		
2161.9	1.3252			2161.9	0.0003		
2162.9	1.3263			2162.9	0		
2163.8	1.3276			2163.8	0.0002		
2164.8	1.3284			2164.8	0.0005		
2165.7	1.3293			2165.7	0.0001		
2166.7	1.3305			2166.7	0.0004		
2167.7	1.3313			2167.7	0.0004		
2168.6	1.3322			2168.6	0.0004		
2169.6	1.3329			2169.6	0.0005		
2172	1.3355			2172	0.0003		
2174.4	1.3374			2174.4	0.0004		
2176.8	1.3396			2176.8	0.0003		
2179.2	1.342			2179.2	0		
2181.7	1.3445			2181.7	0.0003		
2184.1	1.3467			2184.1	0.0004		
2186.5	1.3492			2186.5	0		
2188.9	1.3519			2188.9	0.0002		
2191.3	1.3543			2191.3	0		
2193.7	1.3572			2193.7	0.0001		
2196.1	1.3599			2196.1	0.0003		
2204.3	1.3691			2204.3	0		
2211.5	1.379			2211.5	0.0002		
2219.7	1.3912			2219.7	0.0005		
2227.9	1.4057			2227.9	0		
2236.1	1.4212			2236.1	0.0004		
