Reference:	"Elsila et al. (1997)"
DOI:	"doi:DOI: 10.1086/303906 "
Sample Type:	"Ice"
Composition:	"N2:CO:H2O (2:1:1)"
Temperature:	"12K"
OCdb page:	"https://ocdb.smce.nasa.gov/dataset/47"
n₁ Error Units:	Not Applicable
k₁ Error Units:	Not Applicable

"Wavenumber (cm⁻¹)"	"n₁"	"Dn₁  (+/-)"	"k₁"	"Dk₁  (+/-)"	
2057.7	1.2799		0.0001		
2065.5	1.2808		0.0001		
2073.2	1.2819		0.0003		
2080.9	1.2836		0.0002		
2088.6	1.2862		0.0014		
2096.3	1.2858		0.001		
2098.7	1.2872		0.0011		
2101.1	1.2879		0.0015		
2103.6	1.2887		0.0011		
2106	1.2899		0.0004		
2108.4	1.2916		0.0002		
2110.8	1.2937		0.0002		
2113.2	1.2958		0.0003		
2115.6	1.2983		0.0002		
2116.6	1.2993		0.0002		
2117.5	1.3006		0.0001		
2118.5	1.302		0.0002		
2119.5	1.3033		0.0002		
2120.4	1.305		0.0002		
2121.4	1.3067		0.0002		
2122.4	1.3085		0.0002		
2123.3	1.3108		0.0003		
2124.3	1.3132		0.0002		
2125.2	1.3158		0.0001		
2126.2	1.3191		0.0002		
2127.2	1.3229		0.0002		
2128.1	1.3269		0.0002		
2129.1	1.3323		0.0003		
2130.1	1.3381		0.0004		
2130.6	1.342		0.0004		
2131	1.3464		0.0007		
2131.5	1.3513		0.001		
2132	1.3571		0.0014		
2132.5	1.3642		0.002		
2133	1.37		0.0032		
2133.4	1.3793		0.0052		
2133.9	1.3898		0.0085		
2134.4	1.4021		0.0135		
2134.9	1.4163		0.0216		
2135.4	1.4344		0.0337		
2135.9	1.4419		0.0523		
2136.3	1.4586		0.078		
2136.8	1.4669		0.1126		
2137.3	1.467		0.1552		
2137.8	1.4626		0.2015		
2138.3	1.4253		0.2489		
2138.7	1.4018		0.2893		
2139.2	1.3492		0.3251		
2139.7	1.2836		0.3435		
2140.2	1.214		0.3263		
2140.7	1.1812		0.2804		
2141.2	1.1287		0.2226		
2141.6	1.1267		0.168		
2142.1	1.1307		0.1224		
2142.6	1.1438		0.0891		
2143.1	1.1608		0.0664		
2143.6	1.1814		0.0532		
2144.1	1.1915		0.0464		
2144.5	1.2099		0.0458		
2145	1.2225		0.0486		
2145.5	1.2321		0.0542		
2146	1.2397		0.0619		
2146.5	1.2413		0.0703		
2146.9	1.2421		0.0794		
2147.4	1.2385		0.0877		
2147.9	1.2325		0.0947		
2148.4	1.2238		0.0993		
2148.9	1.2169		0.1014		
2149.4	1.2018		0.0994		
2149.8	1.1971		0.0953		
2150.3	1.1879		0.0882		
2150.8	1.1806		0.0789		
2151.3	1.1771		0.069		
2151.8	1.1736		0.0577		
2152.2	1.1746		0.0478		
2152.7	1.1759		0.0382		
2153.2	1.1786		0.0299		
2153.7	1.1822		0.0227		
2154.2	1.1876		0.0171		
2154.7	1.189		0.0122		
2155.1	1.1953		0.0089		
2156.1	1.2042		0.0046		
2157.1	1.2117		0.0026		
2158	1.217		0.0018		
2159	1.2218		0.0015		
2160	1.2251		0.0015		
2160.9	1.2284		0.0015		
2161.9	1.2311		0.0015		
2162.9	1.2331		0.0015		
2163.8	1.2352		0.0015		
2164.8	1.2371		0.0015		
2165.7	1.2384		0.0015		
2166.7	1.2401		0.0015		
2167.7	1.2415		0.0015		
2168.6	1.2425		0.0015		
2169.6	1.2435		0.0016		
2172	1.2459		0.0015		
2174.4	1.2478		0.0016		
2176.8	1.2494		0.0016		
2179.2	1.2506		0.0015		
2181.7	1.2518		0.0016		
2184.1	1.2531		0.0016		
2186.5	1.2539		0.0015		
2188.9	1.2547		0.0015		
2191.3	1.2554		0.0014		
2193.7	1.2562		0.0014		
2196.1	1.2567		0.0015		
2204.3	1.2584		0.0013		
2211.5	1.2594		0.0013		
2219.7	1.2603		0.0012		
2227.9	1.2611		0.001		
2236.1	1.2617		0.0008		
